cnt_p,time
1,0.515901
1,0.495791
1,0.526699
1,0.506467
1,0.552192
1,0.506034
1,0.497809
1,0.500987
1,0.494129
1,0.505619
2,0.997925
2,0.975303
2,0.979458
2,0.977205
2,0.974323
2,1.038887
2,0.977881
2,0.985435
2,1.010466
2,1.003726
3,1.476238
3,1.485383
3,1.469341
3,1.526522
3,1.927036
3,1.666132
3,1.579983
3,1.573000
3,1.569235
3,1.495404
4,1.986286
4,2.008366
4,2.050108
4,2.029234
4,1.996052
4,1.942936
4,1.956944
4,1.979692
4,1.963712
4,1.960010
5,2.475548
5,2.452562
5,2.466008
5,2.458249
5,2.436313
5,2.432831
5,2.460677
5,2.438793
5,2.440426
5,2.435772
6,3.023018
6,2.949590
6,2.966786
6,2.932248
6,2.953560
6,2.951466
6,2.919413
6,2.958287
6,2.947061
6,2.920107
7,3.492790
7,3.384288
7,3.374954
7,3.364069
7,3.370393
7,3.361035
7,3.401087
7,3.374065
7,3.380516
7,3.384534
8,3.896780
8,3.871760
8,3.879683
8,3.852185
8,3.876509
8,3.818514
8,3.829433
8,3.817810
8,3.843346
8,3.855085
9,4.351706
9,4.349997
9,4.428305
9,4.353882
9,4.326408
9,4.277720
9,4.257952
9,4.321014
9,4.336346
9,4.340966
10,4.848981
10,4.847180
10,4.816768
10,4.831527
10,4.834754
10,4.734561
10,4.795605
10,4.810143
10,4.810932
10,4.825716
11,5.347135
11,5.328428
11,5.289872
11,5.301886
11,5.295705
11,5.280784
11,5.313879
11,5.281108
11,5.288925
11,5.281006
12,5.808887
12,5.822487
12,5.799679
12,5.739401
12,5.753109
12,5.756944
12,5.778636
12,5.736597
12,5.724447
12,5.771638
13,6.295101
13,6.302658
13,6.279437
13,6.261922
13,6.248119
13,6.235185
13,6.225150
13,6.244761
13,6.242098
13,6.277491
14,6.776689
14,6.688641
14,6.653232
14,6.680237
14,6.723096
14,6.744699
14,6.749486
14,6.665091
14,6.706024
14,6.690590
15,7.285158
15,7.230167
15,7.205443
15,7.184263
15,7.160687
15,7.209397
15,7.396629
15,7.265017
15,7.291374
15,7.214921
16,7.798528
16,7.775307
16,7.932624
16,7.673814
16,7.711569
16,7.687684
16,7.710775
16,7.731947
16,7.813614
16,8.049059
17,8.407482
17,8.203143
17,8.302595
17,8.211766
17,8.173029
17,8.151544
17,8.189940
17,8.135490
17,8.139825
17,8.162891
18,8.738101
18,8.684267
18,8.605494
18,8.611375
18,8.636279
18,8.603377
18,8.633464
18,8.628985
18,8.643143
18,8.620190
19,9.218293
19,9.143803
19,9.079511
19,9.054902
19,9.084022
19,9.086848
19,9.107019
19,9.126843
19,9.158402
19,9.122750
20,9.631267
20,9.610056
20,9.653786
20,9.607843
20,9.567732
20,9.575230
20,9.612089
20,9.577221
20,9.609000
20,9.602940
21,10.086380
21,10.209681
21,10.127787
21,10.088360
21,10.108192
21,10.176969
21,10.228681
21,10.390307
21,10.208085
21,10.105462
22,10.669055
22,10.689037
22,10.645585
22,10.581486
22,10.718798
22,10.672165
22,10.834382
22,11.020853
22,10.763344
22,10.711761
23,11.210691
23,11.156657
23,11.152391
23,11.131462
23,11.144416
23,11.153928
23,11.220270
23,11.110716
23,11.164713
23,11.119620
24,11.723910
24,11.643521
24,11.607289
24,11.628057
24,11.560459
24,11.647624
24,11.551907
24,11.659766
24,11.680072
24,11.570469
25,12.306246
25,12.191793
25,12.092515
25,12.341970
25,12.316553
25,12.069699
25,12.099570
25,12.196004
25,12.175030
25,12.107333
26,12.676698
26,12.616526
26,12.602778
26,12.570192
