cnt_p,time
1,0.019992
1,0.035792
1,0.034307
1,0.032910
1,0.033039
1,0.047373
1,0.035901
1,0.035436
1,0.032398
1,0.035512
1,0.033127
1,0.035324
1,0.032888
1,0.032498
1,0.034894
1,0.032000
1,0.034477
1,0.034496
1,0.033965
1,0.037316
2,0.065410
2,0.078832
2,0.085506
2,0.070249
2,0.060232
2,0.052509
2,0.054089
2,0.053862
2,0.054776
2,0.055715
2,0.063600
2,0.058286
2,0.058621
2,0.057776
2,0.059162
2,0.068477
2,0.058339
2,0.057832
2,0.055651
2,0.058859
3,0.092358
3,0.079792
3,0.073733
3,0.077735
3,0.075595
3,0.074713
3,0.073712
3,0.074778
3,0.079603
3,0.073141
3,0.073241
3,0.077240
3,0.072613
3,0.071226
3,0.074526
3,0.076736
3,0.073482
3,0.073676
3,0.078238
3,0.075398
4,0.115041
4,0.096953
4,0.096774
4,0.096109
4,0.094760
4,0.093175
4,0.092815
4,0.094745
4,0.093163
4,0.101180
4,0.096408
4,0.094933
4,0.093641
4,0.092146
4,0.092408
4,0.097921
4,0.096257
4,0.099142
4,0.094905
4,0.114297
5,0.168828
5,0.122617
5,0.121420
5,0.130082
5,0.129222
5,0.124881
5,0.125748
5,0.127541
5,0.120269
5,0.118572
5,0.135066
5,0.128568
5,0.128911
5,0.137999
5,0.143008
5,0.130872
5,0.129865
5,0.114445
5,0.114209
5,0.113748
6,0.147644
6,0.140693
6,0.144783
6,0.136621
6,0.137904
6,0.132231
6,0.134491
6,0.136658
6,0.141657
6,0.132977
6,0.133627
6,0.130827
6,0.136936
6,0.134661
6,0.133420
6,0.147064
6,0.134170
6,0.133088
6,0.133378
6,0.133492
7,0.164117
7,0.152290
7,0.161624
7,0.156108
7,0.155258
7,0.155996
7,0.176063
7,0.177627
7,0.160479
7,0.157022
7,0.160496
7,0.162794
7,0.157325
7,0.177305
7,0.168019
7,0.164434
7,0.158388
7,0.160576
7,0.162899
7,0.173111
8,0.182671
8,0.172928
8,0.173740
8,0.174305
8,0.174361
8,0.182821
8,0.172151
8,0.175542
8,0.174979
8,0.175407
8,0.183834
8,0.172553
8,0.172130
8,0.172301
8,0.171093
8,0.170768
8,0.182911
8,0.172047
8,0.171920
8,0.170097
9,0.200541
9,0.197480
9,0.188808
9,0.189818
9,0.191235
9,0.199566
9,0.203808
9,0.192912
9,0.197530
9,0.193226
9,0.189882
9,0.206016
9,0.194751
9,0.187949
9,0.195452
9,0.191671
9,0.203694
9,0.200156
9,0.196762
9,0.194476
10,0.222311
10,0.221628
10,0.217841
10,0.214212
10,0.222560
10,0.225316
10,0.209730
10,0.211690
10,0.222543
10,0.213192
10,0.219763
10,0.214554
10,0.219102
10,0.221498
10,0.223042
10,0.216170
10,0.211164
10,0.213827
10,0.212763
10,0.216922
11,0.239453
11,0.232552
11,0.233259
11,0.241732
11,0.238089
11,0.234532
11,0.236022
11,0.243475
11,0.229843
11,0.238467
11,0.233400
11,0.238396
11,0.232875
11,0.232162
11,0.234343
11,0.241476
11,0.231407
11,0.228376
11,0.233731
11,0.240607
12,0.260588
12,0.255674
12,0.269807
12,0.262558
12,0.255146
12,0.255415
12,0.258323
12,0.266924
12,0.249419
12,0.259837
12,0.247477
12,0.261879
12,0.250213
12,0.259993
12,0.259340
12,0.254901
12,0.255541
12,0.250330
12,0.265713
12,0.251884
13,0.278462
13,0.273348
13,0.284478
13,0.273377
13,0.274627
13,0.319770
13,0.274757
13,0.275846
13,0.274069
13,0.279745
13,0.273506
13,0.275096
13,0.279806
13,0.271132
13,0.268425
13,0.271661
13,0.282663
13,0.276953
13,0.279224
13,0.272120
14,0.303780
14,0.293310
14,0.292977
14,0.301289
14,0.292893
14,0.290286
14,0.298942
14,0.290873
14,0.297754
14,0.305869
14,0.290748
14,0.292179
14,0.292723
14,0.303655
14,0.291246
14,0.298492
14,0.297119
14,0.302089
14,0.291095
14,0.299526
15,0.324240
15,0.309716
15,0.319364
15,0.318216
15,0.311895
15,0.313959
15,0.315603
15,0.313213
15,0.308927
15,0.322555
15,0.308274
15,0.307731
15,0.322376
15,0.312843
15,0.310743
15,0.321069
15,0.312653
15,0.318310
15,0.319878
15,0.310878
16,0.350109
16,0.346379
16,0.341576
16,0.333788
16,0.348235
16,0.335109
16,0.336833
16,0.351238
16,0.331486
16,0.336182
16,0.342138
16,0.335915
16,0.334612
16,0.343824
16,0.331234
16,0.332264
16,0.334476
16,0.333035
16,0.329270
16,0.343650
17,0.360022
17,0.358231
17,0.350148
17,0.348968
17,0.361464
17,0.348874
17,0.349512
17,0.366201
17,0.352829
17,0.351662
17,0.362044
17,0.350386
17,0.363147
17,0.351574
17,0.349605
17,0.367715
17,0.351420
17,0.347327
17,0.358111
17,0.350398
18,0.375960
18,0.384262
18,0.367445
18,0.376237
18,0.376566
18,0.364550
18,0.381636
18,0.372184
18,0.365081
18,0.380645
18,0.366092
18,0.381694
18,0.370841
18,0.369502
18,0.379333
18,0.370244
18,0.371746
18,0.380477
18,0.367674
18,0.375095
19,0.396873
19,0.387231
19,0.403184
19,0.387402
19,0.394029
19,0.385697
19,0.387625
19,0.391021
19,0.387142
19,0.394589
19,0.396169
19,0.385763
19,0.398243
19,0.384937
19,0.393371
19,0.392852
19,0.387318
19,0.397852
19,0.386968
19,0.401216
20,0.414308
20,0.415099
20,0.431552
20,0.410245
20,0.413956
20,0.405802
20,0.403069
20,0.411364
20,0.404003
20,0.421905
20,0.411963
20,0.421419
20,0.406877
20,0.408963
20,0.419721
20,0.407869
20,0.415350
20,0.409227
20,0.420731
20,0.412421
21,0.438983
21,0.439273
21,0.436035
21,0.434903
21,0.431277
21,0.434638
21,0.426706
21,0.420936
21,0.430309
21,0.429719
21,0.435173
21,0.422278
21,0.436024
21,0.425534
21,0.429325
21,0.439015
21,0.429216
21,0.437272
21,0.427329
21,0.435001
22,0.451274
22,0.454548
22,0.452530
22,0.460560
22,0.441897
22,0.448137
22,0.455534
22,0.450255
22,0.454600
22,0.449937
22,0.459391
22,0.450390
22,0.456120
22,0.447435
22,0.458216
22,0.446947
22,0.446217
22,0.461712
22,0.449154
22,0.457199
23,0.472918
23,0.475591
23,0.465171
23,0.479848
23,0.473033
23,0.479278
23,0.468968
23,0.478356
23,0.468481
23,0.472301
23,0.466377
23,0.478035
23,0.468300
23,0.464948
23,0.470571
23,0.465982
23,0.475971
23,0.470517
23,0.471554
23,0.472279
24,0.506303
24,0.492514
24,0.496422
24,0.489820
24,0.497517
24,0.483020
24,0.497315
24,0.485442
24,0.500423
24,0.487263
24,0.496105
24,0.483298
24,0.502954
24,0.503036
24,0.496281
24,0.495405
24,0.503204
24,0.491253
24,0.498112
24,0.486631
25,0.520922
25,0.514983
25,0.514626
25,0.503935
25,0.509099
25,0.511444
25,0.516340
25,0.501365
25,0.516395
25,0.507698
25,0.516193
25,0.514244
25,0.523367
25,0.522083
25,0.512412
25,0.521481
25,0.511729
25,0.521889
25,0.508766
25,0.523743
26,0.544224
26,0.546037
26,0.535982
26,0.546188
26,0.542059
26,0.544452
26,0.528220
26,0.547796
26,0.543890
26,0.533639
26,0.545039
26,0.537598
26,0.549904
26,0.536708
26,0.543436
26,0.534199
26,0.537147
26,0.535918
26,0.544098
26,0.540491
27,0.559622
27,0.566986
27,0.551460
27,0.567105
27,0.552584
27,0.566033
27,0.555597
27,0.560696
27,0.583725
27,0.605411
27,0.679034
27,0.637455
27,0.581576
27,0.576939
27,0.553707
27,0.563203
27,0.549213
27,0.550274
27,0.551743
27,0.544331
28,0.587887
28,0.574152
28,0.572009
28,0.565598
28,0.573827
28,0.574486
28,0.564030
28,0.573181
28,0.567991
28,0.574152
28,0.564616
28,0.574442
28,0.574876
28,0.568123
28,0.581045
28,0.577721
28,0.588185
28,0.585223
28,0.588488
28,0.574681
29,0.606107
29,0.609031
29,0.592908
29,0.616960
29,0.612744
29,0.604802
29,0.602627
29,0.605398
29,0.587798
29,0.622354
29,0.625631
29,0.628705
29,0.593915
29,0.595026
29,0.595270
29,0.591812
29,0.601524
