cnt_p,time
1,0.023419
1,0.025063
1,0.021250
1,0.017606
1,0.021790
1,0.019392
1,0.019723
1,0.028265
1,0.030217
1,0.024822
1,0.018580
1,0.024205
1,0.022176
1,0.020069
1,0.019597
1,0.019981
1,0.022088
1,0.019562
1,0.024788
1,0.021892
1,0.019470
1,0.252792
1,0.020564
1,0.022669
1,0.021223
1,0.017199
1,0.022346
1,0.024560
1,0.021417
1,0.018309
1,0.021092
1,0.018212
1,0.036763
1,0.031516
1,0.025950
1,0.031148
1,0.036501
1,0.028558
1,0.038540
1,0.027748
2,0.061040
2,0.043205
2,0.042619
2,0.041958
2,0.042505
2,0.038406
2,0.045472
2,0.040949
2,0.036883
2,0.042260
2,0.047239
2,0.036441
2,0.040295
2,0.041553
2,0.039313
2,0.046135
2,0.043798
2,0.055127
2,0.042763
2,0.045423
2,0.042463
2,0.038738
2,0.046204
2,0.037078
2,0.042062
2,0.043821
2,0.042770
2,0.038353
2,0.037609
2,0.042584
2,0.038565
2,0.038371
2,0.039306
2,0.042696
2,0.047081
2,0.041899
2,0.039119
2,0.054184
2,0.040604
2,0.041440
3,0.079929
3,0.068241
3,0.065588
3,0.068753
3,0.049976
3,0.065060
3,0.072437
3,0.072358
3,0.074432
3,0.071613
3,0.067703
3,0.077882
3,0.064667
3,0.075406
3,0.060680
3,0.064399
3,0.061368
3,0.074772
3,0.082438
3,0.065615
3,0.069841
3,0.072855
3,0.067473
3,0.069537
3,0.082786
3,0.056143
3,0.067589
3,0.070977
3,0.081408
3,0.059542
3,0.071863
3,0.067213
3,0.071615
3,0.069240
3,0.073957
3,0.067370
3,0.075491
3,0.073202
3,0.058154
3,0.062583
4,0.107731
4,0.090815
4,0.108721
4,0.085968
4,0.109840
4,0.105192
4,0.100891
4,0.121357
4,0.119209
4,0.099118
4,0.080672
4,0.093724
4,0.100244
4,0.096092
4,0.084966
4,0.095937
4,0.109966
4,0.103282
4,0.100864
4,0.089529
4,0.079891
4,0.105175
4,0.120910
4,0.091027
4,0.080327
4,0.113256
4,0.097316
4,0.116554
4,0.096726
4,0.104456
4,0.095343
4,0.107377
4,0.099348
4,0.092551
4,0.078295
4,0.100171
4,0.092038
4,0.102125
4,0.119869
4,0.087932
5,0.136917
5,0.130235
5,0.133800
5,0.145628
5,0.154477
5,0.153414
5,0.120019
5,0.139033
5,0.136361
5,0.136920
5,0.128672
5,0.142993
5,0.127976
5,0.156342
5,0.111539
5,0.141603
5,0.112476
5,0.129294
5,0.151951
5,0.157627
5,0.171197
5,0.128553
5,0.141413
5,0.162727
5,0.142625
5,0.145789
5,0.130821
5,0.151448
5,0.128659
5,0.178742
5,0.143022
5,0.146710
5,0.129809
5,0.138028
5,0.135134
5,0.133822
5,0.134904
5,0.136752
5,0.116377
5,0.137788
6,0.202361
6,0.189353
6,0.154571
6,0.212506
6,0.160444
6,0.179186
6,0.196959
6,0.141812
6,0.204207
6,0.197439
6,0.178536
6,0.180377
6,0.177958
6,0.142209
6,0.204155
6,0.168905
6,0.178004
6,0.198831
6,0.169685
6,0.182173
6,0.201409
6,0.184118
6,0.175606
6,0.188360
6,0.176846
6,0.190980
6,0.175436
6,0.185713
6,0.179745
6,0.128610
6,0.208367
6,0.192030
6,0.184380
6,0.172878
6,0.177331
6,0.185222
6,0.199201
6,0.197721
6,0.201343
6,0.176630
7,0.264104
7,0.245339
7,0.223965
7,0.273592
7,0.263353
7,0.252076
7,0.257895
7,0.251014
7,0.285092
7,0.258562
7,0.261899
7,0.251562
7,0.193837
7,0.231358
7,0.243318
7,0.270524
7,0.254374
7,0.208780
7,0.259115
7,0.244565
7,0.210544
7,0.228625
7,0.256576
7,0.241069
7,0.261310
7,0.251792
7,0.259648
7,0.252890
7,0.215353
7,0.257027
7,0.283981
7,0.261454
7,0.211899
7,0.213047
7,0.253352
7,0.274849
7,0.246271
7,0.228649
7,0.238835
7,0.258411
8,0.297631
8,0.343008
8,0.240295
8,0.336538
8,0.298159
8,0.191450
8,0.312754
8,0.310904
8,0.272265
8,0.336917
8,0.323672
8,0.297252
8,0.273645
8,0.293256
8,0.348565
8,0.282720
8,0.284210
8,0.253075
8,0.307772
8,0.335775
8,0.328050
8,0.296204
8,0.317527
8,0.274053
8,0.305438
8,0.356843
8,0.320104
8,0.366957
8,0.374791
8,0.362941
8,0.300644
8,0.312906
8,0.296280
8,0.303898
8,0.295313
8,0.325461
8,0.324880
8,0.334739
8,0.304936
8,0.388719
9,0.433286
9,0.406311
9,0.397100
9,0.403310
9,0.370433
9,0.397780
9,0.357662
9,0.306665
9,0.402279
9,0.362014
9,0.340453
9,0.343369
9,0.378187
9,0.441708
9,0.399738
9,0.374740
9,0.386033
9,0.435544
9,0.382422
9,0.342802
9,0.294744
9,0.351577
9,0.330554
9,0.383743
9,0.379200
9,0.352898
9,0.379692
9,0.371050
9,0.396170
9,0.400483
9,0.334231
9,0.414351
9,0.432172
9,0.388098
9,0.363068
9,0.365399
9,0.337933
9,0.411037
9,0.376486
9,0.345485
10,0.419113
10,0.459264
10,0.372276
10,0.432787
10,0.395574
10,0.455953
10,0.448105
10,0.510752
10,0.457855
10,0.407703
10,0.431064
10,0.472987
10,0.441393
10,0.460112
10,0.428411
10,0.447607
10,0.415674
10,0.484176
10,0.427043
10,0.504477
10,0.430166
10,0.450873
10,0.451207
10,0.458280
10,0.438606
10,0.459547
10,0.470503
10,0.437664
10,0.419139
10,0.426391
10,0.424725
10,0.448912
10,0.429021
10,0.482768
10,0.433722
10,0.456683
10,0.437952
10,0.601127
10,0.540909
10,1.011881
11,0.748115
11,0.572550
11,0.593636
11,0.648444
11,0.405823
11,0.569335
11,0.605739
11,0.558232
11,0.570722
11,0.495909
11,0.519942
11,0.552862
11,0.558761
11,0.556894
11,0.547168
11,0.576336
11,0.542316
11,0.572309
11,0.574208
11,0.558350
11,0.617204
11,0.629090
11,0.564002
11,0.512898
11,0.638825
11,0.581197
11,0.548280
11,0.553965
11,0.583130
11,0.548843
11,0.566637
11,0.532546
11,0.562614
11,0.513483
11,0.575547
11,0.570394
11,0.492953
11,0.641743
11,0.452361
11,0.487215
12,0.635897
12,0.653356
12,0.630800
12,0.572849
12,0.550704
12,0.680340
12,0.645743
12,0.605569
12,0.568568
12,0.543801
12,0.632893
12,0.552792
12,0.632017
12,0.710913
12,0.603699
12,0.585732
12,0.684601
12,0.615335
12,0.704737
12,0.588539
12,0.709169
12,0.687103
12,0.644448
12,0.669383
12,0.650670
12,0.588049
12,0.667677
12,0.626981
12,0.618143
12,0.601331
12,0.608266
12,0.586190
12,0.626830
12,0.636284
12,0.673562
12,0.585027
12,0.983555
12,0.661383
12,0.675438
12,0.806444
13,0.793272
13,0.721564
13,0.691668
13,0.763274
13,0.714169
13,0.691274
13,0.651918
13,0.816333
13,0.684917
13,0.794602
13,0.738043
13,0.751002
13,0.703843
13,0.756090
13,0.735954
13,0.679900
13,0.728791
13,0.800333
13,0.716402
13,0.623933
13,0.687882
13,0.680681
13,0.591803
13,0.779668
13,0.706618
13,0.713950
13,0.753120
13,0.721089
13,0.737952
13,0.691782
13,0.699931
13,0.717763
13,0.636851
13,0.672483
13,0.735596
13,0.909116
13,0.700425
13,0.751263
13,0.661641
13,0.767126
14,0.921821
14,0.819319
14,0.845926
14,0.821275
14,0.844048
14,0.870082
14,0.704079
14,0.808205
14,0.730812
14,0.846444
14,0.806629
14,0.859188
14,0.875848
14,0.721757
14,0.813968
14,0.838028
14,0.735640
14,0.870178
14,0.756133
14,0.816386
14,0.727475
14,0.858334
14,0.774908
14,0.921909
14,0.697368
14,0.760807
14,0.800130
14,0.806646
14,0.828016
14,0.944297
14,0.790498
14,0.869791
14,0.857234
14,0.854518
14,0.750069
14,0.783423
14,0.738453
14,0.891378
14,0.735999
14,0.787486
15,0.883326
15,0.984977
15,0.791052
15,0.953650
15,0.932388
15,0.894378
15,0.771012
15,0.869405
15,0.977576
15,1.113935
15,1.198928
15,0.954717
15,0.953858
15,0.921643
15,1.156795
15,1.049092
15,0.992515
15,0.891457
15,0.920747
15,0.983347
15,0.962337
15,0.974144
15,1.049390
15,1.018274
15,1.063026
15,0.957057
15,0.912963
15,0.884426
15,0.955101
15,0.837939
15,1.008159
15,0.875864
15,0.956023
15,0.947287
15,0.963735
15,0.950214
15,0.979153
15,0.986783
15,1.039794
15,1.066923
16,1.053700
16,1.032274
16,1.040481
16,1.133771
16,1.220811
16,1.199375
16,1.225330
16,1.085189
16,1.213068
16,1.028994
16,1.465372
16,1.111783
16,1.534261
16,1.119744
16,1.054183
16,1.009121
16,1.023695
16,1.467213
16,1.315727
16,1.082391
16,0.995783
16,1.105726
16,1.091231
16,1.195478
