cnt_p,time
1,0.024043
1,0.029475
1,0.029137
1,0.020463
1,0.012545
1,0.012543
1,0.023008
1,0.027008
1,0.026686
1,0.025986
1,0.027238
1,0.023118
1,0.014127
1,0.039298
1,0.045089
1,0.037600
1,0.043089
1,0.040333
1,0.040082
1,0.035742
1,0.027583
1,0.025442
1,0.026731
1,0.025436
1,0.026983
1,0.028359
1,0.025450
1,0.032559
1,0.025527
1,0.036015
1,0.021397
1,0.033704
1,0.043046
1,0.042834
1,0.036069
1,0.040691
1,0.029893
1,0.027093
1,0.034173
1,0.028984
2,0.064702
2,0.052758
2,0.053146
2,0.050439
2,0.056856
2,0.068317
2,0.051661
2,0.049213
2,0.063405
2,0.064721
2,0.055905
2,0.053881
2,0.059564
2,0.059860
2,0.054471
2,0.058240
2,0.057092
2,0.053913
2,0.061062
2,0.051476
2,0.049457
2,0.047466
2,0.058261
2,0.050822
2,0.049365
2,0.062706
2,0.054306
2,0.050104
2,0.051999
2,0.048590
2,0.055818
2,0.050448
2,0.042437
2,0.047700
2,0.045127
2,0.053544
2,0.044672
2,0.048477
2,0.054719
2,0.049564
3,0.088412
3,0.102079
3,0.097704
3,0.084584
3,0.082819
3,0.081706
3,0.086800
3,0.093290
3,0.082995
3,0.099658
3,0.093100
3,0.100674
3,0.097551
3,0.087216
3,0.072339
3,0.073079
3,0.077471
3,0.104810
3,0.063117
3,0.086792
3,0.074656
3,0.087972
3,0.092954
3,0.089818
3,0.095990
3,0.081802
3,0.089124
3,0.095459
3,0.060506
3,0.072473
3,0.084339
3,0.077830
3,0.073418
3,0.111038
3,0.083790
3,0.097903
3,0.086683
3,0.112373
3,0.078329
3,0.073936
4,0.143497
4,0.117128
4,0.128585
4,0.133358
4,0.153170
4,0.123462
4,0.132732
4,0.104776
4,0.133898
4,0.123276
4,0.162799
4,0.136659
4,0.134922
4,0.146759
4,0.120739
4,0.138616
4,0.118986
4,0.132192
4,0.125984
4,0.150898
4,0.120308
4,0.144796
4,0.120035
4,0.129592
4,0.138149
4,0.114706
4,0.143092
4,0.137179
4,0.138550
4,0.131512
4,0.122813
4,0.149579
4,0.135704
4,0.136160
4,0.132271
4,0.134097
4,0.119221
4,0.132573
4,0.132171
4,0.112050
5,0.226994
5,0.145763
5,0.185243
5,0.225684
5,0.197700
5,0.207758
5,0.182263
5,0.170395
5,0.177502
5,0.200943
5,0.204153
5,0.176376
5,0.179868
5,0.184804
5,0.205143
5,0.185497
5,0.176111
5,0.186514
5,0.183092
5,0.193928
5,0.203518
5,0.174291
5,0.179674
5,0.210198
5,0.214207
5,0.157025
5,0.171511
5,0.209992
5,0.225861
5,0.220932
5,0.158069
5,0.182577
5,0.173154
5,0.201066
5,0.204740
5,0.169036
5,0.162664
5,0.192721
5,0.181182
5,0.225139
6,0.285046
6,0.257754
6,0.256586
6,0.236453
6,0.234778
6,0.249382
6,0.257445
6,0.190704
6,0.217568
6,0.249413
6,0.244117
6,0.246973
6,0.208835
6,0.232315
6,0.214336
6,0.262304
6,0.260031
6,0.264658
6,0.230641
6,0.254663
6,0.294412
6,0.253709
6,0.207542
6,0.246694
6,0.240287
6,0.254380
6,0.244723
6,0.241554
6,0.180186
6,0.242351
6,0.258694
6,0.273322
6,0.216319
6,0.290179
6,0.248306
6,0.262942
6,0.222077
6,0.266545
6,0.205349
6,0.200407
7,0.314516
7,0.295480
7,0.310376
7,0.313977
7,0.285970
7,0.321622
7,0.352515
7,0.300356
7,0.321549
7,0.324060
7,0.321373
7,0.339699
7,0.324604
7,0.364772
7,0.347090
7,0.306093
7,0.279013
7,0.287760
7,0.347659
7,0.288876
7,0.337039
7,0.249723
7,0.300841
7,0.354686
7,0.313997
7,0.329639
7,0.356034
7,0.273348
7,0.253250
7,0.339582
7,0.304966
7,0.303219
7,0.348902
7,0.326047
7,0.328686
7,0.299524
7,0.364519
7,0.256625
7,0.366685
7,0.352829
8,0.450329
8,0.302530
8,0.433616
8,0.340863
8,0.392782
8,0.326867
8,0.399228
8,0.432812
8,0.371439
8,0.378257
8,0.368720
8,0.462846
8,0.459564
8,0.355415
8,0.356307
8,0.464687
8,0.420621
8,0.288562
8,0.469415
8,0.406618
8,0.391858
8,0.396097
8,0.438162
8,0.419431
8,0.300398
8,0.412666
8,0.460698
8,0.432040
8,0.430386
8,0.360490
8,0.419526
8,0.395574
8,0.352415
8,0.421008
8,0.424523
8,0.485372
8,0.481543
8,0.418519
8,0.427868
8,0.362800
9,0.516509
9,0.522226
9,0.507657
9,0.541393
9,0.497469
9,0.461680
9,0.458199
9,0.510140
9,0.357600
9,0.502038
9,0.446683
9,0.506356
9,0.462055
9,0.435546
9,0.578010
9,0.491757
9,0.543529
9,0.487485
9,0.562281
9,0.501707
9,0.401841
9,0.491399
9,0.495820
9,0.427303
9,0.424331
9,0.574798
9,0.482800
9,0.524464
9,0.481776
9,0.489299
9,0.503746
9,0.460228
9,0.526224
9,0.572737
9,0.500970
9,0.533086
9,0.466980
9,0.440103
9,0.471819
9,0.457609
10,0.683610
10,0.595391
10,0.541843
10,0.575237
10,0.585961
10,0.604368
10,0.664920
10,0.571301
10,0.521460
10,0.649324
10,0.628398
10,0.638938
10,0.637638
10,0.582812
10,0.571769
10,0.545632
10,0.636463
10,0.524142
10,0.518601
10,0.530101
10,0.522090
10,0.609821
10,0.646214
10,0.503051
10,0.589429
10,0.535975
10,0.451693
10,0.564021
10,0.585871
10,0.581568
10,0.559640
10,0.649637
10,0.573549
10,0.532452
10,0.590963
10,0.531872
10,0.581736
10,0.633460
10,0.601050
10,0.627870
11,0.741310
11,0.607904
11,0.742047
11,0.790082
11,0.768842
11,0.762054
11,0.739988
11,0.656104
11,0.732193
11,0.603190
11,0.807302
11,0.543920
11,0.734350
11,0.632199
11,0.748638
11,0.817074
11,0.738962
11,0.738834
11,0.761633
11,0.754610
11,0.738617
11,0.658679
11,0.784625
11,0.734003
11,0.632485
11,0.761287
11,0.673917
11,0.577739
11,0.660707
11,0.774129
11,0.601141
11,0.735877
11,0.765089
11,0.620056
11,0.656814
11,0.605605
11,0.700346
11,0.668145
11,0.751877
11,0.583812
12,0.781925
12,0.766055
12,0.828152
12,0.889634
12,0.839578
12,0.917791
12,0.779911
12,0.860236
12,0.915141
12,0.753106
12,0.870322
12,0.901857
12,0.874684
12,0.997341
12,0.865061
12,0.772279
12,0.812608
12,0.790291
12,0.880116
12,0.905233
12,0.779570
12,0.694910
12,0.763727
12,0.889446
12,0.830771
12,0.807711
12,0.876935
12,0.905925
12,0.867040
12,0.849404
12,0.878287
12,0.830218
12,0.980814
12,0.885902
12,0.879192
12,0.924849
12,0.812209
12,0.759658
12,0.716646
12,0.746480
13,1.065522
13,0.948587
13,1.025227
13,0.994991
13,1.030832
13,0.885590
13,0.922491
13,1.007263
13,1.158708
13,1.039089
13,0.867603
13,0.876208
13,1.012581
13,0.856418
13,0.902111
13,0.924536
13,0.994098
13,0.941257
13,1.015748
13,0.829910
13,1.003614
13,0.876689
13,1.026565
13,0.910550
13,1.008751
13,0.948734
13,0.857574
13,1.020849
13,0.926195
13,0.901367
13,0.883440
13,1.006560
13,1.055318
13,0.932700
13,0.957800
13,0.922567
13,0.988749
13,0.884788
13,1.005318
13,0.939114
14,1.263967
14,1.178430
14,1.048121
14,1.203970
14,1.202962
14,1.045685
14,1.137688
14,1.089917
14,1.017496
14,1.135380
14,0.943424
14,0.909673
14,1.163649
14,1.184565
14,1.150678
14,1.036639
14,0.976063
14,1.045627
14,0.938541
14,1.034887
14,1.239356
14,1.062767
14,1.065624
14,0.987900
14,0.983446
14,1.263803
14,1.107420
14,1.052818
14,0.958731
14,1.064248
14,0.980376
14,1.056396
14,1.054330
14,1.078765
14,1.156715
14,1.078529
14,1.069573
14,1.125274
14,1.000234
14,0.961561
15,1.180859
15,1.271090
15,1.254305
15,1.235095
15,1.014444
15,1.139931
15,1.101083
15,1.057167
15,1.277415
15,1.223403
15,1.125071
15,1.100048
15,1.278698
15,1.365127
15,1.371174
15,1.072105
15,1.247820
15,1.102780
15,1.302386
15,1.338845
15,1.021753
15,1.269302
15,1.245104
15,1.330390
15,1.223825
15,1.117267
15,1.139162
15,1.307127
15,1.245966
15,1.189717
15,1.239417
15,1.202270
15,1.277779
15,1.296642
15,1.291597
15,1.126768
15,1.340261
15,1.295414
15,1.367684
15,1.240273
16,1.331240
16,1.192798
16,1.179295
16,1.468647
16,1.355023
16,1.625501
16,1.350857
16,1.418250
16,1.298086
16,1.316815
16,1.496816
16,1.484250
16,1.267788
16,1.420430
16,1.250105
16,1.546242
16,1.541279
16,1.364743
16,1.568898
16,1.180108
16,1.528519
16,1.375485
16,1.331819
16,1.456692
16,1.471140
16,1.320532
16,1.246874
16,1.393965
16,1.380456
16,1.320818
16,1.315033
16,1.273690
16,1.592192
16,1.119223
16,1.358259
16,1.377217
16,1.496162
16,1.501824
16,1.345192
16,1.292297
17,1.698512
17,1.710025
17,1.616486
17,1.722080
17,1.672095
17,1.472655
17,1.678686
17,1.751992
17,1.625553
17,1.457382
17,1.488039
17,1.715198
17,1.506593
17,1.395601
17,1.421097
17,1.604692
17,1.520038
17,1.633140
17,1.638581
17,1.774169
17,1.411241
17,1.471181
17,1.460704
17,1.539325
17,1.690993
17,1.363111
17,1.507674
17,1.578637
17,1.688110
17,1.630045
17,1.424003
17,1.435756
17,1.386948
17,1.473522
17,1.463051
17,1.550195
17,1.614847
17,1.622580
17,1.596113
17,1.464570
18,1.684580
18,1.948844
18,1.673013
18,1.881933
18,1.653631
18,1.943353
18,1.628717
18,1.922681
18,1.599608
18,1.764191
18,1.574162
18,1.736743
18,1.804436
18,1.653001
18,1.507477
18,1.609886
18,1.585060
18,1.547574
18,1.587286
18,1.662114
18,1.691852
18,1.757583
18,1.752276
18,1.756541
18,1.817098
18,1.574017
18,1.890742
18,1.821453
18,1.654194
18,1.769646
18,1.823419
18,1.519229
18,1.683438
18,1.770564
18,1.675817
18,1.696719
18,1.458252
18,1.711712
18,1.794172
18,1.820864
19,1.882642
19,1.864452
19,2.022790
19,1.801883
19,1.757660
19,1.995964
19,2.222118
19,1.916703
19,1.830855
19,1.732768
19,1.977189
19,1.792977
19,1.920764
19,1.800595
19,1.882685
19,1.860018
19,1.975089
19,1.950286
19,2.020823
19,1.762125
19,2.044259
19,1.760858
19,2.009337
19,1.897789
19,1.922269
19,2.020957
19,1.722619
19,2.002842
19,1.871116
19,2.050753
19,1.754100
19,2.049781
19,1.985347
19,2.084161
19,1.914061
19,1.573337
19,1.845286
19,1.778833
19,2.004266
19,1.870175
20,1.944823
20,2.038732
20,1.920880
20,2.003414
20,2.101518
20,2.073220
20,2.230950
20,1.936032
20,2.303119
20,2.019549
20,2.229916
20,1.992118
20,2.243956
20,2.212057
20,2.121798
20,1.992626
20,1.987402
20,2.170897
20,2.093329
