cnt_p,time
1,0.506281
1,0.502123
1,0.500005
1,0.502493
1,0.497918
1,0.494445
1,0.508187
1,0.541802
1,0.507887
1,0.495677
2,0.791336
2,0.762494
2,0.745352
2,0.810423
2,0.776538
2,0.819612
2,0.796876
2,0.831563
2,0.745422
2,0.784145
3,1.135248
3,1.202225
3,1.147915
3,1.142275
3,1.133487
3,1.196264
3,1.115965
3,1.154058
3,1.193289
3,1.186732
4,1.502880
4,1.543081
4,1.606423
4,1.491974
4,1.606373
4,1.502405
4,1.526714
4,1.528140
4,1.529666
4,1.507927
5,1.848724
5,1.896525
5,1.934040
5,1.914494
5,1.976827
5,1.861331
5,1.862215
5,1.875025
5,1.886445
5,1.979520
6,2.249967
6,2.247324
6,2.230105
6,2.258139
6,2.207681
6,2.271892
6,2.321244
6,2.261454
6,2.290141
6,2.221228
7,2.702285
7,2.616056
7,2.586888
7,2.669668
7,2.710767
7,2.818858
7,2.754441
7,2.699406
7,2.899291
7,2.666461
8,2.945962
8,3.128999
8,3.100427
8,3.088578
8,3.003130
8,3.170438
8,2.977478
8,3.086985
8,3.009815
8,2.958152
9,3.438441
9,3.515909
9,3.531855
9,3.424742
9,3.450555
9,3.586116
9,3.458744
9,3.479410
9,3.488713
9,3.409573
10,3.813941
10,3.859477
10,3.770215
10,3.823493
10,3.712469
10,3.804507
10,3.823639
10,3.828060
10,3.829839
10,3.856603
11,4.031572
11,4.097908
11,4.246943
11,4.243932
11,4.228916
11,4.266807
11,4.049613
11,4.225240
11,4.314159
11,3.983598
12,4.545297
12,4.844721
12,4.735951
12,4.751350
12,4.541215
12,4.594685
12,4.709329
12,4.600489
12,4.728108
12,4.479940
13,5.135477
13,4.888847
13,4.882952
13,4.776056
13,4.717055
13,4.971494
13,4.874840
13,5.090416
13,5.067519
13,5.169134
14,5.684601
14,5.170933
14,5.432310
14,5.544515
14,5.502022
14,5.414532
14,5.298809
14,5.237784
14,5.489884
14,5.190830
15,5.919389
15,5.532280
15,5.851937
15,5.798672
15,5.915975
15,5.662440
15,5.512043
15,5.937658
15,5.985392
15,5.755294
16,6.232035
16,6.507192
16,5.958913
16,5.964505
16,6.283178
16,5.850750
16,6.148235
16,6.435260
16,6.438892
16,6.483849
17,6.494689
17,6.608292
17,6.551708
17,6.611583
17,6.528026
17,6.391336
17,6.885417
17,6.175348
17,6.403430
17,6.830289
18,6.955011
18,6.891585
18,6.873487
18,6.793252
18,6.940653
18,6.973986
18,6.846541
18,6.681413
18,6.891434
18,6.615107
19,7.270861
19,7.359897
19,7.374888
19,7.206275
19,6.988901
19,7.022093
19,7.178044
19,7.185539
19,7.373562
19,7.216461
20,7.846460
20,7.506563
20,7.708330
20,7.458973
20,7.713213
20,7.636173
20,8.016213
20,7.607104
20,7.832611
20,7.365401
21,8.110687
21,8.170054
21,8.598514
21,8.128664
21,8.087007
21,8.081499
21,7.794191
21,7.764070
21,7.720252
21,7.977442
22,8.289779
22,8.182295
22,8.707347
22,8.668152
22,8.536505
22,8.105602
22,7.941122
22,8.510084
22,8.419866
22,8.261762
23,8.961428
23,8.850603
23,8.989535
23,9.099961
23,8.802670
23,8.419584
23,8.817762
23,8.536278
23,8.909325
23,8.884810
24,8.942531
24,9.292161
24,9.283352
24,9.085418
24,9.221064
24,8.935807
24,8.944479
24,8.751495
24,8.831927
24,8.894594
25,9.534602
25,9.657403
25,9.113520
25,9.523075
25,9.328441
25,9.307557
25,9.532277
25,9.526134
25,9.369736
25,9.326811
26,9.991314
26,10.107834
26,10.314289
26,9.808580
26,9.981054
26,9.702118
26,10.019320
26,10.093415
26,9.973139
26,9.910430
27,10.290858
27,9.964646
27,10.130425
27,10.236102
27,9.956439
27,10.163186
27,10.504143
27,10.467451
27,10.126616
27,10.290499
28,10.903609
28,10.478635
28,10.733441
28,10.377080
28,10.944228
28,11.396746
28,10.748422
28,11.192554
28,10.712655
28,10.488465
29,11.622522
29,11.224665
29,11.200631
29,10.669913
29,10.678037
29,11.219207
29,10.820906
29,11.172614
29,10.776836
29,11.138746
30,11.456722
30,11.953872
30,11.559487
30,11.308644
30,12.034016
30,11.858549
30,12.047217
30,11.382660
30,11.668488
30,11.263317
31,11.885430
31,11.598091
31,11.784863
31,12.272912
31,12.279801
31,11.958589
31,11.679300
31,11.765627
31,11.748494
31,11.787967
32,11.610209
32,12.665457
32,12.430944
32,12.694609
32,11.836845
32,11.742054
32,12.791724
32,11.806760
32,12.027676
32,12.679051
33,12.491030
33,12.934316
33,11.868592
33,12.209712
33,12.640457
33,12.557614
33,12.473385
33,12.779410
33,12.420761
33,12.138553
34,13.354357
34,13.203342
34,12.507859
34,13.183289
34,12.966357
34,12.857148
34,12.407251
34,13.274563
34,13.170061
34,12.730888
35,13.682093
35,13.247990
35,13.990177
35,13.371444
35,13.229851
35,13.090900
35,12.945991
35,12.943468
35,14.206968
35,13.086003
36,13.397032
36,13.216452
36,13.383054
36,13.055227
36,13.502750
36,13.300358
36,14.369755
36,13.517589
36,13.653911
36,13.826810
37,14.046905
37,14.576169
37,14.107626
37,13.391984
37,13.622206
37,14.788062
37,14.491466
37,14.780848
37,14.619572
37,13.742011
38,15.298042
38,14.503507
38,14.145091
38,14.289363
38,13.975369
38,14.967707
38,14.656747
38,14.148728
38,13.848099
38,14.302974
39,14.558490
39,14.988418
39,14.797201
39,15.368678
39,14.832765
39,14.929545
39,14.629420
39,14.810836
39,15.330837
39,15.139740
40,15.289120
40,15.214968
40,14.638379
40,15.880974
40,15.507425
40,15.785923
40,15.329908
40,15.340129
40,14.979594
40,15.202153
41,15.546188
41,15.283475
41,15.687476
41,16.022843
41,15.773448
41,16.206488
41,16.598334
41,15.599816
41,16.566597
41,15.344013
42,15.592613
42,15.443528
42,15.878439
42,16.110174
42,16.185768
42,16.167214
42,16.898853
42,15.840154
42,16.043760
42,15.960540
43,16.341980
43,16.072589
43,17.892083
43,16.283942
43,16.662067
43,16.908090
43,16.369933
43,16.847686
43,16.661193
43,16.410098
44,16.899802
44,16.803898
44,16.683856
44,16.986345
44,17.318656
44,16.658923
44,16.715828
44,17.000344
44,16.421335
44,17.417759
45,17.914598
45,17.433821
45,16.878225
45,16.992852
45,16.972913
45,17.056863
45,17.297611
45,16.527647
45,16.614410
45,17.629702
46,17.022405
46,18.077981
46,17.830055
46,17.858239
46,17.690770
46,17.626148
46,17.695172
46,17.366998
46,19.046424
46,16.671860
47,18.574138
47,17.933657
47,17.275372
47,18.588189
47,17.753757
47,17.907697
47,17.897369
47,18.497302
47,17.810842
47,18.557093
48,18.003390
48,17.580456
48,17.589588
48,19.342769
48,18.453969
48,18.454737
48,18.094242
48,18.134218
48,19.027989
48,18.990855
49,18.723218
49,19.294354
49,18.550246
49,18.808945
49,18.063447
49,17.911815
49,18.732159
49,18.596206
49,19.002943
49,19.056508
50,19.169112
50,19.254809
50,19.185160
50,19.079165
50,18.448888
50,18.713382
50,19.469979
50,19.198276
50,19.515055
50,19.322327
