cnt_p,time
1,0.023047
1,0.026843
1,0.024976
1,0.020461
1,0.020526
1,0.020412
1,0.034445
1,0.022238
1,0.020870
1,0.020680
1,0.020879
1,0.021014
1,0.029400
1,0.025496
1,0.019777
1,0.021970
1,0.019846
1,0.020524
1,0.020948
1,0.019827
2,0.075256
2,0.103617
2,0.071057
2,0.072041
2,0.071427
2,0.077324
2,0.074791
2,0.048540
2,0.066758
2,0.071390
2,0.060290
2,0.066860
2,0.049295
2,0.071027
2,0.059263
2,0.106858
2,0.082885
2,0.044129
2,0.091373
2,0.071188
3,0.128498
3,0.122209
3,0.146089
3,0.132456
3,0.157297
3,0.162432
3,0.144234
3,0.128861
3,0.164272
3,0.177515
3,0.145948
3,0.138590
3,0.139652
3,0.143335
3,0.155584
3,0.131722
3,0.141834
3,0.180427
3,0.150474
3,0.171604
4,0.199502
4,0.200069
4,0.192398
4,0.192702
4,0.191401
4,0.232423
4,0.238909
4,0.220731
4,0.219118
4,0.178733
4,0.219227
4,0.201535
4,0.204985
4,0.202343
4,0.176457
4,0.212770
4,0.191772
4,0.221670
4,0.214733
4,0.187361
5,0.265159
5,0.268492
5,0.263148
5,0.273480
5,0.291789
5,0.292866
5,0.259600
5,0.282105
5,0.254545
5,0.304418
5,0.270499
5,0.277353
5,0.272105
5,0.265806
5,0.309666
5,0.284741
5,0.272723
5,0.282072
5,0.305177
5,0.290669
6,0.324265
6,0.385521
6,0.360203
6,0.334754
6,0.357045
6,0.330584
6,0.350142
6,0.390128
6,0.347358
6,0.301171
6,0.379997
6,0.321258
6,0.324103
6,0.370858
6,0.374090
6,0.421457
6,0.375809
6,0.352853
6,0.358364
6,0.356117
7,0.384810
7,0.400889
7,0.402094
7,0.438676
7,0.343273
7,0.401312
7,0.414441
7,0.422901
7,0.417972
7,0.417812
7,0.415632
7,0.426025
7,0.388256
7,0.432926
7,0.396832
7,0.406466
7,0.440911
7,0.423175
7,0.389700
7,0.378527
8,0.497628
8,0.483309
8,0.504117
8,0.464198
8,0.484006
8,0.272782
8,0.422375
8,0.476747
8,0.492788
8,0.470202
8,0.453049
8,0.354059
8,0.425122
8,0.426466
8,0.502602
8,0.508394
8,0.500249
8,0.468459
8,0.463006
8,0.506256
9,0.574497
9,0.572561
9,0.544606
9,0.551985
9,0.574026
9,0.556172
9,0.522826
9,0.573048
9,0.488400
9,0.517196
9,0.536921
9,0.534953
9,0.520926
9,0.560515
9,0.498239
9,0.553745
9,0.563952
9,0.543361
9,0.541504
9,0.556627
10,0.627090
10,0.605483
10,0.603149
10,0.586131
10,0.645625
10,0.617030
10,0.589643
10,0.608396
10,0.565673
10,0.608320
10,0.652275
10,0.577507
10,0.626185
10,0.554918
10,0.609061
10,0.623801
10,0.556932
10,0.621456
10,0.586572
10,0.605352
11,0.750450
11,0.678882
11,0.676830
11,0.638076
11,0.629388
11,0.646941
11,0.682452
11,0.666890
11,0.704722
11,0.680430
11,0.684657
11,0.661738
11,0.671090
11,0.649494
11,0.659826
11,0.700700
11,0.687563
11,0.690838
11,0.720637
11,0.678264
12,0.773037
12,0.724220
12,0.756030
12,0.771437
12,0.746043
12,0.763271
12,0.726492
12,0.803094
12,0.773141
12,0.777113
12,0.746383
12,0.786537
12,0.747559
12,0.733400
12,0.758901
12,0.736900
12,0.778711
12,0.774252
12,0.741421
12,0.743946
13,0.859576
13,0.767832
13,0.787168
13,0.814701
13,0.866691
13,0.777415
13,0.803591
13,0.829796
13,0.796676
13,0.750093
13,0.784983
13,0.810390
13,0.812165
13,0.836043
13,0.809495
13,0.808499
13,0.789709
13,0.826234
13,0.809768
13,0.816084
14,0.886817
14,0.897601
14,0.908713
14,0.839709
14,0.891375
14,0.877521
14,0.905194
14,0.875111
14,0.841534
14,0.860091
14,0.919766
14,0.960508
14,0.852183
14,0.901360
14,0.958319
14,0.910157
14,0.861967
14,0.913174
14,0.902651
14,0.909863
15,0.954605
15,0.984400
15,0.973938
15,0.901774
15,0.947406
15,0.991114
15,0.914657
15,1.000096
15,0.952656
15,0.956089
15,0.972167
15,0.937659
15,0.889190
15,0.957290
15,0.925454
15,0.966989
15,0.953188
15,0.900318
15,0.911696
15,0.900628
16,1.075811
16,0.967502
16,1.032273
16,1.060335
16,1.064592
16,1.054386
16,1.002303
16,1.007337
16,1.013842
16,1.059222
16,1.020610
16,1.058015
16,1.016493
16,1.066160
16,1.097797
16,1.014689
16,1.007158
16,0.994120
16,0.998167
16,1.019720
17,1.049224
17,1.030744
17,1.071199
17,1.160066
17,1.064436
17,1.061100
17,1.074271
17,1.099673
17,1.134197
17,1.109868
17,1.063421
17,1.068941
17,1.066596
17,1.046111
17,1.172742
17,1.138640
17,1.043578
17,1.092408
17,1.050798
17,1.072554
18,1.129516
18,1.130391
18,1.158383
18,1.178635
18,1.192469
18,1.184624
18,1.154735
18,1.193654
18,1.148103
18,1.158441
18,1.105338
18,1.184864
18,1.143899
18,1.165914
18,1.097595
18,1.206897
18,1.173089
18,1.148977
18,1.081058
18,1.184257
19,1.227562
19,1.200305
19,1.215699
19,1.246888
19,1.433395
19,1.146035
19,1.239864
19,1.173829
19,1.204390
19,1.191957
19,1.145022
19,1.211977
19,1.135082
19,1.179415
19,1.156856
19,1.206547
19,1.195481
19,1.264174
19,1.187627
19,1.192939
20,1.288798
20,1.236152
20,1.283234
20,1.293244
20,1.345431
20,1.336217
20,1.250113
20,1.253535
20,1.278438
20,1.267499
20,1.281354
20,1.201162
20,1.277450
20,1.217643
20,1.231668
20,1.293756
20,1.283298
20,1.335598
20,1.260090
20,1.281805
21,1.334325
21,1.272919
21,1.321782
21,1.354410
21,1.344754
21,1.366581
21,1.334684
21,1.311740
21,1.291567
21,1.319251
21,1.352631
21,1.349632
21,1.365855
21,1.391930
21,1.370362
21,1.280073
21,1.256883
21,1.355022
21,1.305889
21,1.334007
22,1.413802
22,1.433346
22,1.401796
22,1.376091
22,1.479714
22,1.401195
22,1.448831
22,1.366370
22,1.362405
22,1.466335
22,1.341045
22,1.462793
22,1.381835
22,1.419458
22,1.450334
22,1.390117
22,1.423369
22,1.389147
22,1.446686
22,1.512019
23,1.550361
23,1.434619
23,1.490424
23,1.490278
23,1.589193
23,1.472028
23,1.517731
23,1.431536
23,1.450904
23,1.463234
23,1.514271
23,1.536769
23,1.465970
23,1.525020
23,1.500080
23,1.524749
23,1.530978
23,1.498492
23,1.460811
23,1.548872
24,1.544430
24,1.513962
24,1.628719
24,1.597059
24,1.515664
24,1.555014
24,1.620388
24,1.584253
24,1.548371
24,1.524498
24,1.503115
24,1.672662
24,1.539879
24,1.565780
24,1.645391
24,1.530067
24,1.553831
24,1.623677
24,1.626399
24,1.607501
25,1.597686
25,1.600988
25,1.617224
25,1.661694
25,1.637874
25,1.638667
25,1.641185
25,1.655536
25,1.580685
25,1.553968
25,1.618715
25,1.608791
25,1.634997
25,1.632505
25,1.614843
25,1.610243
25,1.630933
25,1.715029
25,1.686318
25,1.616553
26,1.633930
26,1.777170
26,1.632785
26,1.806599
26,1.681145
26,1.677345
26,1.635240
26,1.750177
26,1.686179
26,1.739576
26,1.731119
26,1.711000
26,1.710719
26,1.680367
26,1.670676
26,1.667675
26,1.728012
26,1.689593
26,1.670716
26,1.736963
27,1.765915
27,1.734658
27,1.772958
27,1.801437
27,1.738774
27,1.778859
27,1.797201
27,1.717374
27,1.750013
27,1.836331
27,1.789124
27,1.791207
27,1.623036
27,1.765718
27,1.805274
27,1.805381
27,1.774696
27,1.714483
27,1.772855
27,1.692215
28,1.816591
28,1.779198
28,1.875870
28,1.865762
28,1.775392
28,1.808198
28,1.886528
28,1.855283
28,1.911042
28,1.812230
28,1.831555
28,1.772580
28,1.773252
28,1.816768
28,1.839160
28,1.795240
28,1.864504
28,1.691276
28,1.828056
28,1.815826
29,1.820076
29,1.930159
29,1.968590
29,1.933742
29,1.892718
29,1.899245
29,1.906473
29,1.973905
29,1.955838
29,1.917505
29,1.870211
29,1.898390
29,1.907900
29,1.778647
29,1.457645
29,1.776045
29,1.842297
29,1.837465
29,1.830927
29,1.755124
30,1.906299
30,2.042767
30,1.968670
30,1.965266
30,1.989167
30,1.896806
30,1.929130
30,1.934233
30,1.819224
30,2.000810
30,1.881772
30,2.000220
30,2.031435
30,1.902676
30,1.969259
30,1.946132
30,1.996089
30,1.929171
30,1.932947
30,1.982051
31,2.095005
31,2.083692
31,2.158470
31,2.056408
31,2.125297
31,2.061783
31,2.015606
31,2.079849
31,2.053410
31,1.974416
31,2.048011
31,1.993882
31,2.059827
31,2.084580
31,2.070680
31,2.122490
31,2.007119
31,2.012651
31,2.057304
31,2.034099
32,2.047325
32,2.034254
32,2.103271
32,2.183353
32,2.094839
32,2.104049
32,2.027580
32,2.063671
32,2.124948
32,2.146281
32,2.026525
32,2.165777
32,2.078431
32,2.075341
32,2.148907
32,2.018531
32,2.037052
32,2.045950
32,2.188813
32,2.053710
33,2.182051
33,2.216139
33,2.160200
33,2.116492
33,2.176909
33,2.217012
33,2.166047
33,2.216788
33,2.211776
33,2.099060
33,2.156876
33,2.137979
33,2.142376
33,2.130066
33,2.172226
33,2.053663
33,2.179092
33,2.188872
33,2.160996
33,2.036816
34,2.211925
34,2.270057
34,2.302208
34,2.209858
34,2.261039
34,2.230431
34,2.378089
34,2.231714
34,2.249966
34,2.194564
34,2.232678
34,2.215581
34,2.117523
34,2.227253
34,2.238131
34,2.253634
34,2.162761
34,2.276064
34,2.189321
34,2.185664
35,2.369929
35,2.305334
35,2.244021
35,2.333516
35,2.253354
35,2.285043
35,2.284949
35,2.245177
35,2.337561
35,2.338165
35,2.393336
35,2.253490
35,2.266916
