cnt_p,time
1,0.010976
1,0.012433
1,0.009275
1,0.010417
1,0.009174
1,0.012733
1,0.010036
1,0.011472
1,0.009246
1,0.009359
1,0.009288
1,0.009146
1,0.009370
1,0.009115
1,0.013952
1,0.009873
1,0.009616
1,0.009375
1,0.009306
1,0.010425
1,0.009156
1,0.009696
1,0.010058
1,0.010360
1,0.010639
1,0.009343
1,0.011861
1,0.009453
1,0.009111
1,0.009940
1,0.010031
1,0.009336
1,0.009157
1,0.009414
1,0.009997
1,0.011122
1,0.009591
1,0.019154
1,0.009035
1,0.009305
2,0.028501
2,0.026891
2,0.043086
2,0.036184
2,0.027490
2,0.034920
2,0.052034
2,0.057296
2,0.021834
2,0.023927
2,0.025359
2,0.019916
2,0.065014
2,0.024254
2,0.028590
2,0.030714
2,0.043256
2,0.039581
2,0.040495
2,0.021987
2,0.033547
2,0.023897
2,0.070099
2,0.023431
2,0.023094
2,0.019524
2,0.018720
2,0.093968
2,0.019213
2,0.021757
2,0.042313
2,0.028548
2,0.022928
2,0.035952
2,0.054008
2,0.023982
2,0.022292
2,0.023682
2,0.033028
2,0.022851
3,0.118271
3,0.077001
3,0.128128
3,0.097198
3,0.085735
3,0.129132
3,0.083791
3,0.044108
3,0.058493
3,0.092304
3,0.061847
3,0.054273
3,0.038483
3,0.037047
3,0.095654
3,0.028054
3,0.080466
3,0.096295
3,0.052364
3,0.055046
3,0.052294
3,0.032420
3,0.119006
3,0.135253
3,0.053314
3,0.052216
3,0.063326
3,0.104662
3,0.052494
3,0.075566
3,0.063978
3,0.090707
3,0.064767
3,0.056567
3,0.071420
3,0.096856
3,0.038419
3,0.103077
3,0.062970
3,0.109087
4,0.130713
4,0.056928
4,0.105636
4,0.119195
4,0.256552
4,0.131172
4,0.136020
4,0.172312
4,0.112482
4,0.241464
4,0.137847
4,0.190514
4,0.123205
4,0.134768
4,0.230577
4,0.146066
4,0.197784
4,0.096428
4,0.173984
4,0.107162
4,0.136960
4,0.082563
4,0.123440
4,0.110036
4,0.156165
4,0.106563
4,0.194691
4,0.091295
4,0.185978
4,0.179260
4,0.133295
4,0.176529
4,0.163836
4,0.141292
4,0.179240
4,0.069442
4,0.164270
4,0.149269
4,0.148766
4,0.101517
5,0.297852
5,0.312040
5,0.208320
5,0.200633
5,0.204057
5,0.333889
5,0.296236
5,0.249152
5,0.191874
5,0.236190
5,0.259028
5,0.246141
5,0.153689
5,0.359084
5,0.221184
5,0.238213
5,0.314654
5,0.181492
5,0.328281
5,0.209719
5,0.286850
5,0.205331
5,0.221468
5,0.238996
5,0.333053
5,0.220775
5,0.185592
5,0.269972
5,0.189684
5,0.204870
5,0.241718
5,0.239405
5,0.338288
5,0.226538
5,0.337561
5,0.278119
5,0.214655
5,0.247015
5,0.128924
5,0.255921
6,0.392187
6,0.389225
6,0.250028
6,0.339971
6,0.371032
6,0.436991
6,0.403852
6,0.369499
6,0.500721
6,0.410276
6,0.478560
6,0.603330
6,0.388362
6,0.370916
6,0.437842
6,0.365029
6,0.366088
6,0.378932
6,0.547771
6,0.596697
6,0.416178
6,0.388588
6,0.372422
6,0.386158
6,0.384370
6,0.398937
6,0.444011
6,0.427589
6,0.415974
6,0.425919
6,0.368014
6,0.298189
6,0.559518
6,0.322635
6,0.270672
6,0.270790
6,0.417703
6,0.333805
6,0.379180
6,0.433398
7,0.645979
7,0.646585
7,0.445859
7,0.551285
7,0.402643
7,0.793011
7,0.522948
7,0.532526
7,0.557700
7,0.631012
7,0.606620
7,0.465544
7,0.492201
7,0.630614
7,0.464490
7,0.575041
7,0.556935
7,0.316268
7,0.380494
7,0.502147
7,0.487623
7,0.640471
7,0.354148
7,0.350582
7,0.589604
7,0.542811
7,0.613629
7,0.421461
7,0.463534
7,0.538381
7,0.589879
7,0.435896
7,0.492076
7,0.616130
7,0.577062
7,0.428493
7,0.456549
7,0.677852
7,0.528721
7,0.630612
8,0.640738
8,0.406520
8,0.768754
8,0.589767
8,0.547985
8,0.458302
8,0.611053
8,0.546106
8,0.733287
8,0.535550
8,0.558478
8,0.783034
8,0.636609
8,0.680659
8,0.837022
8,0.475968
8,0.502359
8,0.773047
8,0.631187
8,0.935170
8,0.593302
8,0.729389
8,0.625782
8,0.647121
8,0.729783
8,0.528755
8,0.828031
8,0.695276
8,0.563543
8,0.777099
8,0.482158
8,0.742278
8,0.728076
8,0.674067
8,1.063906
8,0.877782
8,0.697589
8,0.728312
8,0.784772
8,0.617722
9,1.283731
9,0.943998
9,0.765807
9,1.045340
9,0.815795
9,0.876782
9,0.952982
9,0.797323
9,0.777429
9,1.124375
9,0.955203
9,0.848240
9,0.798148
9,0.822470
9,1.135834
9,0.681273
9,0.906219
9,0.897812
9,0.635573
9,0.759330
9,0.622665
9,0.826770
9,0.665698
9,0.770195
9,1.170956
9,0.708977
9,1.045188
9,0.823702
9,0.978188
9,0.841440
9,1.042373
9,0.937545
9,0.760082
9,0.810640
9,0.915950
9,0.823821
9,0.748937
9,0.594941
9,0.935527
9,0.785457
10,1.197236
10,0.923811
10,1.181683
10,0.864406
10,1.021692
10,1.008681
10,1.077007
10,0.929771
10,1.117231
10,1.104195
10,1.147140
10,1.024394
10,1.010400
10,1.322851
10,1.043444
10,1.142715
10,1.111171
10,1.085668
10,1.294326
10,1.152113
10,0.821308
10,1.051735
10,1.287897
10,1.233612
10,0.999184
10,1.135164
10,1.252205
10,1.075010
10,1.024657
10,1.107169
10,0.854864
10,1.055100
10,1.014068
10,1.176772
10,1.317543
10,1.187752
10,0.981360
10,1.011000
10,1.219419
10,0.865553
11,1.376087
11,1.076975
11,1.202238
11,1.280253
11,1.179485
11,1.313191
11,1.312521
11,1.404458
11,1.344583
11,1.136049
11,1.542864
11,1.274646
11,1.254481
11,1.291358
11,1.541016
11,1.483682
11,1.427523
11,1.457772
11,1.521389
11,1.408593
11,1.633869
11,1.187517
11,1.464585
11,1.371151
11,1.299488
11,1.450542
11,1.547344
11,1.084539
11,1.395376
11,1.216732
11,1.526091
11,1.329936
11,1.041200
11,1.356699
11,1.654973
11,1.512492
11,1.562752
11,1.548485
11,1.195383
11,1.615185
12,1.422146
12,1.280277
12,1.712633
12,1.698069
12,1.438413
12,1.259315
12,2.014896
12,1.708446
12,1.473449
12,1.612957
12,1.304446
12,1.699852
12,1.797176
12,1.973602
12,1.707607
12,1.604493
12,1.701092
12,1.580060
12,1.416189
12,1.456412
12,1.454538
12,1.662108
12,1.707898
12,1.538620
12,1.764043
12,1.796576
12,1.699765
12,1.375843
12,1.902692
12,1.368045
12,1.608542
12,1.149920
12,1.703093
12,1.659829
12,1.227938
12,1.635151
12,1.499938
12,1.540507
12,1.639278
12,1.403663
13,1.693301
13,1.541724
13,1.767973
13,1.989530
13,1.641374
13,1.891105
13,1.563249
13,1.974650
13,1.880543
13,1.980599
13,1.554159
13,1.656084
13,1.906877
13,1.851693
13,1.882945
13,2.165671
13,1.931849
13,1.755504
13,2.659719
13,1.869394
13,1.918088
13,1.637321
13,1.819379
13,1.683716
13,1.649503
13,1.571552
13,1.828536
13,1.972911
13,2.087980
13,1.738418
13,1.977869
13,2.018509
13,1.701222
13,1.831345
13,2.080003
13,1.504089
13,2.023488
13,1.830312
13,1.961561
13,1.835945
14,2.430100
14,1.828685
14,1.726037
14,2.198860
14,2.405805
14,2.031818
14,2.295142
14,2.231815
14,2.521751
14,2.041269
14,2.440958
14,2.112027
14,2.189365
14,1.842625
14,2.153894
14,2.018710
14,2.202054
14,2.233618
14,1.985588
14,1.942403
14,2.311915
14,2.141480
14,1.877941
14,2.103776
14,2.081110
14,1.921590
14,1.990963
14,1.969773
14,2.090978
14,2.481364
14,2.036490
14,2.002177
14,2.276354
14,2.180936
14,1.972730
14,2.187901
14,2.100291
14,2.523758
14,1.994991
14,2.243361
15,2.845241
15,3.142880
15,2.538193
15,2.303999
15,2.176774
15,2.325962
15,2.310562
15,2.290125
15,2.750440
15,2.468558
15,3.042541
15,2.920081
15,2.891768
15,2.193827
15,2.167398
15,2.111304
15,2.390173
15,2.505659
15,2.438260
15,2.452808
15,2.213661
15,2.423991
15,2.480695
15,2.479381
15,2.321416
15,2.610011
15,2.063631
15,2.545222
15,3.027652
15,2.525723
15,2.892321
15,2.919215
15,2.705416
15,2.019638
15,2.316491
15,2.801877
15,2.430280
15,2.458658
15,2.827321
15,2.334508
16,3.029579
16,2.783016
16,2.822728
16,2.761012
16,2.946575
16,2.769042
16,2.898670
16,2.849950
16,3.221827
16,2.926117
16,2.596009
16,3.084487
16,2.774509
16,2.511559
16,3.009779
16,3.266002
16,3.684754
16,2.553867
16,2.980212
16,3.154017
16,3.085127
16,2.945046
16,2.896348
16,2.635327
16,2.734274
16,2.920790
16,3.153613
16,2.923228
16,2.965500
16,2.449674
16,3.503410
16,2.728700
16,3.086908
16,3.147436
16,3.222335
16,2.964220
16,2.767727
16,3.079169
16,2.439475
16,2.728948
17,3.351292
17,3.124311
17,3.825658
17,3.236368
17,2.773101
17,3.400763
17,3.334268
17,3.048560
17,3.445256
17,4.087935
17,2.617298
17,3.171596
17,3.210632
17,2.993348
17,3.117955
17,3.701047
17,3.195117
17,2.612398
17,3.832119
17,3.511140
17,3.100283
17,2.895410
17,3.589703
17,3.523677
17,3.155798
17,2.740245
17,2.718394
17,3.434880
17,3.383796
17,3.174494
17,3.298707
17,3.262177
17,3.113116
17,3.160347
17,3.551554
17,3.508775
17,3.224017
17,3.511389
17,3.852798
17,3.474681
18,3.592293
18,4.244104
18,4.083556
18,3.452619
18,3.745363
18,3.851923
18,3.587348
18,3.899278
18,3.476256
18,3.721549
18,3.665221
18,3.582741
18,4.289473
18,3.741088
18,3.364623
18,3.792686
18,3.644329
18,3.581881
18,3.420566
18,3.710513
18,3.309582
18,3.603128
18,3.956768
18,3.744899
18,3.714423
18,3.571148
18,3.588829
18,3.449252
18,3.933076
18,3.598264
18,3.558658
18,3.538773
18,3.214492
18,3.569490
18,3.766104
18,3.006976
18,3.205513
18,3.572941
18,3.083584
18,3.599930
19,4.167720
19,3.546847
19,4.079961
19,4.088253
19,4.313090
19,3.940552
19,3.612358
19,4.180531
19,3.432635
19,3.730328
19,4.535234
19,4.349250
19,4.135039
19,3.672052
19,4.376691
19,3.714528
19,4.474413
19,3.950912
19,4.173117
