cnt_p,time
1,0.013660
1,0.014347
1,0.022472
1,0.015202
1,0.012703
1,0.012898
1,0.012848
1,0.014117
1,0.012767
1,0.012910
1,0.014106
1,0.016246
1,0.012682
1,0.012202
1,0.012797
1,0.013690
1,0.012432
1,0.012470
1,0.015176
1,0.013826
1,0.015933
1,0.013262
1,0.013294
1,0.012878
1,0.013361
1,0.013385
1,0.013886
1,0.012602
1,0.012691
1,0.014160
1,0.012410
1,0.015949
1,0.013315
1,0.013536
1,0.016207
1,0.013051
1,0.021967
1,0.014493
1,0.017522
1,0.012802
2,0.059965
2,0.031198
2,0.037813
2,0.025127
2,0.156025
2,0.035295
2,0.070896
2,0.049626
2,0.029228
2,0.045810
2,0.036159
2,0.026827
2,0.054531
2,0.083845
2,0.032953
2,0.066706
2,0.024763
2,0.060575
2,0.063444
2,0.028136
2,0.033107
2,0.033564
2,0.036543
2,0.029456
2,0.094216
2,0.032103
2,0.028859
2,0.040714
2,0.029615
2,0.040383
2,0.030059
2,0.077158
2,0.025945
2,0.039867
2,0.052651
2,0.030597
2,0.027154
2,0.032488
2,0.026548
2,0.117072
3,0.163276
3,0.097283
3,0.122961
3,0.181777
3,0.108203
3,0.132809
3,0.125694
3,0.147951
3,0.114685
3,0.212754
3,0.162202
3,0.107473
3,0.196679
3,0.132954
3,0.149451
3,0.111794
3,0.110088
3,0.094610
3,0.137494
3,0.128634
3,0.111718
3,0.154843
3,0.179684
3,0.089982
3,0.123554
3,0.090186
3,0.147917
3,0.068663
3,0.065290
3,0.114855
3,0.182795
3,0.112341
3,0.126608
3,0.102986
3,0.138248
3,0.110561
3,0.122031
3,0.111876
3,0.138635
3,0.174541
4,0.186336
4,0.219728
4,0.407932
4,0.264415
4,0.356021
4,0.391492
4,0.345263
4,0.325733
4,0.332535
4,0.132311
4,0.315567
4,0.314140
4,0.318639
4,0.191511
4,0.379550
4,0.307308
4,0.233380
4,0.216476
4,0.249453
4,0.172117
4,0.297283
4,0.317031
4,0.240252
4,0.281776
4,0.275748
4,0.259816
4,0.357633
4,0.312042
4,0.331328
4,0.196120
4,0.301833
4,0.348084
4,0.334723
4,0.207140
4,0.196229
4,0.342262
4,0.333029
4,0.279573
4,0.307106
4,0.318352
5,0.443251
5,0.300912
5,0.298998
5,0.393077
5,0.356768
5,0.516477
5,0.422093
5,0.482276
5,0.430577
5,0.451050
5,0.475699
5,0.223064
5,0.345353
5,0.510280
5,0.419278
5,0.340405
5,0.355003
5,0.626636
5,0.379727
5,0.431032
5,0.430719
5,0.440137
5,0.570906
5,0.437670
5,0.462010
5,0.530405
5,0.517594
5,0.380491
5,0.479698
5,0.460776
5,0.456142
5,0.341786
5,0.432569
5,0.306185
5,0.417746
5,0.387009
5,0.514442
5,0.406264
5,0.405585
5,0.455998
6,0.672084
6,0.473315
6,0.539646
6,0.598532
6,0.492521
6,0.667107
6,0.744421
6,0.685537
6,0.628745
6,0.685507
6,0.575978
6,0.736310
6,0.654773
6,0.579086
6,0.468888
6,0.632550
6,0.498487
6,0.593545
6,0.555257
6,0.405314
6,0.660287
6,0.508994
6,0.853204
6,0.712812
6,0.663060
6,0.714804
6,0.732498
6,0.679517
6,0.412965
6,0.746129
6,0.519605
6,0.718096
6,0.394161
6,0.614424
6,0.777566
6,0.603761
6,0.802458
6,0.792680
6,0.532435
6,0.679947
7,0.973716
7,0.802464
7,0.793220
7,0.714558
7,0.936597
7,0.828699
7,1.180584
7,0.587913
7,0.778682
7,1.065795
7,0.813331
7,0.801222
7,0.975523
7,0.620304
7,0.940685
7,0.827305
7,0.909323
7,0.732322
7,0.701032
7,0.593751
7,0.762870
7,0.520423
7,0.617386
7,0.828731
7,0.968525
7,0.692768
7,0.646786
7,0.823992
7,1.025845
7,0.827056
7,0.866017
7,0.753031
7,0.992858
7,0.893492
7,0.767014
7,0.934582
7,0.940136
7,0.821379
7,0.677328
7,0.892431
8,0.946813
8,0.925140
8,1.058653
8,0.635209
8,0.731400
8,1.125119
8,1.062202
8,1.082933
8,1.095331
8,1.018016
8,0.970839
8,0.808357
8,1.111555
8,1.325619
8,0.949888
8,1.352039
8,1.089156
8,1.299789
8,1.117413
8,0.996043
8,0.820900
8,0.947245
8,1.205097
8,1.297284
8,1.236053
8,1.004200
8,1.086954
8,1.145120
8,1.062644
8,1.285833
8,0.968499
8,1.056068
8,1.119128
8,1.046185
8,0.866524
8,1.206160
8,1.212488
8,1.357282
8,1.337599
8,1.416092
9,1.179824
9,1.564719
9,1.462258
9,1.292869
9,1.719159
9,1.889998
9,1.892292
9,1.303553
9,1.173147
9,1.363507
9,1.074618
9,1.235572
9,1.747406
9,1.243818
9,1.672071
9,1.721214
9,1.439838
9,1.138520
9,1.409157
9,1.357324
9,1.555798
9,1.228765
9,1.284982
9,1.570944
9,1.646988
9,1.738753
9,1.334270
9,1.216152
9,1.738397
9,1.179818
9,1.144652
9,1.343215
9,1.392699
9,1.530320
9,1.635131
9,1.332082
9,1.426175
9,1.550105
9,1.435961
9,1.084272
10,2.060307
10,1.585524
10,1.942468
10,1.903000
10,1.570650
10,1.790646
10,2.266461
10,2.028445
10,1.473594
10,1.883037
10,1.639654
10,1.838914
10,1.590108
10,1.583182
10,1.959355
10,1.614383
10,1.562798
10,1.619065
10,1.656367
10,1.298970
10,1.545006
10,1.729015
10,1.721209
10,1.461036
10,1.942287
10,1.667594
10,1.438657
10,1.875509
10,1.514151
10,1.805356
10,1.920345
10,1.801060
10,1.710522
10,1.527443
10,1.761495
10,2.077198
10,1.657523
10,1.964397
10,1.200351
10,1.778967
11,1.870237
11,2.421071
11,2.662207
11,2.444892
11,1.864613
11,2.113492
11,2.268509
11,2.637724
11,1.728787
11,2.191797
11,2.300131
11,1.964811
11,2.136814
11,2.177169
11,2.091101
11,1.678742
11,2.355034
11,2.251401
11,2.116715
11,1.708001
11,2.402669
11,2.585940
11,2.353714
11,2.007221
11,2.140636
11,2.371087
11,2.223500
11,2.230695
11,1.881934
11,2.196632
11,1.757554
11,2.169433
11,2.068776
11,1.585536
11,2.311124
11,1.744803
11,1.966134
11,1.972073
11,1.965928
11,2.206440
12,2.191576
12,2.763688
12,2.010526
12,2.722054
12,1.890806
12,2.074018
12,2.406356
12,2.451300
12,2.342587
12,2.549188
12,1.656570
12,2.942636
12,2.994059
12,2.903450
12,2.821893
12,2.110399
12,2.731533
12,2.309423
12,2.942357
12,2.379318
12,2.789499
12,2.262471
12,2.431561
12,2.833286
12,2.453039
12,2.712598
12,2.634587
12,2.190529
12,2.802533
12,2.082967
12,2.185885
12,2.117552
12,2.871798
12,2.519395
12,2.519480
12,2.523229
12,2.866150
12,2.078764
12,2.125633
12,2.101027
13,2.884256
13,3.027175
13,3.404610
13,3.410853
13,3.250639
13,3.010498
13,3.313793
13,2.819233
13,3.143982
13,3.591497
13,2.847872
13,2.295559
13,2.798480
13,3.246803
13,2.704675
13,2.525643
13,3.101308
13,2.385588
13,2.964754
13,2.962537
13,2.999114
13,2.916189
13,2.916552
13,2.936554
13,2.683860
13,2.877447
13,3.134681
13,3.214626
13,2.995318
13,2.505982
13,3.625848
13,3.764967
13,3.144985
13,2.924017
13,2.481074
13,3.629151
13,3.682582
13,2.376004
13,2.581887
13,3.401287
14,3.914058
14,3.886344
14,2.706683
14,3.775316
14,3.327923
14,2.904921
14,3.052006
14,3.495035
14,3.585161
14,3.898114
14,3.011261
14,3.217014
14,4.037188
14,3.111459
14,3.468808
14,3.084205
14,3.544096
14,3.908645
14,2.606471
14,3.524665
14,3.047445
14,3.721634
14,3.995076
14,3.318462
14,3.739880
14,3.705168
14,3.896461
14,3.950020
14,3.491958
14,3.361092
14,3.050876
14,3.557675
14,3.837831
14,3.337393
14,3.227458
14,3.657738
14,3.664719
14,3.033209
14,3.221023
14,3.874427
15,3.990540
15,3.912490
15,4.646484
15,4.127608
15,3.241083
15,3.280160
15,4.518290
15,3.956356
15,3.652353
15,4.092496
15,4.720478
15,4.050252
15,3.433609
15,3.658369
15,4.095607
15,3.879792
15,4.874996
15,4.733852
15,3.664731
15,4.139156
15,4.196032
15,4.476464
15,3.596538
15,5.399227
15,3.841723
15,4.945291
15,3.767241
15,4.060819
15,4.254240
15,3.798788
15,5.038161
15,4.680520
15,3.740316
15,4.894508
15,3.329653
15,4.120540
15,4.150685
15,3.325620
15,4.039351
15,3.612422
16,5.109733
16,4.611177
16,5.090904
16,4.965830
16,4.666910
16,4.773119
16,4.221069
16,4.785802
16,4.951902
16,4.140440
16,4.245500
16,3.944174
16,4.553616
16,3.866902
16,4.269449
16,4.416325
16,4.501194
16,4.260116
16,4.812778
16,5.060510
16,4.150032
16,3.378969
16,4.321997
16,4.943131
16,4.834348
16,3.477084
16,4.046207
16,5.070219
16,4.541522
16,4.107393
16,4.403406
16,5.041541
16,4.675969
16,4.586138
16,5.206189
16,4.367285
16,4.635535
16,5.600563
16,5.291661
16,4.004185
17,5.571398
17,4.356580
17,5.301698
17,4.901536
17,4.620498
17,5.489652
17,5.058011
17,6.053253
17,5.629308
17,5.201469
17,5.354795
17,5.848236
17,4.517498
17,6.240520
17,6.086258
17,3.917624
17,5.839054
17,5.632038
17,5.088391
17,5.735367
17,5.833635
17,5.997372
17,5.028554
17,4.999428
17,5.385211
17,5.961704
17,5.901416
17,5.959192
17,5.822790
17,5.047299
17,5.261472
17,4.388287
17,5.012326
17,5.551025
17,4.483141
17,3.968177
17,5.711382
17,5.315716
17,5.458339
17,5.145089
18,5.475870
18,4.933714
18,5.595566
18,5.065155
18,5.822584
18,6.767002
18,6.448406
18,5.776571
18,5.523265
18,5.589440
18,6.096819
18,4.969446
18,6.199190
18,5.497489
18,5.113167
18,4.934638
18,6.687842
18,6.226425
18,5.383400
18,5.561013
