cnt_p,time
1,0.064979
1,0.065251
1,0.065261
1,0.065048
1,0.065393
1,0.065496
1,0.065575
1,0.064814
1,0.064919
1,0.065118
2,0.169271
2,0.176615
2,0.158461
2,0.178613
2,0.149903
2,0.167974
2,0.154264
2,0.183603
2,0.170490
2,0.162275
3,0.223289
3,0.245363
3,0.251378
3,0.228192
3,0.266172
3,0.258927
3,0.264685
3,0.229002
3,0.252512
3,0.243732
4,0.349702
4,0.319315
4,0.369647
4,0.369340
4,0.314600
4,0.372955
4,0.331542
4,0.311869
4,0.357085
4,0.352213
5,0.444441
5,0.411556
5,0.407502
5,0.443482
5,0.399899
5,0.376993
5,0.424063
5,0.385698
5,0.435224
5,0.443483
6,0.482913
6,0.484934
6,0.495316
6,0.470817
6,0.496104
6,0.510798
6,0.516783
6,0.509745
6,0.499272
6,0.499251
7,0.675535
7,0.558576
7,0.600079
7,0.560788
7,0.549223
7,0.652887
7,0.589363
7,0.588302
7,0.623080
7,0.561891
8,0.761592
8,0.686578
8,0.709835
8,0.645686
8,0.667642
8,0.640422
8,0.693705
8,0.637392
8,0.658432
8,0.657282
9,0.865812
9,0.718588
9,0.724932
9,0.733752
9,0.753304
9,0.880399
9,0.776721
9,0.716579
9,0.748356
9,0.796413
10,0.837130
10,0.859952
10,0.805297
10,0.827543
10,0.887312
10,0.812776
10,0.928101
10,0.855255
10,0.851478
10,0.788548
11,0.953601
11,0.894627
11,0.865608
11,1.019393
11,0.991685
11,0.928234
11,0.876436
11,0.831477
11,0.937829
11,0.902987
12,1.132997
12,0.999705
12,0.977164
12,1.022409
12,1.052667
12,0.986062
12,1.086732
12,1.080052
12,1.071169
12,1.025814
13,1.163678
13,1.055434
13,1.025312
13,1.105305
13,1.135741
13,1.098291
13,0.996532
13,1.144219
13,1.061762
13,1.175000
14,1.141491
14,1.153927
14,1.200574
14,1.366642
14,1.114904
14,1.090657
14,1.078526
14,1.108341
14,1.191989
14,1.165767
15,1.263997
15,1.235932
15,1.172815
15,1.372261
15,1.351909
15,1.138127
15,1.178369
15,1.210471
15,1.266535
15,1.317444
16,1.416781
16,1.347180
16,1.574322
16,1.357846
16,1.374690
16,1.488536
16,1.399291
16,1.287375
16,1.347620
16,1.356041
17,1.314555
17,1.543622
17,1.504552
17,1.357886
