cnt_p,time
1,0.002429
1,0.002457
1,0.002423
1,0.002437
1,0.002428
1,0.002416
1,0.002530
1,0.002438
1,0.002417
1,0.002470
1,0.002464
1,0.002441
1,0.002496
1,0.002433
1,0.002442
1,0.002410
1,0.002469
1,0.002429
1,0.002432
1,0.002445
2,0.004832
2,0.017961
2,0.004849
2,0.004807
2,0.015426
2,0.004957
2,0.005017
2,0.004867
2,0.013752
2,0.014973
2,0.014622
2,0.004961
2,0.006016
2,0.004865
2,0.004823
2,0.004877
2,0.005090
2,0.004809
2,0.015001
2,0.004834
3,0.021275
3,0.021941
3,0.031448
3,0.021788
3,0.026007
3,0.022939
3,0.022528
3,0.012821
3,0.007203
3,0.007205
3,0.007589
3,0.017773
3,0.012193
3,0.017270
3,0.025967
3,0.025463
3,0.026494
3,0.021392
3,0.020754
3,0.022701
4,0.044923
4,0.047732
4,0.039741
4,0.060121
4,0.053183
4,0.036930
4,0.030254
4,0.046596
4,0.038383
4,0.042616
4,0.043582
4,0.042867
4,0.044784
4,0.044137
4,0.037794
4,0.041181
4,0.035884
4,0.042875
4,0.040346
4,0.030503
5,0.020787
5,0.049070
5,0.072942
5,0.077514
5,0.065159
5,0.061006
5,0.058008
5,0.066494
5,0.069837
5,0.040692
5,0.059888
5,0.042439
5,0.049153
5,0.052858
5,0.051063
5,0.052684
5,0.032165
5,0.015834
5,0.012329
5,0.012689
6,0.030546
6,0.073090
6,0.080907
6,0.085396
6,0.077811
6,0.072052
6,0.062555
6,0.017904
6,0.066564
6,0.063236
6,0.066384
6,0.061810
6,0.063934
6,0.054262
6,0.062215
6,0.062065
6,0.061875
6,0.061669
6,0.079455
6,0.092872
7,0.107593
7,0.073589
7,0.069279
7,0.072543
7,0.066526
7,0.077785
7,0.071645
7,0.061255
7,0.030779
7,0.064287
7,0.017610
7,0.019638
7,0.021371
7,0.073049
7,0.099073
7,0.091079
7,0.069961
7,0.061489
7,0.061954
7,0.055931
8,0.087828
8,0.079544
8,0.086604
8,0.064044
8,0.079947
8,0.077608
8,0.097645
8,0.117680
8,0.104845
8,0.090186
8,0.080110
8,0.075692
8,0.073066
8,0.095551
8,0.089866
8,0.063633
8,0.090783
8,0.031400
8,0.040155
8,0.026506
9,0.119661
9,0.108523
9,0.091293
9,0.076785
9,0.095007
9,0.079706
9,0.093615
9,0.090024
9,0.112350
9,0.107260
9,0.126587
9,0.116723
9,0.093409
9,0.103688
9,0.105808
9,0.102164
9,0.078324
9,0.098751
9,0.113130
9,0.113945
10,0.032924
10,0.072700
10,0.116071
10,0.108194
10,0.106241
10,0.097767
10,0.091375
10,0.101064
10,0.107353
10,0.143735
10,0.157475
10,0.095233
10,0.100247
10,0.107762
10,0.115491
10,0.105773
10,0.090693
10,0.100424
10,0.165039
10,0.103078
11,0.027746
11,0.069363
11,0.121070
11,0.113417
11,0.105793
11,0.094464
11,0.114344
11,0.122672
11,0.151026
11,0.152820
11,0.103930
11,0.127741
11,0.104830
11,0.090273
11,0.115795
11,0.137379
11,0.176228
11,0.122193
11,0.030121
11,0.041938
12,0.097513
12,0.121832
12,0.119728
12,0.121007
12,0.155834
12,0.187003
12,0.139714
12,0.116963
12,0.125284
12,0.122348
12,0.102287
12,0.117351
12,0.170762
12,0.177562
12,0.133933
12,0.034167
12,0.035518
12,0.130254
12,0.120582
12,0.109093
13,0.153768
13,0.184125
13,0.176207
13,0.137601
13,0.135298
13,0.118073
13,0.112240
13,0.155141
13,0.192074
13,0.149481
13,0.126918
13,0.033969
13,0.087176
13,0.131493
13,0.134634
13,0.153661
13,0.158290
13,0.145827
13,0.135983
13,0.129252
14,0.119253
14,0.139984
14,0.185291
14,0.178037
14,0.136801
14,0.146336
14,0.129713
14,0.038992
14,0.059242
14,0.161545
14,0.204130
14,0.159012
14,0.169582
14,0.122649
14,0.141045
14,0.113755
14,0.181962
14,0.195974
14,0.161959
14,0.142144
15,0.158853
15,0.122846
15,0.060896
15,0.172906
15,0.192469
15,0.168767
15,0.146893
15,0.144459
15,0.156395
15,0.186493
15,0.202679
15,0.146808
15,0.172451
15,0.158533
15,0.166812
15,0.063835
15,0.194253
15,0.180528
15,0.160653
15,0.132920
16,0.134875
16,0.169113
16,0.219762
16,0.152956
16,0.168993
16,0.147265
16,0.171097
16,0.210939
16,0.073544
16,0.070921
16,0.204537
16,0.167721
16,0.172345
16,0.161241
16,0.196785
16,0.202890
16,0.175785
16,0.171962
16,0.171025
16,0.182262
17,0.212064
17,0.085096
17,0.157435
17,0.151092
17,0.167309
17,0.203824
17,0.227230
17,0.200705
17,0.173969
17,0.214464
17,0.176446
17,0.241167
17,0.170308
17,0.049573
17,0.164293
17,0.159748
17,0.188122
17,0.243094
17,0.204597
17,0.185587
18,0.178642
18,0.218154
18,0.262954
18,0.178551
18,0.163026
18,0.056509
18,0.165592
18,0.214854
18,0.204769
18,0.195129
18,0.194409
18,0.209564
18,0.274091
18,0.210390
18,0.197607
18,0.173433
18,0.071941
18,0.177734
18,0.228072
18,0.215237
19,0.193001
19,0.187114
19,0.260092
19,0.230334
19,0.201244
19,0.186229
19,0.190986
19,0.059641
19,0.264650
19,0.206687
19,0.234690
19,0.200327
19,0.293350
19,0.201190
19,0.218966
19,0.241567
19,0.219534
19,0.093881
19,0.162165
19,0.213195
20,0.230380
20,0.219433
20,0.277962
20,0.213869
20,0.201925
20,0.212459
20,0.294691
20,0.088331
20,0.212253
20,0.210641
20,0.215265
20,0.251017
20,0.256058
20,0.219249
20,0.252994
20,0.304832
20,0.210378
20,0.100212
20,0.221965
20,0.209689
21,0.282824
21,0.189867
21,0.229326
21,0.202933
21,0.282451
21,0.244154
21,0.186010
21,0.081735
21,0.224588
21,0.255795
21,0.228346
21,0.219203
21,0.231419
21,0.315049
21,0.272379
21,0.209523
21,0.196237
21,0.111988
21,0.266942
21,0.215772
22,0.231511
22,0.223216
22,0.288940
22,0.216446
22,0.253269
22,0.234990
22,0.274267
22,0.124341
22,0.184045
22,0.214118
22,0.249544
22,0.319607
22,0.271309
22,0.249092
22,0.292491
22,0.257827
22,0.106251
22,0.207673
22,0.213550
22,0.291945
23,0.248697
23,0.227009
23,0.286903
23,0.311081
23,0.232009
23,0.091512
23,0.235785
23,0.320551
23,0.257095
23,0.295411
23,0.268916
23,0.347034
23,0.251529
23,0.146041
23,0.198209
23,0.317256
23,0.235938
23,0.281525
23,0.342488
23,0.261421
24,0.262541
24,0.231252
24,0.115165
24,0.307012
24,0.310626
24,0.253742
24,0.356219
24,0.282079
24,0.266816
24,0.327198
24,0.119402
24,0.236690
24,0.254235
24,0.264673
24,0.301196
24,0.298593
24,0.273034
24,0.356161
24,0.226653
24,0.144548
25,0.264572
25,0.364178
25,0.304816
25,0.263961
25,0.349839
25,0.325944
25,0.215762
25,0.143750
25,0.311049
25,0.274500
25,0.246578
25,0.292387
25,0.331515
25,0.256385
25,0.283943
25,0.141135
25,0.322641
25,0.254158
25,0.228679
25,0.319427
26,0.316300
26,0.300873
26,0.274704
26,0.105838
26,0.277989
26,0.268540
26,0.258971
26,0.359042
26,0.289163
26,0.254985
26,0.327276
26,0.107199
26,0.267422
26,0.243273
26,0.325439
26,0.332051
26,0.270310
26,0.289833
26,0.332617
26,0.146383
27,0.296152
27,0.353854
27,0.305178
27,0.330270
27,0.357379
27,0.310543
27,0.195104
27,0.183812
27,0.384455
27,0.330527
27,0.302743
27,0.357294
27,0.342482
27,0.230871
27,0.185141
27,0.332192
27,0.343156
27,0.323166
27,0.383369
27,0.312328
28,0.323349
28,0.196796
28,0.324718
28,0.242698
28,0.361757
28,0.319884
28,0.339163
28,0.365328
28,0.157016
28,0.304240
28,0.294295
28,0.386918
28,0.308972
28,0.308074
28,0.354446
28,0.269915
28,0.161868
28,0.305241
28,0.353328
28,0.330924
29,0.418479
29,0.295686
29,0.344073
29,0.127447
29,0.364578
29,0.347289
29,0.330876
29,0.420196
29,0.307389
29,0.325181
29,0.210298
29,0.319803
29,0.304152
29,0.390757
29,0.313624
29,0.315633
29,0.363075
