cnt_p,time
1,0.001227
1,0.001233
1,0.002010
1,0.001235
1,0.001233
1,0.001256
1,0.001232
1,0.001217
1,0.001259
1,0.001249
1,0.001243
1,0.001226
1,0.001234
1,0.001241
1,0.001228
1,0.001239
1,0.001267
1,0.001231
1,0.001234
1,0.001229
1,0.001232
1,0.001232
1,0.001240
1,0.001195
1,0.001267
1,0.001232
1,0.001299
1,0.001233
1,0.001414
1,0.001188
1,0.001187
1,0.001214
1,0.001304
1,0.001427
1,0.001233
1,0.001209
1,0.001219
1,0.001197
1,0.001212
1,0.001213
2,0.013803
2,0.015619
2,0.013984
2,0.014041
2,0.012959
2,0.013725
2,0.002447
2,0.015285
2,0.014487
2,0.015198
2,0.014339
2,0.013723
2,0.002443
2,0.014865
2,0.004244
2,0.013894
2,0.014208
2,0.012047
2,0.002422
2,0.002381
2,0.002415
2,0.002655
2,0.002438
2,0.002776
2,0.002421
2,0.004444
2,0.002410
2,0.002405
2,0.002424
2,0.002428
2,0.002394
2,0.002436
2,0.002425
2,0.007580
2,0.002399
2,0.002417
2,0.002424
2,0.002398
2,0.002417
2,0.002415
3,0.009703
3,0.031419
3,0.017883
3,0.009704
3,0.015060
3,0.012813
3,0.013497
3,0.003655
3,0.003666
3,0.009150
3,0.014600
3,0.013540
3,0.014900
3,0.019598
3,0.018548
3,0.018420
3,0.019291
3,0.022998
3,0.010024
3,0.017392
3,0.017820
3,0.022785
3,0.020785
3,0.020540
3,0.015250
3,0.011432
3,0.021585
3,0.020751
3,0.020746
3,0.011744
3,0.024514
3,0.021894
3,0.009368
3,0.003717
3,0.003664
3,0.013111
3,0.003576
3,0.003575
3,0.003601
3,0.003571
4,0.004854
4,0.023074
4,0.028142
4,0.036154
4,0.032304
4,0.031622
4,0.016325
4,0.024432
4,0.017038
4,0.026325
4,0.020308
4,0.010893
4,0.027999
4,0.029604
4,0.033037
4,0.013796
4,0.027614
4,0.029781
4,0.019297
4,0.030044
4,0.031793
4,0.027119
4,0.044181
4,0.005295
4,0.023243
4,0.030981
4,0.014392
4,0.033525
4,0.026709
4,0.014165
4,0.025166
4,0.013260
4,0.028405
4,0.019430
4,0.012902
4,0.033617
4,0.029712
4,0.012831
4,0.022066
4,0.023440
5,0.038197
5,0.042518
5,0.038869
5,0.037599
5,0.039053
5,0.039311
5,0.099649
5,0.056271
5,0.027622
5,0.042261
5,0.016792
5,0.027333
5,0.028011
5,0.026461
5,0.023005
5,0.051643
5,0.032955
5,0.036890
5,0.049385
5,0.040910
5,0.063092
5,0.040090
5,0.034448
5,0.046447
5,0.033416
5,0.005955
5,0.006014
5,0.026357
5,0.005947
5,0.005944
5,0.005902
5,0.005928
5,0.005979
5,0.005932
5,0.007337
5,0.005903
5,0.006108
5,0.026180
5,0.036870
5,0.033714
6,0.007465
6,0.044891
6,0.041532
6,0.088646
6,0.032773
6,0.044632
6,0.033501
6,0.047212
6,0.052102
6,0.073836
6,0.065368
6,0.053202
6,0.030840
6,0.037941
6,0.038740
6,0.035685
6,0.110597
6,0.100160
6,0.047588
6,0.043412
6,0.098232
6,0.036492
6,0.081829
6,0.026783
6,0.039857
6,0.104149
6,0.089218
6,0.007291
6,0.023620
6,0.041822
6,0.049404
6,0.045926
6,0.060243
6,0.042987
6,0.060106
6,0.042883
6,0.134320
6,0.007224
6,0.033338
6,0.036141
7,0.041264
7,0.128087
7,0.142158
7,0.058087
7,0.083429
7,0.051837
7,0.062622
7,0.064188
7,0.185237
7,0.092711
7,0.125263
7,0.082817
7,0.076702
7,0.091158
7,0.090786
7,0.008574
7,0.085238
7,0.109107
7,0.052814
7,0.156432
7,0.043215
7,0.068647
7,0.074749
7,0.011814
7,0.012754
7,0.010937
7,0.008778
7,0.059005
7,0.045755
7,0.075049
7,0.041285
7,0.067936
7,0.075962
7,0.057298
7,0.099845
7,0.046461
7,0.105048
7,0.161036
7,0.096792
7,0.128315
8,0.115712
8,0.137521
8,0.019161
8,0.106420
8,0.079683
8,0.093251
8,0.128662
8,0.106469
8,0.079385
8,0.051747
8,0.038680
8,0.025698
8,0.010056
8,0.009956
8,0.009983
8,0.040028
8,0.079124
8,0.051726
8,0.069827
8,0.068783
