cnt_p,time
1,0.001595
1,0.001977
1,0.001627
1,0.001617
1,0.001588
1,0.001974
1,0.001588
1,0.001585
1,0.001672
1,0.002065
1,0.001618
1,0.001599
1,0.001611
1,0.001972
1,0.001595
1,0.001650
1,0.001677
1,0.001616
1,0.001611
1,0.001626
1,0.001635
1,0.001630
1,0.001642
1,0.001633
1,0.001803
1,0.004978
1,0.002988
1,0.001651
1,0.001607
1,0.001622
1,0.001625
1,0.001644
1,0.001600
1,0.001643
1,0.001659
1,0.001577
1,0.001630
1,0.001588
1,0.001583
1,0.001599
2,0.017509
2,0.003190
2,0.003232
2,0.003185
2,0.003237
2,0.020222
2,0.003210
2,0.016604
2,0.003259
2,0.010154
2,0.025221
2,0.017723
2,0.013555
2,0.003223
2,0.003434
2,0.007745
2,0.003421
2,0.003179
2,0.003210
2,0.003279
2,0.003204
2,0.003231
2,0.003281
2,0.003257
2,0.003181
2,0.003233
2,0.003175
2,0.012994
2,0.003237
2,0.003267
2,0.003156
2,0.003191
2,0.003230
2,0.003201
2,0.003240
2,0.003199
2,0.003309
2,0.003218
2,0.003194
2,0.003221
3,0.026884
3,0.038568
3,0.064848
3,0.031397
3,0.035194
3,0.022084
3,0.056364
3,0.027336
3,0.033659
3,0.063428
3,0.076115
3,0.026923
3,0.077030
3,0.050954
3,0.017693
3,0.036125
3,0.054233
3,0.032118
3,0.085451
3,0.034710
3,0.033305
3,0.096714
3,0.035512
3,0.034247
3,0.015442
3,0.027784
3,0.004972
3,0.030610
3,0.031478
3,0.065735
3,0.019437
3,0.030873
3,0.094226
3,0.052389
3,0.042598
3,0.071369
3,0.041848
3,0.021466
3,0.005230
3,0.005195
4,0.006421
4,0.006460
4,0.006779
4,0.006772
4,0.108198
4,0.067862
4,0.028222
4,0.064938
4,0.127223
4,0.080686
4,0.079914
4,0.023557
4,0.021511
4,0.018871
4,0.018548
4,0.014707
4,0.070089
4,0.034522
4,0.123130
4,0.028392
4,0.032056
4,0.080437
4,0.093320
4,0.020106
4,0.065864
4,0.080516
4,0.022427
4,0.045617
4,0.073134
4,0.020373
4,0.074956
4,0.077281
4,0.035133
4,0.038782
