cnt_p,time
1,0.508396
2,0.763914
3,0.983310
4,1.298455
5,1.544480
6,1.798568
7,2.044498
8,2.466037
9,2.902946
10,3.332273
11,3.749967
12,4.149651
13,4.610614
14,5.057670
15,5.514319
16,5.988875
17,6.498956
18,6.674839
19,7.046050
20,7.686519
21,7.719716
22,8.413964
23,8.632246
24,9.856065
25,9.350764
26,10.072711
27,10.267340
28,10.692286
29,11.342732
30,11.301980
31,11.419642
32,11.916624
33,12.285858
34,12.294520
35,13.260833
36,13.198207
37,13.647889
38,13.737493
39,14.284427
40,14.891076
41,15.222820
42,15.210385
43,15.825593
44,15.997392
45,16.407652
46,16.249673
47,16.972771
48,17.946524
49,17.637358
50,17.787135
51,18.402666
52,18.233534
53,18.531250
54,18.946123
55,19.721308
56,19.654089
57,20.006487
58,20.213532
59,20.543187
60,21.060062
61,21.530481
62,22.878585
63,23.492977
64,22.799308
65,23.083324
66,23.708579
67,24.250884
68,24.464940
69,24.725858
70,25.251924
71,25.479895
72,25.458789
73,26.390866
74,26.159786
75,27.644190
76,28.716780
77,29.152175
78,28.427523
79,28.742350
80,29.376845
