cnt_p,time
1,0.019808
2,0.130219
3,0.157622
4,0.259817
5,0.384143
6,0.491165
7,0.620286
8,0.766827
9,0.817506
10,0.877988
11,0.940941
12,1.053102
13,1.095269
14,1.202493
15,1.270550
16,1.359917
17,1.423793
18,1.483641
19,1.629299
20,1.677393
21,1.792611
22,1.799965
23,1.980719
24,2.080164
25,2.178785
26,2.287701
27,2.241474
28,2.445113
29,2.576380
30,2.715993
31,2.764156
32,2.907134
33,3.025559
34,3.071725
35,3.213193
36,3.356981
37,3.380609
38,3.479824
39,3.471972
40,3.701628
41,3.883128
42,3.984451
43,3.932832
44,4.195919
45,4.358308
46,4.425968
47,4.511272
48,4.591338
49,4.597628
50,4.733179
51,4.827596
52,4.972895
53,5.087788
54,5.130983
55,5.231255
56,5.331984
57,5.447271
58,5.445437
59,5.679871
60,5.646666
61,5.718869
62,5.868871
63,5.963703
64,6.275337
65,6.584744
66,6.654658
67,6.826695
68,6.892679
69,6.934431
70,7.154272
71,7.358718
72,7.282693
73,7.356956
74,7.429419
75,7.574988
76,7.552248
77,7.699589
78,7.748479
79,7.996320
80,8.196670
