cnt_p,time
1,0.013640
2,0.080665
3,0.321226
4,0.536263
5,0.592435
6,0.688065
7,1.181368
8,1.040781
9,1.743407
10,2.248134
11,2.364933
12,3.031454
13,2.920934
14,2.976806
15,4.738506
16,5.278559
17,6.360223
18,6.113906
19,7.010677
20,6.941628
21,7.564892
22,7.476550
23,11.278441
24,8.921633
25,10.657160
26,12.012925
27,15.940365
28,17.173333
29,19.952393
30,13.715223
31,17.103015
32,17.082287
33,19.561132
34,20.362720
35,20.360071
36,25.506646
37,30.922765
38,25.722067
39,24.193793
40,25.840561
41,29.437017
42,37.668067
43,28.740551
44,31.040767
45,43.996032
46,44.807786
47,37.129762
48,49.324902
49,41.515450
50,54.114473
51,57.211462
52,57.615187
53,51.123912
54,61.681382
55,51.636688
56,58.456141
57,69.899897
58,58.614545
59,54.199873
60,55.381634
61,63.205597
62,61.681124
63,59.383841
64,72.804108
65,71.922013
66,71.957473
67,66.482374
68,99.527771
69,88.748019
