cnt_p,time
1,0.077354
1,0.073224
1,0.068062
1,0.069059
1,0.068780
1,0.067320
1,0.071872
1,0.072886
1,0.067672
1,0.073956
2,0.122419
2,0.191780
2,0.145326
2,0.125823
2,0.130162
2,0.125294
2,0.130336
2,0.134686
2,0.125606
2,0.126418
3,0.186193
3,0.175793
3,0.176136
3,0.194706
3,0.180660
3,0.180688
3,0.178475
3,0.174991
3,0.186651
3,0.177057
4,0.236569
4,0.238173
4,0.244661
4,0.234869
4,0.227989
4,0.225450
4,0.234008
4,0.234749
4,0.232923
4,0.227357
5,0.293161
5,0.290755
5,0.278480
5,0.294344
5,0.286738
5,0.278304
5,0.287977
5,0.277508
5,0.283015
5,0.299118
6,0.330578
6,0.347658
6,0.336931
6,0.334672
6,0.343975
6,0.331033
6,0.333912
6,0.342138
6,0.334625
6,0.326964
7,0.399641
7,0.393640
7,0.398016
7,0.386983
7,0.398180
7,0.393010
7,0.392756
7,0.394027
7,0.395917
7,0.398326
8,0.450529
8,0.447560
8,0.439930
8,0.445649
8,0.440565
8,0.462001
8,0.440773
8,0.452153
8,0.444348
8,0.462249
9,0.505017
9,0.498992
9,0.505404
9,0.500562
9,0.500675
9,0.487611
9,0.500177
9,0.496594
9,0.494097
9,0.495979
10,0.556659
10,0.554415
10,0.544446
10,0.556125
10,0.561026
10,0.548623
10,0.558624
10,0.551514
10,0.553863
10,0.555568
11,0.604652
11,0.620289
11,0.616022
11,0.610938
11,0.601544
11,0.608479
11,0.600305
11,0.596504
11,0.607799
11,0.608013
12,0.656302
12,0.678256
12,0.668507
12,0.663126
12,0.659867
12,0.674382
12,0.661457
12,0.659601
12,0.663620
12,0.669405
13,0.728309
13,0.707310
13,0.716527
13,0.715807
13,0.746683
13,0.717340
13,0.700412
13,0.699076
13,0.715274
13,0.712253
14,0.787995
14,0.781534
14,0.768277
14,0.770477
14,0.791209
14,0.785486
14,0.770329
14,0.776325
14,0.773912
14,0.766604
15,0.844171
15,0.824173
15,0.832537
15,0.829535
15,0.826164
15,0.824227
15,0.818525
15,0.832694
15,0.814876
15,0.810466
16,0.870146
16,0.869160
16,0.873400
16,0.877689
16,0.895301
16,0.874505
16,0.888685
16,0.870784
16,0.882907
16,0.887451
17,0.937530
17,0.932211
17,0.920997
17,0.925843
17,0.922179
17,0.932855
17,0.931814
17,0.927381
17,0.915035
17,0.916807
18,0.992458
18,0.991718
18,0.978215
18,0.995923
18,0.999112
18,0.982853
18,0.982355
18,0.983242
18,0.993159
18,0.994622
19,1.045836
19,1.034522
19,1.038153
19,1.054037
19,1.032775
19,1.050512
19,1.114179
19,1.040536
19,1.033206
19,1.042087
20,1.102154
20,1.096582
20,1.101258
20,1.087162
20,1.161677
20,1.089947
20,1.104518
20,1.147330
20,1.088293
20,1.087923
21,1.139406
21,1.156947
21,1.142210
21,1.162981
21,1.146459
21,1.133052
21,1.147713
21,1.141809
21,1.134771
21,1.147810
22,1.225770
22,1.201177
22,1.194794
22,1.210618
22,1.194219
22,1.207755
22,1.189092
22,1.207604
22,1.208099
22,1.201133
23,1.266782
23,1.266190
23,1.260010
23,1.262622
23,1.257094
23,1.249254
23,1.253009
23,1.263670
23,1.240044
23,1.253096
24,1.333495
24,1.324637
24,1.324821
24,1.319517
24,1.308835
24,1.305977
24,1.325462
24,1.310324
24,1.321738
24,1.314670
25,1.383838
25,1.375729
25,1.369429
25,1.364830
25,1.378031
25,1.373963
25,1.344917
25,1.371594
25,1.371005
25,1.373134
26,1.428860
26,1.412301
26,1.415261
26,1.423073
26,1.409507
26,1.409190
26,1.412873
26,1.416029
26,1.421117
26,1.429859
27,1.472301
27,1.471707
27,1.467713
27,1.495041
27,1.467821
27,1.464404
27,1.516755
27,1.470743
27,1.472826
27,1.449359
28,1.537264
28,1.524809
28,1.520001
28,1.524527
28,1.527663
28,1.519097
28,1.622929
28,1.551073
28,1.515750
28,1.565035
29,1.569557
29,1.569345
29,1.580841
29,1.580598
29,1.623051
29,1.569260
29,1.566372
29,1.568197
29,1.577800
29,1.577115
30,1.636129
30,1.630374
30,1.638743
30,1.629364
30,1.633111
30,1.639975
30,1.620386
30,1.636794
30,1.624736
30,1.621678
