cnt_p,time
1,0.017352
1,0.018109
1,0.020914
1,0.015784
1,0.014639
2,0.034939
2,0.028178
2,0.028799
2,0.027844
2,0.028477
3,0.038106
3,0.034601
3,0.031832
3,0.034660
3,0.035962
4,0.040383
4,0.041038
4,0.039317
4,0.039400
4,0.055664
5,0.088438
5,0.070208
5,0.046747
5,0.046717
5,0.049697
6,0.057467
6,0.054163
6,0.055124
6,0.070605
6,0.106763
7,0.073265
7,0.061651
7,0.063285
7,0.058810
7,0.061069
8,0.069300
8,0.073029
8,0.073295
8,0.066316
8,0.065759
9,0.082293
9,0.074750
9,0.075755
9,0.079998
9,0.081961
10,0.093259
10,0.085989
10,0.080838
10,0.081154
10,0.084141
11,0.090057
11,0.104052
11,0.089063
11,0.092899
11,0.087844
12,0.095370
12,0.093211
12,0.101515
12,0.096463
12,0.094439
13,0.109349
13,0.100408
13,0.110873
13,0.105519
13,0.102207
14,0.113484
14,0.109062
14,0.117081
14,0.108941
14,0.111128
15,0.118711
15,0.119769
15,0.123261
15,0.113283
15,0.117303
16,0.124958
16,0.119201
16,0.124945
16,0.124840
16,0.122418
17,0.137423
17,0.137094
17,0.130951
17,0.131813
17,0.126577
18,0.150077
18,0.134943
18,0.134669
18,0.136566
18,0.142289
19,0.157422
19,0.147450
19,0.141381
19,0.151992
19,0.145439
20,0.157785
20,0.151959
20,0.152273
20,0.151794
20,0.148826
21,0.164077
21,0.161602
21,0.153760
21,0.163691
21,0.153425
22,0.168489
22,0.161139
22,0.171186
22,0.161300
22,0.160317
23,0.182799
23,0.172664
23,0.166032
23,0.169870
23,0.169885
24,0.184571
24,0.188514
24,0.174814
24,0.177943
24,0.174439
25,0.188828
25,0.184940
25,0.183641
25,0.185238
25,0.178308
26,0.201872
26,0.187598
26,0.189807
26,0.198156
26,0.188415
27,0.199026
27,0.206622
27,0.195905
27,0.192707
27,0.202474
28,0.214361
28,0.200209
28,0.200282
28,0.202929
28,0.209245
29,0.213269
29,0.207543
29,0.210139
29,0.206816
29,0.223357
30,0.219814
30,0.213074
30,0.220957
30,0.217865
30,0.220563
