cnt_p,time
1,0.013823
1,0.013796
1,0.010095
1,0.011917
1,0.013622
1,0.010820
1,0.009905
1,0.013657
1,0.013506
1,0.016295
1,0.018713
1,0.018983
1,0.016892
1,0.017464
1,0.020163
1,0.016023
1,0.009921
1,0.015938
1,0.012070
1,0.013224
1,0.014450
1,0.013956
1,0.011863
1,0.010849
1,0.016585
1,0.013913
1,0.013444
1,0.010607
1,0.011742
1,0.015098
2,0.046154
2,0.038168
2,0.028080
2,0.038230
2,0.030198
2,0.027304
2,0.035815
2,0.029179
2,0.028642
2,0.030130
2,0.031212
2,0.033648
2,0.034564
2,0.032053
2,0.030869
2,0.029317
2,0.036219
2,0.026862
2,0.028825
2,0.031119
2,0.036180
2,0.032145
2,0.046361
2,0.029165
2,0.026062
2,0.031965
2,0.030569
2,0.030655
2,0.031922
2,0.032125
3,0.052466
3,0.046221
3,0.048334
3,0.047790
3,0.049121
3,0.046637
3,0.049837
3,0.043411
3,0.048055
3,0.048976
3,0.054533
3,0.043284
3,0.052311
3,0.047117
3,0.049183
3,0.043999
3,0.042725
3,0.047952
3,0.045250
3,0.053133
3,0.046100
3,0.046653
3,0.044499
3,0.054203
3,0.047438
3,0.058275
3,0.046587
3,0.044856
3,0.049097
3,0.042516
4,0.065413
4,0.061401
4,0.058538
4,0.063520
4,0.063964
4,0.065605
4,0.083664
4,0.074218
4,0.073278
4,0.063604
4,0.070479
4,0.062902
4,0.068424
4,0.068915
4,0.076378
4,0.069057
4,0.059740
4,0.060219
4,0.073249
4,0.068489
4,0.071925
4,0.067737
4,0.066246
4,0.073621
4,0.075671
4,0.061275
4,0.070476
4,0.068645
4,0.069730
4,0.065691
5,0.102089
5,0.092488
5,0.084516
5,0.109725
5,0.084344
5,0.094367
5,0.094297
5,0.103034
5,0.085846
5,0.093193
5,0.085422
5,0.098830
5,0.086380
5,0.081301
5,0.088250
5,0.117583
5,0.103264
5,0.090741
5,0.108882
5,0.089499
5,0.076551
5,0.091336
5,0.102763
5,0.109923
5,0.097461
5,0.104910
5,0.099924
5,0.090341
5,0.084515
5,0.095683
6,0.156614
6,0.106098
6,0.113767
6,0.127250
6,0.131114
6,0.129000
6,0.125510
6,0.113949
6,0.118512
6,0.116036
6,0.117319
6,0.116356
6,0.131439
6,0.112602
6,0.117428
6,0.109456
6,0.114048
6,0.118573
6,0.138981
6,0.132082
6,0.126845
6,0.123433
6,0.142940
6,0.122169
6,0.129502
6,0.139578
6,0.120542
6,0.137663
6,0.119025
6,0.110438
7,0.146471
7,0.162895
7,0.158481
7,0.145852
7,0.147872
7,0.146237
7,0.168208
7,0.128390
7,0.134221
7,0.147154
7,0.144878
7,0.164995
7,0.170263
7,0.178548
7,0.154669
7,0.149768
7,0.166076
7,0.179376
7,0.174212
7,0.159595
7,0.147040
7,0.164275
7,0.160032
7,0.140317
7,0.189645
7,0.192350
7,0.176330
7,0.143651
7,0.135880
7,0.163046
8,0.184771
8,0.178061
8,0.178199
8,0.185304
8,0.218237
8,0.197131
8,0.192947
8,0.196251
8,0.190639
8,0.203896
8,0.203214
8,0.170414
8,0.210694
8,0.187734
8,0.197462
8,0.181117
8,0.188258
8,0.186206
8,0.197046
8,0.202524
8,0.197313
8,0.218301
8,0.166578
8,0.204310
8,0.173310
8,0.196803
8,0.178528
8,0.198385
8,0.199300
8,0.232133
9,0.280127
9,0.224568
9,0.238748
9,0.234441
9,0.246098
9,0.209686
9,0.240232
9,0.242891
9,0.235208
9,0.192065
9,0.248811
9,0.201096
9,0.223284
9,0.238280
9,0.256310
9,0.221033
9,0.263422
9,0.249445
9,0.235394
9,0.206361
9,0.230636
9,0.219583
9,0.213523
9,0.233275
9,0.267028
9,0.215653
9,0.268599
9,0.230568
9,0.213297
9,0.271781
10,0.297866
10,0.355035
10,0.261045
10,0.283706
10,0.255769
10,0.262621
10,0.269419
10,0.303556
10,0.281055
10,0.299868
10,0.269448
10,0.283997
10,0.267963
10,0.294237
10,0.285548
10,0.283540
10,0.313786
10,0.301100
10,0.263991
10,0.277968
10,0.282951
10,0.298034
10,0.251877
10,0.287803
10,0.290107
10,0.266928
10,0.282200
10,0.293245
10,0.264657
10,0.249196
11,0.395154
11,0.308819
11,0.298414
11,0.337614
11,0.367939
11,0.368094
11,0.327443
11,0.316327
11,0.353002
11,0.336283
11,0.394971
11,0.364371
11,0.296243
11,0.377506
11,0.336558
11,0.346474
11,0.331043
11,0.337956
11,0.355115
11,0.314712
11,0.322624
11,0.326351
11,0.295461
11,0.306739
11,0.311510
11,0.325950
11,0.372083
11,0.338747
11,0.293874
11,0.265656
12,0.355882
12,0.403469
12,0.395331
12,0.368320
12,0.399113
12,0.363948
12,0.318968
12,0.433833
12,0.415481
12,0.395521
12,0.385036
12,0.430676
12,0.427592
12,0.395224
12,0.365083
12,0.361624
12,0.367559
12,0.409783
12,0.343076
12,0.418799
12,0.414947
12,0.371278
12,0.360270
12,0.384592
12,0.381615
12,0.377602
12,0.372787
12,0.446819
12,0.403791
12,0.393695
13,0.449905
13,0.468090
13,0.397572
13,0.422168
13,0.446788
13,0.462424
13,0.424144
13,0.467302
13,0.452836
13,0.467653
13,0.422702
13,0.407649
13,0.442482
13,0.412758
13,0.416219
13,0.485107
13,0.426297
13,0.423881
13,0.414878
13,0.421242
13,0.412921
13,0.488239
13,0.447846
13,0.426283
13,0.382417
13,0.391188
13,0.434848
13,0.489942
13,0.425649
13,0.445779
14,0.543284
14,0.548132
14,0.510116
14,0.508015
14,0.521913
14,0.515310
14,0.512869
14,0.530059
14,0.573827
14,0.436381
14,0.517738
14,0.516091
14,0.490075
14,0.524968
14,0.540628
14,0.554417
14,0.523481
14,0.547061
14,0.541293
14,0.491135
14,0.489496
14,0.463550
14,0.475337
14,0.546922
14,0.540113
14,0.574880
14,0.463338
14,0.508127
14,0.494704
14,0.515476
15,0.569458
15,0.568378
15,0.551762
15,0.581470
15,0.530238
15,0.536840
15,0.622842
15,0.521492
15,0.662329
15,0.481211
15,0.501964
15,0.662742
15,0.584618
15,0.593054
15,0.598592
15,0.687486
15,0.591640
15,0.577966
15,0.511479
15,0.570626
15,0.651244
15,0.581743
15,0.616015
15,0.549782
15,0.546505
15,0.626162
15,0.605090
15,0.482017
15,0.526336
15,0.564660
16,0.677296
16,0.565831
16,0.615749
16,0.593378
16,0.550765
16,0.683956
16,0.665709
16,0.616934
16,0.553256
16,0.682952
16,0.652097
16,0.634898
16,0.653419
16,0.598699
16,0.691634
16,0.659487
16,0.617294
16,0.560189
16,0.573835
16,0.614868
16,0.599737
16,0.717822
16,0.615838
16,0.693731
16,0.675340
16,0.651477
16,0.685971
16,0.623497
16,0.623678
16,0.639334
17,0.693949
17,0.739135
17,0.747771
17,0.711621
17,0.673716
17,0.639330
17,0.656430
17,0.745156
17,0.793159
17,0.666777
17,0.732758
17,0.708907
17,0.766559
17,0.754338
17,0.733743
17,0.700868
17,0.625852
17,0.573784
17,0.661808
17,0.687145
17,0.631685
17,0.685485
17,0.733972
17,0.665707
17,0.657310
17,0.746993
17,0.740254
17,0.707759
17,0.648497
17,0.696325
18,0.861677
18,0.763480
18,0.849664
18,0.745852
18,0.860175
18,0.780418
18,0.782625
18,0.773466
18,0.793768
18,0.753321
18,0.800919
18,0.861037
18,0.718502
18,0.843849
18,0.810622
18,0.696581
18,0.875461
18,0.750049
18,0.705752
18,0.752176
18,0.834471
18,0.793312
18,0.806379
18,0.782020
18,0.789627
18,0.732198
18,0.848444
18,0.817266
18,0.841350
18,0.793094
19,0.897791
19,0.885776
19,0.851465
19,0.934574
19,0.751063
19,0.885529
19,0.897082
19,0.829332
19,0.775708
19,0.950070
19,0.899363
19,0.916189
19,0.808604
19,0.798110
19,0.844442
19,0.849515
19,0.954602
19,0.924504
19,0.988338
19,0.832258
19,0.914001
19,0.904864
19,0.927674
19,0.921698
19,0.869839
19,0.853850
19,0.865941
19,0.890525
19,0.821175
19,0.882275
20,0.875245
20,0.848185
20,0.934788
20,0.900131
20,0.968431
20,0.899772
20,0.931333
20,0.956145
20,0.928605
20,1.091542
20,1.030119
20,0.998435
20,0.924278
20,1.054085
20,0.925254
20,1.067588
20,0.826476
20,1.005645
20,0.865016
20,0.942053
20,0.922165
20,0.952609
20,0.932320
20,0.903732
20,0.994615
20,0.921491
20,1.077922
20,0.997114
20,0.926073
20,1.088419
21,1.012047
21,0.996515
21,1.004520
21,1.101184
21,1.026809
21,0.994727
21,1.034619
21,1.051776
21,1.074028
21,0.964293
21,1.070245
21,1.098006
21,1.041071
21,1.029798
21,1.111115
21,1.101518
21,1.004194
21,0.937860
21,1.065695
21,1.079901
21,1.035218
21,1.082920
21,1.158420
21,1.047618
21,1.081934
21,1.046924
21,0.980162
21,1.107342
21,1.066794
21,1.036229
22,1.198732
22,0.986013
22,1.265443
22,1.335354
22,1.323785
22,1.187719
22,1.103500
22,1.032328
22,1.154845
22,1.170490
22,1.012889
22,1.140598
22,1.198230
22,1.117681
22,1.114513
22,1.128723
22,1.247901
22,0.967120
22,1.193795
22,1.194220
22,1.189051
22,1.189815
22,1.096325
22,1.087384
22,1.208930
22,1.166995
22,1.222207
22,1.193531
22,1.164277
22,1.245543
23,1.276995
23,1.219232
23,1.188311
23,1.217818
23,1.325111
23,1.252081
23,1.143519
23,1.137168
23,1.263579
23,1.350097
23,1.312426
23,1.234928
23,1.306730
23,1.387413
23,1.190514
23,1.192258
23,1.209977
23,1.207847
23,1.212687
23,1.334530
23,1.249630
23,1.110791
23,1.222952
23,1.091546
23,1.304461
23,1.265154
23,1.240475
23,1.297706
23,1.196192
23,1.151412
24,1.283460
24,1.398569
24,1.441006
24,1.245759
24,1.272925
24,1.299928
24,1.488729
24,1.371710
24,1.385384
24,1.438331
24,1.335643
24,1.504440
24,1.466036
24,1.419087
24,1.404699
24,1.408870
24,1.398773
24,1.373639
24,1.336362
24,1.367382
24,1.488653
24,1.394965
24,1.265698
24,1.323212
24,1.380815
24,1.293134
24,1.443281
24,1.391925
24,1.287029
24,1.253838
25,1.451254
25,1.359414
25,1.435815
25,1.449170
25,1.284943
25,1.613350
25,1.487238
25,1.312526
25,1.508327
25,1.369331
25,1.391042
25,1.550682
25,1.416013
25,1.259611
25,1.520654
25,1.479763
25,1.336309
25,1.431345
25,1.439791
25,1.523386
25,1.534453
25,1.271249
25,1.432516
25,1.506540
25,1.362435
25,1.280108
25,1.367934
25,1.330745
25,1.470861
25,1.357987
26,1.597807
26,1.574400
26,1.769262
26,1.673524
26,1.673145
26,1.778963
26,1.639995
26,1.653467
26,1.669794
26,1.401631
26,1.575605
26,1.731814
26,1.779931
26,1.538395
26,1.489693
26,1.522988
26,1.703371
26,1.573948
26,1.544866
26,1.265386
26,1.531021
26,1.531168
26,1.610712
26,1.581958
26,1.519605
26,1.612038
26,1.518182
26,1.700728
26,1.618035
26,1.520590
27,1.726727
27,1.542531
27,1.738586
27,1.586593
27,1.897873
27,1.666705
27,1.826515
27,1.702311
27,1.695080
27,1.615606
27,1.612284
27,1.576149
27,1.687986
27,1.578159
27,1.626437
27,1.700667
27,1.713640
27,1.619040
27,1.577621
27,1.660221
27,1.661018
27,1.775541
27,1.812373
27,1.817635
27,1.602778
27,1.646978
27,1.643606
27,1.717871
27,1.824583
27,1.712911
28,1.689139
28,1.749258
28,1.572683
28,1.965780
28,1.617733
28,1.787274
28,1.811572
28,1.668183
28,1.851614
28,1.795756
28,1.791263
28,1.945849
28,1.671697
28,1.777679
28,1.896613
28,1.840449
28,1.871670
28,1.981996
28,1.643800
28,1.797057
28,1.815018
28,1.829349
28,1.622139
28,1.830092
28,1.899362
28,1.927802
28,1.727876
28,1.750850
28,1.810497
28,1.781574
29,2.029765
29,2.015120
29,1.941240
29,1.912329
29,1.846486
29,1.882736
29,1.970902
29,1.737913
29,1.837827
29,1.630310
29,2.119706
29,1.795240
29,1.892372
29,1.668005
29,1.900132
29,1.899672
29,1.979639
29,1.864301
29,1.807722
29,1.939852
29,1.752677
29,1.867816
29,1.971448
29,1.879228
29,1.717002
29,1.742828
29,1.974111
29,1.881690
29,1.990714
29,1.837554
30,1.989759
30,1.972035
30,2.197327
30,2.022183
30,1.780406
30,1.913011
30,2.105239
30,2.124041
30,2.060452
30,2.004413
30,2.184737
30,2.078353
30,1.955622
30,2.030976
30,1.985692
30,2.000409
30,1.957756
30,1.900550
30,2.197014
30,2.142951
30,2.055158
30,1.816067
30,2.135770
30,1.776953
30,2.105376
30,1.995247
30,1.921564
30,2.136965
30,2.222380
30,1.885105
