cnt_p,time
1,0.031525
1,0.027516
1,0.029424
1,0.025479
1,0.027601
1,0.029520
1,0.026501
1,0.029691
1,0.028136
1,0.029645
1,0.029057
1,0.026535
1,0.028063
1,0.028055
1,0.029780
1,0.026404
1,0.024691
1,0.034321
1,0.028407
1,0.036329
1,0.028159
1,0.027293
1,0.029985
1,0.028451
1,0.024541
1,0.029599
1,0.026935
1,0.030240
1,0.030294
1,0.030888
2,0.069512
2,0.074175
2,0.062300
2,0.056695
2,0.047450
2,0.047220
2,0.042358
2,0.048612
2,0.046745
2,0.045496
2,0.056580
2,0.045488
2,0.048385
2,0.047241
2,0.046728
2,0.047495
2,0.045568
2,0.054635
2,0.045902
2,0.043287
2,0.046787
2,0.043388
2,0.047066
2,0.049513
2,0.049264
2,0.047603
2,0.049817
2,0.044661
2,0.052869
2,0.042935
3,0.073157
3,0.076783
3,0.074226
3,0.076669
3,0.071309
3,0.069036
3,0.073108
3,0.072226
3,0.070287
3,0.069985
3,0.073923
3,0.084641
3,0.071479
3,0.069373
3,0.069790
3,0.072172
3,0.072783
3,0.069178
3,0.073717
3,0.068899
3,0.071336
3,0.074380
3,0.074614
3,0.079274
3,0.070322
3,0.074930
3,0.073504
3,0.074999
3,0.068150
3,0.073877
4,0.107559
4,0.106910
4,0.104341
4,0.112949
4,0.106334
4,0.097355
4,0.104332
4,0.111479
4,0.103856
4,0.104466
4,0.115039
4,0.096281
4,0.123446
4,0.098616
4,0.103445
4,0.099407
4,0.099179
4,0.103163
4,0.105754
4,0.099973
4,0.114836
4,0.114029
4,0.108348
4,0.104527
4,0.108685
4,0.107242
4,0.103471
4,0.107161
4,0.105521
4,0.093576
5,0.162614
5,0.149419
5,0.153506
5,0.147368
5,0.148487
5,0.151034
5,0.150612
5,0.139142
5,0.141556
5,0.141890
5,0.141264
5,0.142847
5,0.152736
5,0.147527
5,0.138556
5,0.151674
5,0.145596
5,0.138887
5,0.149307
5,0.156827
5,0.150901
5,0.138467
5,0.145719
5,0.144856
5,0.148303
5,0.153002
5,0.141791
5,0.151092
5,0.131187
5,0.129838
6,0.201209
6,0.188047
6,0.185138
6,0.206493
6,0.198272
6,0.205046
6,0.203664
6,0.196462
6,0.188752
6,0.192653
6,0.183279
6,0.205909
6,0.185312
6,0.189345
6,0.196137
6,0.180762
6,0.196630
6,0.196443
6,0.190737
6,0.195326
6,0.200555
6,0.198334
6,0.186762
6,0.194173
6,0.204709
6,0.184599
6,0.218506
6,0.194196
6,0.196941
6,0.203465
7,0.272684
7,0.247249
7,0.251456
7,0.246442
7,0.266698
7,0.251956
7,0.268954
7,0.257889
7,0.265783
7,0.228854
7,0.258450
7,0.239712
7,0.244112
7,0.228868
7,0.248614
7,0.232600
7,0.264302
7,0.262457
7,0.244831
7,0.245017
7,0.255889
7,0.252305
7,0.241158
7,0.225210
7,0.257724
7,0.244750
7,0.244614
7,0.253370
7,0.237128
7,0.250086
8,0.328677
8,0.301778
8,0.295817
8,0.297852
8,0.317130
8,0.296530
8,0.308350
8,0.342268
8,0.291031
8,0.296022
8,0.298790
8,0.342679
8,0.319374
8,0.302117
8,0.301615
8,0.319630
8,0.315049
8,0.318143
8,0.325985
8,0.311673
8,0.317219
8,0.326694
8,0.322819
8,0.306803
8,0.326297
8,0.318942
8,0.320261
8,0.300223
8,0.319727
8,0.288726
9,0.404573
9,0.409399
9,0.388354
9,0.365331
9,0.392446
9,0.375079
9,0.390862
9,0.392103
9,0.388730
9,0.361065
9,0.379256
9,0.377738
9,0.379600
9,0.371158
9,0.389338
9,0.373025
9,0.363426
9,0.373444
9,0.366442
9,0.375391
9,0.374066
9,0.374696
9,0.382970
9,0.361971
9,0.397342
9,0.375557
9,0.388094
9,0.394129
9,0.390715
9,0.353827
10,0.511377
10,0.453382
10,0.467998
10,0.478786
10,0.478799
10,0.464812
10,0.477411
10,0.473570
10,0.448400
10,0.486240
10,0.485385
10,0.436109
10,0.480229
10,0.451322
10,0.505786
10,0.454335
10,0.475732
10,0.474473
10,0.448599
10,0.456777
10,0.475394
10,0.482395
10,0.456019
10,0.445217
10,0.447013
10,0.483845
10,0.457099
10,0.474826
10,0.450027
10,0.471079
11,0.582224
11,0.557718
11,0.549302
11,0.552277
11,0.560125
11,0.539928
11,0.555505
11,0.571515
11,0.574578
11,0.558361
11,0.560592
11,0.560890
11,0.591703
11,0.555020
11,0.543914
11,0.555638
11,0.562663
11,0.572239
11,0.577583
11,0.567508
11,0.561904
11,0.563965
11,0.545956
11,0.515648
11,0.560503
11,0.538894
11,0.573275
11,0.538890
11,0.572247
11,0.517513
12,0.686413
12,0.664311
12,0.671487
12,0.641419
12,0.652103
12,0.646643
12,0.640700
12,0.676361
12,0.686795
12,0.683034
12,0.698040
12,0.630542
12,0.746983
12,0.663326
12,0.706464
12,0.675233
12,0.721638
12,0.663818
12,0.688338
12,0.613544
12,0.663554
12,0.706178
12,0.732398
12,0.734687
12,0.685413
12,0.663109
12,0.620333
12,0.669478
12,0.657190
12,0.660267
13,0.802494
13,0.755433
13,0.788408
13,0.938453
13,0.794040
13,0.833566
13,0.809219
13,0.743208
13,0.854515
13,0.764397
13,0.839560
13,0.789439
13,0.773068
13,0.753537
13,0.745573
13,0.807277
13,0.797914
13,0.778719
13,0.810579
13,0.793704
13,0.762652
13,0.802973
13,0.753522
13,0.858681
13,0.840779
13,0.841125
13,0.781465
13,0.806344
13,0.733234
13,0.758943
14,0.964506
14,0.984701
14,1.014242
14,1.025634
14,1.002391
14,0.967039
14,0.885120
14,0.917602
14,0.901701
14,0.893842
14,0.983418
14,0.866895
14,0.905486
14,0.926369
14,0.934612
14,0.925715
14,0.887200
14,0.921235
14,0.930508
14,0.946654
14,0.926731
14,0.936236
14,1.104268
14,0.995585
14,0.936744
14,0.979520
14,0.915435
14,0.972738
14,0.943233
14,0.958459
15,1.123971
15,1.119104
15,1.068904
15,1.052096
15,1.101270
15,1.097922
15,1.081796
15,1.009985
15,1.055160
15,1.108763
15,1.082897
15,1.170064
15,1.180721
15,1.083579
15,1.050028
15,1.082382
15,1.028730
15,0.993170
15,1.016440
15,1.046264
15,1.068009
15,1.065795
15,1.026883
15,1.123811
15,1.060679
15,1.056150
15,1.153831
15,0.981425
15,1.098373
15,1.103096
16,1.471145
16,1.153859
16,1.287634
16,1.320067
16,1.240904
16,1.243794
16,1.290151
16,1.378923
16,1.292011
16,1.156006
16,1.228504
16,1.278082
16,1.268063
16,1.244274
16,1.367347
16,1.168557
16,1.248346
16,1.329678
16,1.219071
16,1.247462
16,1.195896
16,1.244611
16,1.280686
16,1.207269
16,1.098721
16,1.226048
16,1.216944
16,1.303535
16,1.251300
16,1.262255
17,1.512929
17,1.357290
17,1.380380
17,1.381109
17,1.366796
17,1.371044
17,1.611447
17,1.334734
17,1.404128
17,1.402532
17,1.354637
17,1.417445
17,1.481807
17,1.362010
17,1.439962
17,1.447277
17,1.443501
17,1.498024
17,1.441483
17,1.464437
17,1.423521
17,1.403298
17,1.484636
17,1.349522
17,1.447018
17,1.506375
17,1.337673
17,1.359183
17,1.454813
17,1.390129
18,1.727507
18,1.764654
18,1.519440
18,1.600398
18,1.603372
18,1.731362
18,1.709547
18,1.650069
18,1.675251
18,1.596955
18,1.720539
18,1.674941
18,1.568552
18,1.384461
18,1.514705
18,1.604935
18,1.568197
18,1.511075
18,1.646536
18,1.766870
18,1.460475
18,1.625337
18,1.721548
18,1.666089
18,1.762383
18,1.587141
18,1.432579
18,1.747551
18,1.701345
18,1.505116
19,1.873677
19,1.825600
19,1.722817
19,1.853405
19,1.917503
19,1.835101
19,1.804168
19,1.685455
19,1.558406
19,1.914477
19,1.882169
19,1.899189
19,1.705190
19,2.142823
19,1.974964
19,1.879085
19,1.919624
19,1.891353
19,1.803344
19,1.767074
19,2.085626
19,1.813504
19,1.825937
19,1.719630
19,1.810986
19,1.892957
19,1.732720
19,1.936119
19,1.862570
19,1.923287
20,2.298947
20,1.860532
20,2.144357
20,2.008485
20,2.173166
20,2.307662
20,2.031060
20,1.948777
20,1.979141
20,2.267198
20,2.192649
20,1.795496
20,1.927809
20,1.979337
20,2.209255
20,2.079094
20,2.090679
20,2.078696
20,2.132841
20,2.122622
20,2.211292
20,2.336133
20,2.115293
20,2.004152
20,2.123144
20,1.966242
20,2.204227
20,1.904766
20,1.871413
20,1.955919
21,2.441413
21,2.192504
21,2.240301
21,2.365774
21,3.499668
21,2.205533
21,2.090562
21,2.269897
21,2.458373
21,2.347609
21,2.221898
21,2.583677
21,2.288321
21,2.015940
21,2.484667
21,2.454249
21,2.185581
21,2.518315
21,2.247302
21,2.436292
21,2.450674
21,2.322509
21,2.566836
21,1.939129
21,2.445908
21,2.272785
21,2.469019
21,2.497883
21,2.387535
21,2.215928
22,3.506990
22,2.371659
22,2.592546
22,3.047744
22,2.598980
22,2.804889
22,2.849022
22,2.606760
22,2.815898
22,2.554874
22,2.773166
22,2.508446
22,2.592300
22,2.700586
22,2.847817
22,2.799159
22,2.518640
22,2.616146
22,2.809969
22,2.524511
22,2.461242
22,2.628657
22,2.508844
22,2.484016
22,2.089878
22,2.322200
22,2.760349
22,2.639096
22,2.378805
22,2.468007
23,2.946173
23,2.940789
23,2.865305
23,2.775495
23,2.739226
23,2.716516
23,3.102675
23,3.213236
23,2.561667
23,2.919850
23,2.780402
23,2.843082
23,2.765423
23,2.875951
23,2.585011
23,2.679153
23,3.074032
23,2.552768
23,3.047715
23,2.703785
23,2.778485
23,3.015138
23,2.980531
23,2.733848
23,2.703492
23,2.685181
23,2.870099
23,2.921095
23,2.937695
23,2.851118
24,3.799710
24,3.003413
24,3.209193
24,3.318467
24,3.267900
24,2.895249
24,3.397114
24,3.168249
24,3.400595
24,2.802931
24,3.362885
24,3.022774
24,2.932575
24,2.625877
24,2.898883
24,3.387164
24,3.803679
24,2.720611
24,3.483506
24,3.197869
24,3.449504
24,3.212297
24,3.237197
24,2.788166
24,3.013812
24,3.548249
24,2.986733
24,3.553865
24,3.237703
24,3.347169
25,3.966026
25,3.429549
25,3.594924
25,3.571433
25,3.725997
25,3.125154
25,3.184032
25,4.012500
25,3.407624
25,4.162592
25,3.242578
25,3.622633
25,3.831491
25,3.265349
25,3.392745
25,3.630817
25,3.317324
25,3.224857
25,3.115150
25,3.068074
25,3.205572
25,3.585419
25,3.191884
25,3.629345
25,3.303237
25,4.293139
25,3.185479
25,3.388196
25,3.196930
25,3.275849
26,4.554300
26,4.101131
26,3.424746
26,4.199921
26,3.644505
26,4.236106
26,3.752206
26,3.589120
26,4.122409
26,3.678952
26,3.767080
26,3.410222
26,3.161977
26,3.773565
26,3.506258
26,3.748353
26,3.874443
26,3.530298
26,3.579327
26,4.493401
26,4.090319
