cnt_p,time
1,0.010103
1,0.009222
1,0.007388
1,0.009495
1,0.007031
1,0.007640
1,0.003230
1,0.007993
1,0.006562
1,0.007041
2,0.015128
2,0.022205
2,0.009342
2,0.013746
2,0.019560
2,0.014799
2,0.015071
2,0.015446
2,0.012063
2,0.015141
3,0.032089
3,0.014374
3,0.019536
3,0.019605
3,0.021224
3,0.022765
3,0.023757
3,0.022629
3,0.025001
3,0.019115
4,0.030661
4,0.028789
4,0.027557
4,0.026404
4,0.027552
4,0.028374
4,0.022527
4,0.032002
4,0.031462
4,0.032277
5,0.035512
5,0.036044
5,0.047033
5,0.047927
5,0.053991
5,0.038008
5,0.031622
5,0.028358
5,0.032390
5,0.031130
6,0.041240
6,0.033074
6,0.032333
6,0.030932
6,0.033840
6,0.034913
6,0.037239
6,0.030083
6,0.034071
6,0.035752
7,0.039549
7,0.038066
7,0.070337
7,0.031862
7,0.041365
7,0.057131
7,0.034889
7,0.035648
7,0.041276
7,0.036670
8,0.060282
8,0.041997
8,0.043489
8,0.041298
8,0.039483
8,0.043957
8,0.042260
8,0.044466
8,0.034515
8,0.039121
9,0.049778
9,0.049192
9,0.040811
9,0.047372
9,0.044896
9,0.050483
9,0.045491
9,0.037392
9,0.050842
9,0.054095
10,0.057802
10,0.051255
10,0.053401
10,0.047876
10,0.052738
10,0.055319
10,0.055001
10,0.064305
10,0.054114
10,0.074057
11,0.071648
11,0.049514
11,0.057964
11,0.058065
11,0.081342
11,0.055558
11,0.067421
11,0.049803
11,0.064936
11,0.073724
12,0.057603
12,0.061475
12,0.088723
12,0.060194
12,0.081798
12,0.064435
12,0.055629
12,0.057435
12,0.054135
12,0.050548
13,0.067233
13,0.065797
13,0.077852
13,0.079173
13,0.065102
13,0.093334
13,0.063897
13,0.071279
13,0.056428
13,0.066784
14,0.097053
14,0.063162
14,0.063018
14,0.070274
14,0.082234
14,0.062100
14,0.082887
14,0.057925
14,0.074430
14,0.067712
15,0.075633
15,0.073241
15,0.074719
15,0.064220
15,0.059427
15,0.103193
15,0.066960
15,0.093438
15,0.069406
15,0.078687
16,0.070787
16,0.067799
16,0.077327
16,0.102280
16,0.073151
16,0.082029
16,0.086402
16,0.069696
16,0.085388
16,0.079786
17,0.090500
17,0.077655
17,0.107968
17,0.085411
17,0.092335
17,0.071800
17,0.078000
17,0.116338
17,0.091299
17,0.066381
18,0.089689
18,0.081913
18,0.079144
18,0.104479
18,0.081143
18,0.109258
18,0.079808
18,0.097036
18,0.105821
18,0.105475
19,0.134898
19,0.095970
19,0.121660
19,0.099181
19,0.107767
19,0.094133
19,0.105225
19,0.105662
19,0.127071
19,0.085337
20,0.092587
20,0.100394
20,0.090095
20,0.120482
20,0.126223
20,0.084821
20,0.085966
20,0.086199
20,0.123297
20,0.091394
21,0.099782
21,0.111213
21,0.167748
21,0.110209
21,0.134186
21,0.152525
21,0.095796
21,0.105829
21,0.101390
21,0.121014
22,0.137122
22,0.156022
22,0.098447
22,0.134234
22,0.103700
22,0.182339
22,0.098835
22,0.128658
22,0.144236
22,0.121111
23,0.163171
23,0.094660
23,0.119952
23,0.130666
23,0.165032
23,0.136658
23,0.096504
23,0.144136
23,0.172738
23,0.143081
24,0.137705
24,0.110517
24,0.118152
24,0.200209
24,0.155196
24,0.163292
24,0.110341
24,0.119369
24,0.110953
24,0.102580
25,0.283852
25,0.131551
25,0.132354
25,0.132574
25,0.122690
25,0.141220
25,0.113820
25,0.163253
25,0.105543
25,0.166029
26,0.145664
26,0.109566
26,0.152654
26,0.171721
26,0.167912
26,0.110045
26,0.150665
26,0.141056
26,0.167746
26,0.143874
27,0.173455
27,0.129080
27,0.220825
27,0.137885
27,0.134775
27,0.153238
27,0.164191
27,0.115006
27,0.153550
27,0.141256
28,0.193929
28,0.269058
28,0.215648
28,0.223041
28,0.116451
28,0.190793
28,0.184911
28,0.149215
28,0.169720
28,0.134260
29,0.147667
29,0.176351
29,0.136151
29,0.178666
29,0.250808
29,0.187015
29,0.118649
29,0.218868
29,0.172386
29,0.147020
30,0.246414
30,0.170238
30,0.210518
30,0.207611
30,0.226220
30,0.259042
30,0.156197
30,0.188423
30,0.180943
30,0.162785
