cnt_p,time
1,0.007856
1,0.010130
1,0.009888
1,0.005628
1,0.007105
1,0.008108
1,0.005069
1,0.007037
1,0.006027
1,0.007994
1,0.006060
1,0.007038
1,0.006424
1,0.006279
1,0.006807
1,0.006212
1,0.011921
1,0.002801
1,0.003325
1,0.005625
1,0.002978
1,0.003899
1,0.011036
1,0.009295
1,0.010950
1,0.009151
1,0.009940
1,0.010931
1,0.010767
1,0.008499
2,0.035936
2,0.021123
2,0.020804
2,0.032581
2,0.026602
2,0.032015
2,0.027910
2,0.029367
2,0.021275
2,0.016954
2,0.017963
2,0.021109
2,0.017267
2,0.022182
2,0.017958
2,0.011110
2,0.024706
2,0.015874
2,0.017840
2,0.024258
2,0.018730
2,0.024632
2,0.027056
2,0.029156
2,0.020889
2,0.022011
2,0.017986
2,0.020843
2,0.015121
2,0.013254
3,0.035943
3,0.028029
3,0.028804
3,0.032643
3,0.036822
3,0.033439
3,0.032533
3,0.035675
3,0.019212
3,0.033144
3,0.036687
3,0.031269
3,0.022721
3,0.024874
3,0.020258
3,0.036518
3,0.021513
3,0.030826
3,0.033932
3,0.033997
3,0.020902
3,0.036621
3,0.038334
3,0.018234
3,0.038073
3,0.027675
3,0.018354
3,0.034673
3,0.021058
3,0.026396
4,0.046273
4,0.050205
4,0.036811
4,0.036208
4,0.031894
4,0.044853
4,0.031447
4,0.025121
4,0.027208
4,0.051037
4,0.025096
4,0.036215
4,0.040691
4,0.022456
4,0.049906
4,0.022140
4,0.054699
4,0.029169
4,0.041198
4,0.022186
4,0.042954
4,0.021768
4,0.039221
4,0.034130
4,0.026490
4,0.047056
4,0.035933
4,0.048400
4,0.036608
4,0.025375
5,0.050288
5,0.033809
5,0.039914
5,0.035360
5,0.034441
5,0.034506
5,0.058153
5,0.049266
5,0.033477
5,0.048447
5,0.027840
5,0.046160
5,0.057973
5,0.040047
5,0.026297
5,0.053755
5,0.033503
5,0.043902
5,0.053493
5,0.066468
5,0.028479
5,0.052634
5,0.054203
5,0.028807
5,0.053369
5,0.033196
5,0.057789
5,0.032253
5,0.052619
5,0.054580
6,0.058647
6,0.065677
6,0.041930
6,0.041951
6,0.058626
6,0.063092
6,0.053065
6,0.046114
6,0.033586
6,0.064416
6,0.062214
6,0.037341
6,0.054611
6,0.073803
6,0.050338
6,0.077849
6,0.040268
6,0.039926
6,0.054244
6,0.064149
6,0.064730
6,0.038899
6,0.057736
6,0.055215
6,0.034195
6,0.041080
6,0.064635
6,0.072540
6,0.051595
6,0.057284
7,0.066830
