cnt_p,time
1,0.006236
1,0.009345
1,0.005120
1,0.011222
1,0.008277
1,0.003000
1,0.007053
1,0.007708
1,0.004969
1,0.005110
1,0.005136
1,0.007017
1,0.007085
1,0.008001
1,0.007019
1,0.007166
1,0.010256
1,0.008576
1,0.002979
1,0.006823
1,0.006970
1,0.009090
1,0.004963
1,0.008990
1,0.007084
1,0.005075
1,0.005393
1,0.002901
1,0.006972
1,0.004976
2,0.022635
2,0.028207
2,0.011667
2,0.025161
2,0.016065
2,0.022534
2,0.017983
2,0.026021
2,0.021657
2,0.025845
2,0.017185
2,0.019891
2,0.020963
2,0.021890
2,0.021260
2,0.015173
2,0.014664
2,0.019968
2,0.022657
2,0.027091
2,0.012796
2,0.022273
2,0.019254
2,0.019642
2,0.018118
2,0.024106
2,0.018223
2,0.024187
2,0.026387
2,0.034559
3,0.052374
3,0.055009
3,0.029052
3,0.036080
3,0.048057
3,0.036753
3,0.038521
3,0.027384
3,0.016598
3,0.022547
3,0.022620
3,0.038703
3,0.037833
3,0.030857
3,0.032720
3,0.021184
3,0.036558
3,0.042255
3,0.028193
3,0.030841
3,0.032214
3,0.032372
3,0.032279
3,0.039151
3,0.028183
3,0.029183
3,0.039699
3,0.019037
3,0.019005
3,0.036467
4,0.046277
4,0.039253
4,0.025171
4,0.036642
4,0.041468
4,0.044850
4,0.027177
4,0.034908
4,0.045505
4,0.036088
4,0.041335
4,0.022369
4,0.039314
4,0.036282
4,0.049023
4,0.039524
4,0.039017
4,0.027748
4,0.047059
4,0.037571
4,0.042477
4,0.037283
4,0.027025
4,0.040027
4,0.029322
4,0.039080
4,0.022086
4,0.041228
4,0.043962
4,0.036360
5,0.056437
5,0.076156
5,0.036247
5,0.032054
5,0.052289
5,0.045413
5,0.049663
5,0.034072
5,0.053332
5,0.030701
5,0.042506
5,0.028391
5,0.048332
5,0.037234
5,0.038078
5,0.045553
5,0.042649
5,0.037181
5,0.049265
5,0.033321
5,0.046284
5,0.063984
5,0.048062
5,0.052361
5,0.060933
5,0.050411
5,0.024981
5,0.050773
5,0.031467
