cnt_p,time
1,0.082852
1,0.078179
1,0.073917
1,0.073740
1,0.071606
2,0.140673
2,0.129336
2,0.127508
2,0.135088
2,0.196084
3,0.191383
3,0.183052
3,0.187764
3,0.204783
3,0.203945
4,0.251168
4,0.244901
4,0.250176
4,0.242919
4,0.254244
5,0.313423
5,0.304358
5,0.304283
5,0.311286
5,0.306469
6,0.368036
6,0.370118
6,0.366981
6,0.374180
6,0.359029
7,0.433372
7,0.420921
7,0.431224
7,0.422171
7,0.413178
8,0.498589
8,0.490679
8,0.473422
8,0.480689
8,0.472933
9,0.554320
9,0.533340
9,0.545320
9,0.539553
9,0.529333
10,0.608253
10,0.600392
10,0.594922
10,0.608421
10,0.605611
11,0.671230
11,0.666309
11,0.658645
11,0.668599
11,0.647478
12,0.733315
12,0.709743
12,0.703408
12,0.730012
12,0.708879
13,0.792638
13,0.769631
13,0.800600
13,0.799331
13,0.788145
14,0.836798
14,0.810135
14,0.834728
14,0.848237
14,0.831150
15,0.891861
15,0.901354
15,0.892317
15,0.893343
15,0.898103
16,0.959781
16,0.961693
16,0.961881
16,0.941187
16,0.936205
17,1.015820
17,1.034404
17,1.012512
17,1.023339
17,1.002911
18,1.084101
18,1.085379
18,1.068383
18,1.065413
18,1.074351
19,1.127367
19,1.111090
19,1.132125
19,1.130834
19,1.131369
20,1.176967
20,1.184658
20,1.182394
20,1.193416
20,1.182356
21,1.256355
21,1.234455
21,1.244642
21,1.247992
21,1.234025
22,1.304529
22,1.286140
22,1.292441
22,1.310105
22,1.270498
23,1.349420
23,1.351032
23,1.349702
23,1.389763
23,1.363422
24,1.428176
24,1.414080
24,1.409747
24,1.412808
24,1.413376
25,1.473713
25,1.477733
25,1.463133
25,1.480615
25,1.476927
26,1.541082
26,1.534942
26,1.546018
26,1.534215
26,1.534062
27,1.589420
27,1.582162
27,1.594428
27,1.569325
27,1.585561
28,1.656238
28,1.656870
28,1.672073
28,1.636141
28,1.637490
29,1.724424
29,1.690588
29,1.701159
29,1.690403
29,1.711100
30,1.792012
30,1.773849
30,1.812388
30,1.806784
30,1.770068
