cnt_p,time
1,0.018850
1,0.024865
1,0.015792
1,0.014772
1,0.014831
2,0.038121
2,0.028254
2,0.025487
2,0.027681
2,0.029178
3,0.038268
3,0.038079
3,0.035874
3,0.034971
3,0.034377
4,0.067964
4,0.050114
4,0.049681
4,0.043109
4,0.041743
5,0.055667
5,0.048669
5,0.050089
5,0.050049
5,0.050619
6,0.062791
6,0.053644
6,0.059548
6,0.059663
6,0.056214
7,0.070806
7,0.067104
7,0.064559
7,0.070536
7,0.068823
8,0.079682
8,0.069081
8,0.071698
8,0.068114
8,0.075282
9,0.084479
9,0.081730
9,0.074754
9,0.077765
9,0.075650
10,0.091354
10,0.084842
10,0.087324
10,0.086207
10,0.086886
11,0.101565
11,0.098836
11,0.092069
11,0.095059
11,0.092400
12,0.112660
12,0.099514
12,0.098559
12,0.098042
12,0.098517
13,0.111026
13,0.104827
13,0.118414
13,0.103556
13,0.103559
14,0.120803
14,0.116064
14,0.120333
14,0.110992
14,0.115158
15,0.128928
15,0.120862
15,0.133786
15,0.119938
15,0.120928
16,0.136486
16,0.126135
16,0.128658
16,0.125448
16,0.128318
17,0.139490
17,0.140902
17,0.156097
17,0.134133
17,0.133322
18,0.156093
18,0.140655
18,0.142691
18,0.137217
18,0.148965
19,0.152656
19,0.152837
19,0.148490
19,0.147619
19,0.150730
20,0.164051
20,0.165127
20,0.156441
20,0.155007
20,0.152770
21,0.190354
21,0.162300
21,0.164237
21,0.169975
21,0.160723
22,0.183604
22,0.169305
22,0.164727
22,0.175297
22,0.166508
23,0.197023
23,0.174723
23,0.183732
23,0.182781
23,0.177741
24,0.195731
24,0.195605
24,0.191726
24,0.183497
24,0.189269
25,0.204884
25,0.189013
25,0.196774
25,0.189886
25,0.189040
26,0.215670
26,0.194953
26,0.198504
26,0.205547
26,0.194566
27,0.214189
27,0.204047
27,0.202225
27,0.212930
27,0.205313
28,0.218842
28,0.212785
28,0.211354
28,0.223180
28,0.210270
29,0.226597
29,0.227246
29,0.217959
29,0.217191
29,0.223024
30,0.230309
30,0.230702
30,0.227446
30,0.235609
30,0.224513
