cnt_p,time
1,0.015248
1,0.016098
1,0.013858
1,0.013456
1,0.018030
1,0.024683
1,0.012756
1,0.012575
1,0.017266
1,0.012442
1,0.012555
1,0.016870
1,0.012433
1,0.010488
1,0.013621
1,0.014481
1,0.014659
1,0.014246
1,0.015362
1,0.015201
1,0.012588
1,0.014759
1,0.017257
1,0.017616
1,0.018212
1,0.015304
1,0.015144
1,0.013249
1,0.015487
1,0.014546
2,0.050518
2,0.028213
2,0.031603
2,0.029985
2,0.032778
2,0.031885
2,0.046089
2,0.071103
2,0.050919
2,0.047470
2,0.034797
2,0.033005
2,0.030443
2,0.034539
2,0.033093
2,0.027695
2,0.030431
2,0.032027
2,0.036278
2,0.033778
2,0.030813
2,0.037230
2,0.036124
2,0.032933
2,0.031804
2,0.037313
2,0.047217
2,0.027760
2,0.029451
2,0.030952
3,0.051965
3,0.037433
3,0.050754
3,0.044154
3,0.052644
3,0.048258
3,0.043780
3,0.050765
3,0.051282
3,0.051929
3,0.056862
3,0.061941
3,0.054655
3,0.053431
3,0.047144
3,0.054684
3,0.049328
3,0.055773
3,0.050351
3,0.045637
3,0.046620
3,0.049919
3,0.047896
3,0.047761
3,0.057878
3,0.049885
3,0.043559
3,0.049820
3,0.044499
3,0.057111
4,0.085350
4,0.069146
4,0.067725
4,0.078981
4,0.074006
4,0.075512
4,0.071716
4,0.068692
4,0.076980
4,0.067135
4,0.077442
4,0.066642
4,0.076001
4,0.080703
4,0.084252
4,0.076832
4,0.070645
4,0.068736
4,0.067293
4,0.074837
4,0.063586
4,0.073049
4,0.082867
4,0.076659
4,0.080970
4,0.078968
4,0.070453
4,0.074833
4,0.084526
4,0.078426
5,0.097399
5,0.109679
5,0.097190
5,0.106845
5,0.096649
5,0.102722
5,0.107321
5,0.105188
5,0.102897
5,0.109740
5,0.113764
5,0.088167
5,0.099647
5,0.102614
5,0.088445
5,0.074136
5,0.089077
5,0.100600
5,0.094539
5,0.107300
5,0.096555
5,0.098504
5,0.095528
5,0.097711
5,0.118012
5,0.098986
