cnt_p,time
1,0.033845
1,0.029998
1,0.028131
1,0.030096
1,0.027642
2,0.054725
2,0.046666
2,0.046925
2,0.047762
2,0.044492
3,0.086043
3,0.076475
3,0.078407
3,0.072647
3,0.072942
4,0.127438
4,0.168176
4,0.117485
4,0.112766
4,0.106852
5,0.147355
5,0.155801
5,0.157740
5,0.155427
5,0.151124
6,0.206045
6,0.195447
6,0.209661
6,0.199773
6,0.203864
7,0.271603
7,0.260767
7,0.258180
7,0.267036
7,0.263768
8,0.348257
8,0.338360
8,0.301874
8,0.357550
8,0.314247
9,0.408400
9,0.424373
9,0.409454
9,0.389775
9,0.406204
10,0.518025
10,0.478435
10,0.490738
10,0.497812
10,0.514178
11,0.621017
11,0.598272
11,0.572492
11,0.556018
11,0.602314
12,0.733454
12,0.732222
12,0.720621
12,0.714390
12,0.667678
13,0.915843
13,0.822921
13,0.853157
13,0.851484
13,0.866779
14,1.053375
14,1.031674
14,1.008938
14,1.049465
14,1.075593
15,1.211968
15,1.185571
15,1.132492
15,1.222998
15,1.243013
16,1.378348
16,1.413698
16,1.277648
16,1.331890
16,1.441173
17,2.043873
17,1.880050
17,2.224012
17,2.076031
17,2.060598
18,2.156868
18,1.850236
18,2.124568
18,1.939472
18,1.937826
19,2.342909
19,2.336500
19,2.151035
19,2.225598
19,2.185559
20,2.881554
20,2.680295
20,2.649175
20,2.624778
20,2.504574
21,3.106613
21,3.021179
21,2.825535
21,2.880384
21,2.785095
22,3.519405
22,3.376142
22,3.526875
22,3.510824
22,3.241881
23,4.181768
23,4.280936
23,3.826432
23,4.263561
23,3.910484
24,4.694009
24,4.660566
24,4.593631
24,5.050011
24,4.754925
25,5.348149
25,5.248932
25,5.276168
25,5.439390
25,5.247072
26,6.073264
26,5.398594
26,5.694759
26,6.053393
26,5.953175
27,6.606060
27,6.252680
27,6.897743
27,6.446252
27,6.699266
28,7.624840
28,7.476202
28,7.374216
28,6.787295
28,7.344726
29,8.523309
29,8.106706
29,7.918331
29,7.887060
29,8.115842
30,9.163583
30,8.664683
30,10.856798
30,8.946349
30,9.036596
