cnt_p,time
1,0.013847
1,0.007414
1,0.009921
1,0.007033
1,0.005919
2,0.018447
2,0.021103
2,0.013516
2,0.020917
2,0.016898
3,0.050728
3,0.039910
3,0.029478
3,0.023503
3,0.025681
4,0.054357
4,0.037338
4,0.039094
4,0.037855
4,0.038438
5,0.049038
5,0.053423
5,0.045941
5,0.044622
5,0.049723
6,0.067121
6,0.135042
6,0.083692
6,0.057730
6,0.067596
7,0.079108
7,0.082693
7,0.078825
7,0.077776
7,0.076465
8,0.232302
8,0.150274
8,0.121846
8,0.123335
8,0.111811
9,0.155365
9,0.177355
9,0.147950
9,0.111164
9,0.142328
10,0.157333
10,0.147721
10,0.172379
10,0.231035
10,0.186342
11,0.257219
11,0.216976
11,0.217777
11,0.290118
11,0.283483
12,0.356965
12,0.305145
12,0.346858
12,0.334374
12,0.319120
13,0.518964
13,0.316362
13,0.408458
13,0.348054
13,0.366828
14,0.610239
14,0.500073
14,0.575384
14,0.603704
14,0.610051
15,0.673557
15,0.636733
15,0.167237
15,0.154382
15,0.271936
16,0.375078
16,0.513544
16,0.618349
16,0.364353
16,0.258367
17,0.318443
17,0.247867
17,0.333280
17,0.434504
17,0.201510
18,0.691187
18,0.549898
18,0.554383
18,0.424569
18,0.365378
19,0.679597
19,0.628855
19,0.299385
19,0.379571
19,0.524884
20,1.276554
20,0.778514
20,0.555765
20,0.407543
20,0.931228
21,1.044223
21,1.222938
21,0.705544
21,0.628483
21,0.688845
22,1.307849
22,0.924665
22,0.928011
22,1.075174
22,1.173798
23,1.704743
23,1.456487
23,1.478538
23,1.179678
23,0.563473
24,2.212932
24,0.467965
24,1.739801
24,1.210545
24,1.223497
25,1.349264
25,1.558007
25,1.358041
25,1.237386
25,2.277334
26,2.224734
26,1.711427
26,2.105117
26,2.267644
26,2.371635
27,2.660446
27,3.456601
27,1.881082
27,2.095052
27,2.267991
28,2.809273
28,2.538774
28,2.968716
28,2.532370
28,1.579931
29,3.848305
29,2.947562
29,2.957117
29,1.917158
29,2.691074
30,4.206189
30,2.513529
30,2.684612
30,3.269215
30,3.834221
