cnt_p,time
1,0.006635
1,0.006901
1,0.009092
1,0.004100
1,0.008480
1,0.007094
1,0.006145
1,0.008062
1,0.007263
1,0.009369
1,0.005385
1,0.007211
1,0.007316
1,0.008691
1,0.007006
1,0.009530
1,0.005162
1,0.007253
1,0.007523
1,0.003130
1,0.005130
1,0.007467
1,0.007102
1,0.006250
1,0.007114
1,0.009178
1,0.005122
1,0.009131
1,0.005806
1,0.006418
2,0.027542
2,0.016340
2,0.020288
2,0.025003
2,0.022141
2,0.018357
2,0.022608
2,0.015240
2,0.017003
2,0.021175
2,0.019604
2,0.023699
2,0.015095
2,0.012793
2,0.026471
2,0.018128
2,0.024288
2,0.022613
2,0.010471
2,0.025912
2,0.024846
2,0.026369
2,0.024690
2,0.016685
2,0.025378
2,0.012279
2,0.032663
2,0.020987
2,0.029121
2,0.038347
3,0.067113
3,0.047168
3,0.030418
3,0.043793
3,0.027925
3,0.019358
3,0.031858
3,0.034167
3,0.036369
3,0.036346
3,0.018954
3,0.039862
3,0.030943
3,0.035742
3,0.015808
3,0.040721
3,0.020274
3,0.019763
3,0.041454
3,0.035764
3,0.020297
3,0.021587
3,0.033071
3,0.045621
3,0.022509
3,0.039510
3,0.029897
3,0.030613
3,0.021244
3,0.037144
4,0.054054
4,0.026396
4,0.034096
4,0.073200
4,0.045384
4,0.037893
4,0.038543
4,0.022158
4,0.027591
4,0.036343
4,0.038917
4,0.037292
4,0.026717
4,0.026556
4,0.057450
4,0.035845
4,0.037128
4,0.023939
4,0.042469
4,0.049962
4,0.027394
4,0.030079
4,0.045432
4,0.027161
4,0.049263
4,0.036753
4,0.044594
4,0.027233
4,0.031660
4,0.037589
5,0.065095
5,0.046355
5,0.044463
5,0.028704
5,0.051527
5,0.069672
5,0.039438
5,0.066289
5,0.032372
5,0.062312
5,0.041513
5,0.050058
5,0.029822
5,0.035382
5,0.040922
5,0.051560
5,0.038033
5,0.041143
5,0.067330
5,0.049880
5,0.035436
5,0.034675
5,0.068335
5,0.032879
5,0.031366
5,0.037386
5,0.027035
5,0.029162
5,0.035410
5,0.038767
6,0.070230
6,0.047457
6,0.047387
6,0.035484
6,0.052687
6,0.071182
6,0.068235
6,0.038008
6,0.049102
6,0.082342
6,0.075025
6,0.073694
6,0.044710
6,0.089175
6,0.068038
6,0.043924
6,0.073824
6,0.050092
6,0.067909
6,0.038163
6,0.058517
6,0.043671
6,0.036177
6,0.036477
6,0.045071
6,0.080897
6,0.046695
6,0.034428
6,0.080616
6,0.040446
7,0.081477
7,0.076828
7,0.066828
7,0.066520
7,0.088922
7,0.057601
7,0.079022
7,0.110073
7,0.042845
7,0.060395
7,0.064166
7,0.084159
7,0.079137
7,0.086657
7,0.052198
7,0.057875
7,0.079374
7,0.075447
7,0.057930
7,0.066822
7,0.098384
7,0.083694
7,0.114396
7,0.070909
7,0.055358
7,0.078672
7,0.035814
7,0.089792
7,0.103183
7,0.087228
8,0.085852
8,0.122327
8,0.089589
8,0.104842
8,0.073876
8,0.064466
8,0.069181
8,0.106840
8,0.080873
8,0.104215
8,0.073203
8,0.095955
8,0.103806
8,0.082147
8,0.084932
8,0.089185
8,0.109469
8,0.063688
8,0.085500
8,0.073859
8,0.129854
8,0.103792
8,0.086192
8,0.074288
8,0.103834
8,0.080465
8,0.117853
8,0.057196
8,0.097596
8,0.046846
9,0.119556
9,0.128570
9,0.131581
9,0.123783
9,0.097338
9,0.165998
9,0.130141
9,0.097322
9,0.150630
9,0.115305
9,0.099175
9,0.097419
9,0.120642
9,0.078234
9,0.086253
9,0.092391
9,0.162792
9,0.138057
9,0.114191
9,0.143285
9,0.095559
9,0.070949
9,0.114063
9,0.120167
9,0.133419
9,0.118592
9,0.091931
9,0.109645
9,0.105015
9,0.103654
10,0.105382
10,0.128254
10,0.144555
10,0.120872
10,0.082558
10,0.114131
10,0.102164
10,0.063862
10,0.113439
10,0.137108
10,0.152550
10,0.138718
10,0.119126
10,0.070827
10,0.125856
10,0.087057
10,0.115453
10,0.132450
10,0.136428
10,0.141930
10,0.163047
10,0.135356
10,0.088070
10,0.157022
10,0.104490
10,0.121579
10,0.148584
10,0.092219
10,0.131043
10,0.119890
11,0.173815
11,0.151329
11,0.158920
11,0.152368
11,0.171258
11,0.096537
11,0.129802
11,0.153374
11,0.197868
11,0.160892
11,0.125412
11,0.167251
11,0.168480
11,0.140370
11,0.153010
11,0.144506
11,0.103170
11,0.108583
11,0.141619
11,0.160970
11,0.151107
11,0.195060
11,0.124601
11,0.143565
11,0.107725
11,0.122623
11,0.135418
11,0.183281
11,0.118252
11,0.142557
12,0.167392
12,0.158039
12,0.122375
12,0.142463
12,0.146805
12,0.167406
12,0.222044
12,0.211747
12,0.131433
12,0.145450
12,0.189125
12,0.153909
12,0.096692
12,0.134647
12,0.149876
12,0.147914
12,0.162884
12,0.213375
12,0.177832
12,0.247129
12,0.219521
12,0.190026
12,0.160157
12,0.149421
12,0.207946
12,0.139599
12,0.160433
12,0.151120
12,0.167794
12,0.162530
13,0.185391
13,0.159904
13,0.208976
13,0.208069
13,0.209899
13,0.197203
13,0.190396
13,0.194990
13,0.204474
13,0.208775
13,0.226118
13,0.283906
13,0.161525
13,0.163981
13,0.229424
13,0.119368
13,0.203491
13,0.254435
13,0.218692
13,0.343980
13,0.180347
13,0.235624
13,0.174598
13,0.255410
13,0.161637
13,0.128341
13,0.206199
13,0.196200
13,0.210633
13,0.245361
14,0.285833
14,0.190412
14,0.182760
14,0.211823
14,0.306162
14,0.227053
14,0.235181
14,0.229598
14,0.192209
14,0.205221
14,0.167584
14,0.232730
14,0.245671
14,0.265693
14,0.220009
14,0.200879
14,0.170466
14,0.170523
14,0.222062
14,0.223218
14,0.161694
14,0.153615
14,0.193301
14,0.212540
14,0.189726
14,0.162406
14,0.205236
14,0.242607
14,0.220373
14,0.262670
15,0.221252
15,0.228139
15,0.172848
15,0.259575
15,0.270103
15,0.297201
15,0.230460
15,0.288589
15,0.256535
15,0.278685
15,0.275103
15,0.211251
15,0.293883
15,0.238182
15,0.217624
15,0.259742
15,0.196116
15,0.300556
15,0.290996
15,0.260493
15,0.176851
15,0.239663
15,0.317541
15,0.164163
15,0.255910
15,0.218488
15,0.292227
15,0.254215
15,0.332166
15,0.286527
16,0.260853
16,0.305581
16,0.361239
16,0.397754
16,0.268435
16,0.236152
16,0.182262
16,0.202538
16,0.316519
16,0.377886
16,0.270365
16,0.307216
16,0.276752
16,0.321581
16,0.285239
16,0.251947
16,0.256952
16,0.304916
16,0.287638
16,0.312041
16,0.307974
16,0.324941
16,0.415288
16,0.322968
16,0.324963
16,0.356009
16,0.266569
16,0.222454
16,0.265593
16,0.298970
17,0.440893
17,0.653505
17,0.306772
17,0.230131
17,0.365336
17,0.329636
17,0.248355
17,0.428764
17,0.263995
17,0.368729
17,0.364420
17,0.314289
17,0.387676
17,0.302519
17,0.241843
17,0.390776
17,0.916583
17,0.366917
17,0.242973
17,0.315295
17,0.364493
17,0.335391
17,0.344195
17,0.360272
17,0.352589
17,0.351312
17,0.354537
17,0.293080
17,0.380062
17,0.295829
18,0.380394
18,0.477364
18,0.538905
18,0.373828
18,0.388896
18,0.444995
18,0.348827
18,0.304159
18,0.336136
18,0.452737
18,0.280321
18,0.386787
18,0.338787
18,0.314397
18,0.595325
18,0.340912
18,0.265484
18,0.383005
18,0.225047
18,0.364086
18,0.383646
18,0.425088
18,0.340639
18,0.244570
18,0.327460
18,0.435624
18,0.544416
18,0.449001
18,0.534339
18,0.419097
19,0.382598
19,0.415605
19,0.375224
19,0.364877
19,0.387065
19,0.405449
19,0.303452
19,0.370004
19,0.351265
19,0.389932
19,0.412978
19,0.320186
19,0.277753
19,0.519276
19,0.354933
19,0.405528
19,0.366173
19,0.301641
19,0.407473
19,0.492985
19,0.478465
19,0.616962
19,0.503129
19,0.619951
19,0.438391
19,0.461786
19,0.472044
19,0.423024
19,0.399490
19,0.493497
20,0.447212
20,0.445205
20,0.551479
20,0.561510
20,0.455609
20,0.504052
20,0.658818
20,0.546419
20,0.469621
20,0.545966
20,0.566101
20,0.519074
20,0.493497
20,0.523900
20,0.459628
20,0.599339
20,0.392407
20,0.810295
20,0.345993
20,1.073872
20,0.596974
20,0.464138
20,0.424916
20,0.691371
20,0.971495
20,0.469168
20,0.345726
20,0.383718
20,0.459736
20,0.585801
21,0.616303
21,0.707157
21,0.560436
21,0.325936
21,0.498387
21,0.410125
21,0.602338
21,0.859227
21,0.589985
21,0.467730
21,0.972962
21,0.889052
21,0.355809
21,0.538780
21,0.555885
21,0.534456
21,0.525451
21,0.959920
21,0.404973
21,0.428801
21,0.684706
21,0.443939
21,0.467874
21,0.847473
21,0.548443
21,0.543563
21,0.714963
21,0.452485
21,0.812218
21,0.624593
22,0.600321
22,0.432880
22,0.435532
22,0.744679
22,0.376188
22,0.592452
22,0.573500
22,1.133556
22,0.541892
22,0.524439
22,0.605222
22,0.664133
22,0.571000
22,1.036553
22,0.779872
22,0.547297
22,0.905622
22,0.802340
22,0.635536
22,0.589461
22,0.576337
22,0.444647
