cnt_p,time
1,0.009725
1,0.016228
1,0.008526
1,0.007300
1,0.007178
1,0.005953
1,0.007368
1,0.009386
1,0.004186
1,0.010800
1,0.004439
1,0.006836
1,0.009442
1,0.005264
1,0.007202
1,0.008141
1,0.006251
1,0.009301
1,0.007221
1,0.008233
1,0.007642
1,0.005109
1,0.006114
1,0.007053
1,0.005168
1,0.007262
1,0.006220
1,0.003117
1,0.010475
1,0.005454
2,0.027150
2,0.018810
2,0.044912
2,0.014656
2,0.015598
2,0.016491
2,0.022424
2,0.021086
2,0.022199
2,0.017995
2,0.013652
2,0.026464
2,0.020842
2,0.022970
2,0.017360
2,0.026264
2,0.021384
2,0.024774
2,0.024588
2,0.026419
2,0.020070
2,0.021750
2,0.026076
2,0.018675
2,0.014437
2,0.029270
2,0.022186
2,0.030729
2,0.034664
2,0.031825
3,0.066093
3,0.037759
3,0.050730
3,0.033299
3,0.027407
3,0.023407
3,0.021220
3,0.037801
3,0.032723
3,0.029736
3,0.029658
3,0.019367
3,0.032443
3,0.037553
3,0.020226
3,0.039211
3,0.029201
3,0.023929
3,0.032954
3,0.027274
3,0.042417
3,0.035326
3,0.033204
3,0.028756
3,0.035854
3,0.034872
3,0.031340
3,0.021716
3,0.025318
3,0.022612
4,0.052678
4,0.033854
4,0.027334
4,0.031254
4,0.043968
4,0.040781
4,0.030554
4,0.039860
4,0.036629
4,0.028505
4,0.027984
4,0.039832
4,0.036699
4,0.052498
4,0.045125
4,0.048779
4,0.036622
4,0.041521
4,0.023864
4,0.030495
4,0.031165
4,0.040052
4,0.026580
4,0.050633
4,0.026834
4,0.036905
4,0.036773
4,0.038158
4,0.047119
4,0.036587
5,0.033032
5,0.047448
5,0.058198
5,0.029358
5,0.050291
5,0.073855
5,0.041879
5,0.032378
5,0.026958
5,0.033035
5,0.041996
5,0.044319
5,0.056769
5,0.031679
5,0.032840
5,0.054151
5,0.037582
5,0.033121
5,0.047109
5,0.064764
5,0.036551
5,0.046155
5,0.045291
5,0.047762
5,0.043770
5,0.042059
5,0.033350
5,0.052599
5,0.032801
5,0.043545
6,0.070382
6,0.062307
6,0.055478
6,0.069793
6,0.059336
6,0.040670
6,0.062205
6,0.029643
6,0.048027
6,0.066781
6,0.065346
6,0.059933
6,0.047614
6,0.055826
6,0.065255
6,0.032713
6,0.063373
6,0.057363
6,0.066727
6,0.049667
6,0.079350
6,0.064265
6,0.073315
6,0.043826
6,0.053109
6,0.073015
6,0.077584
6,0.045767
6,0.076181
6,0.058244
7,0.065367
7,0.069906
7,0.069302
7,0.033958
7,0.087562
7,0.094043
7,0.088492
7,0.164567
7,0.088142
7,0.066670
7,0.083532
7,0.071094
7,0.057318
7,0.129871
7,0.053060
7,0.081870
7,0.104363
7,0.058804
7,0.072850
7,0.069299
7,0.089339
7,0.070323
7,0.088272
7,0.089226
7,0.054141
7,0.069387
7,0.050946
7,0.064274
7,0.088596
7,0.094625
8,0.130181
8,0.085710
8,0.069069
8,0.105983
8,0.082436
8,0.064527
8,0.092415
8,0.078309
8,0.106641
8,0.107404
8,0.081980
8,0.051564
8,0.096423
8,0.089867
8,0.072821
8,0.065865
8,0.090010
8,0.124508
8,0.080354
8,0.109104
8,0.108741
8,0.090465
8,0.112221
8,0.078216
8,0.090652
8,0.082899
8,0.072596
8,0.077559
8,0.092894
8,0.054178
9,0.116021
9,0.122023
9,0.133411
9,0.122026
9,0.111412
9,0.097000
9,0.140796
9,0.104408
9,0.097795
9,0.084633
9,0.125793
9,0.109836
9,0.120769
9,0.065299
9,0.144284
9,0.136014
9,0.153964
9,0.111527
9,0.082300
9,0.130702
9,0.055911
9,0.148368
9,0.085928
9,0.128545
9,0.142282
9,0.119524
9,0.108194
9,0.161385
9,0.131127
9,0.082931
10,0.101704
10,0.149578
10,0.116361
10,0.082888
10,0.082842
10,0.115183
10,0.074300
10,0.080624
10,0.176531
10,0.118359
10,0.088977
10,0.144100
10,0.141464
10,0.111799
10,0.141454
10,0.123855
10,0.167342
10,0.105426
10,0.165541
10,0.093437
10,0.170954
10,0.110943
10,0.131010
10,0.142460
10,0.097467
10,0.167518
10,0.103498
10,0.106112
10,0.118689
10,0.100143
11,0.130968
11,0.160420
11,0.157198
11,0.134252
11,0.130690
11,0.132592
11,0.182863
11,0.158339
11,0.125807
11,0.143360
11,0.158666
11,0.068627
11,0.188238
11,0.190070
11,0.125482
11,0.124252
11,0.186285
11,0.116846
11,0.221367
11,0.142948
11,0.113458
11,0.127519
11,0.099068
11,0.178838
11,0.125266
11,0.119102
11,0.151748
11,0.242203
11,0.167629
11,0.137898
12,0.186274
12,0.137206
12,0.165663
12,0.193356
12,0.152234
12,0.148362
12,0.201538
12,0.235637
12,0.203458
12,0.161653
12,0.163600
12,0.143168
12,0.256712
12,0.175314
12,0.116848
12,0.137261
12,0.310930
12,0.177492
12,0.207028
12,0.207844
12,0.154988
12,0.126970
12,0.162773
12,0.232130
12,0.131228
12,0.196771
12,0.129966
12,0.102550
12,0.194121
12,0.220659
13,0.155437
13,0.275667
13,0.223916
13,0.158772
13,0.173912
13,0.245761
13,0.292420
13,0.130255
13,0.221786
13,0.213551
13,0.177845
13,0.209728
13,0.250282
13,0.369628
13,0.231988
13,0.167744
13,0.260569
13,0.239562
13,0.160260
13,0.483863
13,0.241388
13,0.258451
13,0.236662
13,0.152673
13,0.195298
13,0.211325
13,0.218983
13,0.252875
13,0.150328
13,0.212385
14,0.196377
14,0.271071
14,0.313678
14,0.260596
14,0.255054
14,0.241832
14,0.236014
14,0.273633
14,0.181022
14,0.258040
14,0.209738
14,0.224790
14,0.118558
14,0.128902
14,0.311734
14,0.280409
14,0.154751
14,0.170114
14,0.256266
14,0.245978
14,0.248754
14,0.306996
14,0.195097
14,0.271068
14,0.146710
14,0.267110
14,0.271333
14,0.223559
