cnt_p,time
100,0.731936
100,0.752439
100,0.735682
100,0.752159
100,0.725134
100,0.737780
100,0.730042
100,0.716799
100,0.790231
100,0.718625
100,0.731172
100,0.734516
100,0.734047
100,0.744027
100,0.716399
100,0.726505
100,0.736205
100,0.720481
100,0.761674
100,0.769892
200,0.735794
200,0.729950
200,0.746160
200,0.729593
200,0.723929
200,0.726207
200,0.729004
200,0.720762
200,0.726661
200,0.729583
200,0.724035
200,0.740097
200,0.724841
200,0.732264
200,0.892075
200,0.870352
200,0.756562
200,0.826302
200,0.753325
200,0.790187
300,0.745941
300,0.723047
300,0.744540
300,0.745546
300,0.739118
300,0.734493
300,0.725736
300,0.711620
300,0.732828
300,0.720204
300,0.739167
300,0.729216
300,0.729575
300,0.724555
300,0.727527
300,0.714618
300,0.722572
300,0.740506
300,0.722775
300,0.727593
400,0.722554
400,0.746174
400,0.724331
400,0.730511
400,0.728714
400,0.729703
400,0.718909
400,0.733669
400,0.724060
400,0.709674
400,0.722527
400,0.714825
400,0.715484
400,0.726802
400,0.732775
400,0.729371
400,0.720866
400,0.728452
400,0.716087
400,0.723977
500,0.720537
500,0.716533
500,0.731012
500,0.715946
500,0.714393
500,0.722084
500,0.721035
500,0.731111
500,0.720658
500,0.712662
500,0.712075
500,0.724464
500,0.746747
500,0.730971
500,0.734427
500,0.736494
500,0.719175
500,0.725557
500,0.735614
500,0.721566
600,0.731449
600,0.721856
600,0.737471
600,0.729482
600,0.719309
600,0.712783
600,0.714074
600,0.718479
600,0.703706
600,0.720072
600,0.710565
600,0.726338
600,0.716302
600,0.711157
600,0.706360
600,0.726002
600,0.732511
600,0.732409
600,0.717006
600,0.711071
700,0.726602
700,0.719536
700,0.712243
700,0.716588
700,0.713499
700,0.718389
700,0.727369
700,0.718817
700,0.723052
700,0.709430
700,0.712712
700,0.729580
700,0.733736
700,0.713721
700,0.718902
700,0.716217
700,0.725038
700,0.723140
700,0.722635
700,0.723478
800,0.718721
800,0.717601
800,0.728314
800,0.721664
800,0.711018
800,0.736729
800,0.731068
800,0.717558
800,0.724268
800,0.723362
800,0.732377
800,0.710906
800,0.717183
800,0.718934
800,0.696728
800,0.711443
800,0.713524
800,0.717371
800,0.719122
800,0.727249
900,0.708540
900,0.720151
900,0.727926
900,0.713263
900,0.732663
900,0.740047
900,0.718457
900,0.713931
900,0.719406
900,0.709805
900,0.712589
900,0.713512
900,0.711277
900,0.703895
900,0.715831
900,0.733333
900,0.731883
900,0.724293
900,0.722125
900,0.735515
1000,0.724663
1000,0.708429
1000,0.713805
1000,0.724814
1000,0.710732
1000,0.735972
1000,0.727113
1000,0.709766
1000,0.736836
1000,0.716247
1000,0.719942
1000,0.731095
1000,0.713962
1000,0.698060
1000,0.700061
1000,0.714713
1000,0.716541
1000,0.713873
1000,0.732723
1000,0.692226
1100,0.708193
1100,0.704358
1100,0.712526
1100,0.728017
1100,0.697931
1100,0.701850
1100,0.706928
1100,0.711298
1100,0.703215
1100,0.727426
1100,0.719057
1100,0.708212
1100,0.704493
1100,0.721845
1100,0.714731
1100,0.707742
1100,0.711199
1100,0.715501
1100,0.711078
1100,0.714988
1200,0.715381
1200,0.713492
1200,0.714128
1200,0.706843
1200,0.712698
1200,0.711566
1200,0.713783
1200,0.737744
1200,0.691531
1200,0.703183
1200,0.701105
1200,0.722275
1200,0.708676
1200,0.698437
1200,0.724367
1200,0.720139
1200,0.703404
1200,0.712024
1200,0.687123
1200,0.696468
1300,0.725659
1300,0.724368
1300,0.722191
1300,0.724263
1300,0.697850
1300,0.712307
1300,0.736732
1300,0.729019
1300,0.718847
1300,0.701237
1300,0.709363
1300,0.695615
1300,0.716447
1300,0.721965
1300,0.710285
1300,0.703910
1300,0.737025
1300,0.726699
1300,0.716111
1300,0.719574
1400,0.717851
1400,0.722041
1400,0.733025
1400,0.724978
1400,0.737274
1400,0.716544
1400,0.731762
1400,0.713215
1400,0.907303
1400,0.702337
1400,0.713311
1400,0.723458
1400,0.718927
1400,0.714333
1400,0.711252
1400,0.701253
1400,0.698694
1400,0.721344
1400,0.709095
1400,0.730090
1500,0.715801
1500,0.709388
1500,0.727826
1500,0.718731
1500,0.696144
1500,0.721595
1500,0.754552
1500,0.711924
1500,0.713317
1500,0.712537
1500,0.724348
1500,0.705619
1500,0.704173
1500,0.728152
1500,0.712764
1500,0.729555
1500,0.705567
1500,0.708982
1500,0.713487
1500,0.717506
1600,0.705566
1600,0.719024
1600,0.710618
1600,0.724319
1600,0.720754
1600,0.706222
1600,0.712482
1600,0.695397
1600,0.726362
1600,0.711221
1600,0.729824
1600,0.719782
1600,0.723058
1600,0.723832
1600,1.422455
1600,0.870178
1600,0.973240
1600,0.751928
1600,0.723501
1600,0.720650
1700,0.733340
1700,0.701529
1700,0.723406
1700,0.730046
1700,0.769463
1700,0.799271
1700,0.799678
1700,0.785070
1700,0.728142
1700,0.730768
1700,0.777805
1700,0.744608
1700,0.728887
1700,0.722071
1700,0.739756
1700,0.756475
1700,0.736409
1700,0.731963
1700,0.725024
1700,0.722154
1800,0.747951
1800,0.763514
1800,0.757295
1800,0.731164
1800,0.799614
1800,0.727193
1800,0.719823
1800,0.725873
1800,0.706046
1800,0.797268
1800,0.753179
1800,0.723508
1800,0.703469
1800,0.724644
1800,0.731291
1800,0.762287
1800,0.726635
1800,0.723178
1800,0.732357
1800,0.723781
1900,0.723129
1900,0.777707
1900,0.718899
1900,0.734586
1900,0.749598
1900,0.729705
1900,0.717359
1900,0.710566
1900,0.697383
1900,0.726971
1900,0.704563
1900,0.713737
1900,0.712126
1900,0.710651
1900,0.689211
1900,0.689104
1900,0.692846
1900,0.712716
1900,0.727539
1900,0.805514
2000,0.739078
2000,0.745241
2000,0.711141
2000,0.747210
2000,0.724239
2000,0.719222
2000,0.701407
2000,0.749131
2000,0.708306
2000,0.782482
2000,0.745803
2000,0.738862
2000,0.746582
2000,0.746753
2000,0.727179
2000,0.759611
2000,0.740926
2000,0.734530
2000,0.824238
2000,0.749360
2100,0.734793
2100,0.712293
2100,0.720160
2100,0.752964
2100,0.724932
2100,0.727588
2100,0.744403
2100,0.749966
2100,0.718682
2100,0.725541
2100,0.762450
2100,0.715554
2100,0.714684
2100,0.716526
2100,0.721161
2100,0.710867
2100,0.711060
2100,0.723211
2100,0.700025
2100,0.709002
2200,0.713777
2200,0.706780
2200,0.750388
2200,0.714001
2200,0.736203
2200,0.740669
2200,0.732158
2200,0.713829
2200,0.744667
2200,0.721504
2200,0.723870
2200,0.739313
2200,0.734491
2200,0.732079
2200,0.691966
2200,0.708145
2200,0.730977
2200,0.771802
2200,0.752293
2200,0.726212
2300,0.712533
2300,0.738965
2300,0.724591
2300,0.725815
2300,0.699302
