cnt_p,time
100,0.109311
100,0.102973
100,0.097548
100,0.123491
100,0.097127
100,0.101877
100,0.111224
100,0.098916
100,0.093506
100,0.102961
100,0.109302
100,0.104591
100,0.116416
100,0.112199
100,0.093492
100,0.092308
100,0.095721
100,0.091452
100,0.096801
100,0.094340
200,0.096464
200,0.093801
200,0.092482
200,0.096901
200,0.109429
200,0.110826
200,0.110754
200,0.114840
200,0.100566
200,0.105591
200,0.095493
200,0.108879
200,0.109175
200,0.107243
200,0.104037
200,0.136395
200,0.094717
200,0.104243
200,0.100011
200,0.090903
300,0.105336
300,0.096440
300,0.132433
300,0.105352
300,0.094714
300,0.104855
300,0.118684
300,0.101629
300,0.144285
300,0.158289
300,0.095090
300,0.095695
300,0.097209
300,0.097000
300,0.095261
300,0.094266
300,0.102661
300,0.095615
300,0.100033
300,0.100158
400,0.093675
400,0.088851
400,0.087725
400,0.092677
400,0.096795
400,0.092693
400,0.104935
400,0.101844
400,0.097147
400,0.101346
400,0.089288
400,0.090959
400,0.090666
400,0.094560
400,0.097477
400,0.093427
400,0.095441
400,0.093489
400,0.095267
400,0.096754
500,0.094956
500,0.090837
500,0.098798
500,0.099849
500,0.098165
500,0.093201
500,0.098938
500,0.091713
500,0.090487
500,0.092095
500,0.099386
500,0.101949
500,0.092473
500,0.092381
500,0.102385
500,0.097337
500,0.091364
500,0.097345
500,0.092634
500,0.088301
600,0.098866
600,0.099749
600,0.094138
600,0.099017
600,0.094361
600,0.094488
600,0.102750
600,0.105102
600,0.089687
600,0.099050
600,0.095118
600,0.092924
600,0.096228
600,0.094927
600,0.094259
600,0.095707
600,0.093760
600,0.096300
600,0.102637
600,0.096866
700,0.102444
700,0.091789
700,0.089316
700,0.098689
700,0.095096
700,0.100973
700,0.098405
700,0.093057
700,0.103163
700,0.103397
700,0.093314
700,0.096216
700,0.094457
700,0.097904
700,0.092845
700,0.097721
700,0.096729
700,0.101029
700,0.103887
700,0.090898
800,0.100520
800,0.102302
800,0.094230
800,0.102578
800,0.098753
800,0.095072
800,0.094776
800,0.101514
800,0.097655
800,0.095634
800,0.096077
800,0.094979
800,0.088081
800,0.094878
800,0.095144
800,0.098273
800,0.094831
800,0.104432
800,0.101779
800,0.094853
900,0.095292
900,0.103131
900,0.089446
900,0.093693
900,0.096514
900,0.100790
900,0.095211
900,0.092343
900,0.087911
900,0.103039
900,0.090904
900,0.095842
900,0.100756
900,0.090302
900,0.101745
900,0.093934
900,0.089253
900,0.100861
900,0.095885
900,0.089726
1000,0.092447
1000,0.097553
1000,0.098940
1000,0.097730
1000,0.092442
1000,0.088813
1000,0.101294
1000,0.097154
1000,0.103225
1000,0.089330
1000,0.097914
1000,0.102992
1000,0.092866
1000,0.099849
1000,0.098907
1000,0.091627
1000,0.102886
1000,0.100561
1000,0.097601
1000,0.096644
1100,0.116110
1100,0.093838
1100,0.108344
1100,0.096002
1100,0.092587
1100,0.102163
1100,0.097283
1100,0.098344
1100,0.099249
1100,0.093077
1100,0.102230
1100,0.099675
1100,0.106044
1100,0.093558
1100,0.100827
1100,0.097838
1100,0.101090
1100,0.095903
1100,0.094111
1100,0.101976
1200,0.091232
1200,0.099094
1200,0.096086
1200,0.091576
1200,0.097969
1200,0.103779
1200,0.100062
1200,0.105039
1200,0.098821
1200,0.105015
1200,0.092719
1200,0.094192
1200,0.093470
1200,0.092139
1200,0.090838
1200,0.102639
1200,0.090879
1200,0.101749
1200,0.095655
1200,0.084831
1300,0.093494
1300,0.090677
1300,0.097395
1300,0.095907
1300,0.095701
1300,0.092803
1300,0.094565
1300,0.092318
1300,0.095681
1300,0.094216
1300,0.093266
1300,0.094205
1300,0.099616
1300,0.093017
1300,0.093868
1300,0.095925
1300,0.089175
1300,0.094547
1300,0.099718
1300,0.102257
1400,0.094303
1400,0.090620
1400,0.095358
1400,0.100887
1400,0.095421
1400,0.101484
1400,0.095823
1400,0.092843
1400,0.098489
1400,0.100495
1400,0.093104
1400,0.097057
1400,0.091992
1400,0.090589
1400,0.090542
1400,0.097424
1400,0.090056
1400,0.093411
1400,0.094041
1400,0.096141
1500,0.095187
1500,0.095391
1500,0.092757
1500,0.098404
1500,0.092125
1500,0.096149
1500,0.096169
1500,0.098131
1500,0.096118
1500,0.098831
1500,0.091331
1500,0.104797
1500,0.088028
1500,0.104092
1500,0.093702
1500,0.095479
1500,0.091229
1500,0.090897
1500,0.093488
1500,0.094475
1600,0.089118
