cnt_p,time
100,0.525303
100,0.585152
100,0.547149
100,0.522911
100,0.438339
100,0.596282
100,0.428093
100,0.468240
100,0.498899
100,0.454884
100,0.468137
100,0.498619
100,0.450469
100,0.657661
100,0.624450
100,0.477154
100,0.558194
100,0.329376
100,0.441762
100,0.485720
200,0.553972
200,0.491839
200,0.567071
200,0.317376
200,0.438015
200,0.434598
200,0.531264
200,0.539764
200,0.556681
200,0.576799
200,0.551558
200,0.536553
200,0.491263
200,0.512295
200,0.535221
200,0.521666
200,0.530790
200,0.482331
200,0.582537
200,0.475564
300,0.554516
300,0.548994
300,0.559177
300,0.434655
300,0.500054
300,0.430191
300,0.454887
300,0.584209
300,0.455323
300,0.542099
300,0.527341
300,0.566888
300,0.445912
300,0.454768
300,0.501225
300,0.628193
300,0.579149
300,0.471693
300,0.548728
300,0.555598
400,0.458838
400,0.525751
400,0.436210
400,0.461626
400,0.450405
400,0.491940
400,0.445707
400,0.543192
400,0.474734
400,0.514839
400,0.442311
400,0.499255
400,0.523089
400,0.448006
400,0.500712
400,0.515196
400,0.508747
400,0.432092
400,0.483209
400,0.608412
500,0.555197
500,0.580384
500,0.571948
500,0.550926
500,0.536770
500,0.436663
500,0.564226
500,0.565536
500,0.572592
500,0.595174
500,0.533518
500,0.495202
500,0.655161
500,0.550658
500,0.603401
500,0.540171
500,0.450707
500,0.466908
500,0.557809
500,0.434869
600,0.499746
600,0.464808
600,0.402481
600,0.610554
600,0.522883
600,0.369877
600,0.413887
600,0.509021
600,0.472873
600,0.546045
600,0.488713
600,0.545564
600,0.495940
600,0.408925
600,0.666341
600,0.495001
600,0.483326
600,0.587260
600,0.630375
600,0.445051
700,0.469037
700,0.562984
700,0.455385
700,0.577089
700,0.528208
700,0.506946
700,0.476091
700,0.636145
700,0.498881
700,0.555367
700,0.520955
700,0.497169
700,0.577962
700,0.444729
700,0.472000
700,0.586607
700,0.460740
700,0.522461
700,0.571431
700,0.584253
800,0.528176
800,0.586539
800,0.411645
800,0.532670
800,0.489258
800,0.482636
800,0.513119
800,0.413448
800,0.531763
800,0.615922
800,0.445703
800,0.539060
800,0.444547
800,0.422211
800,0.498262
800,0.501345
800,0.580843
800,0.463222
800,0.566171
800,0.432593
900,0.493555
900,0.622560
900,0.491814
900,0.442101
900,0.572465
900,0.451689
900,0.513960
900,0.512346
900,0.425354
900,0.402451
900,0.440304
900,0.430262
900,0.487805
900,0.416556
900,0.454270
900,0.561040
900,0.525625
900,0.422659
900,0.390114
900,0.522268
1000,0.476476
1000,0.381469
1000,0.538311
1000,0.668490
1000,0.443459
1000,0.462940
1000,0.497137
1000,0.452171
1000,0.478632
1000,0.428843
1000,0.497550
1000,0.375263
1000,0.591997
1000,0.566755
1000,0.459168
1000,0.458441
1000,0.450473
1000,0.554566
1000,0.478062
1000,0.424175
1100,0.450313
1100,0.399743
1100,0.499950
1100,0.526801
1100,0.506573
1100,0.455805
1100,0.424818
1100,0.727085
1100,0.552459
1100,0.532470
1100,0.542283
1100,0.508434
1100,0.509261
1100,0.407335
1100,0.530771
1100,0.442141
1100,0.481665
1100,0.520637
1100,0.549894
1100,0.632042
1200,0.616053
1200,0.486596
1200,0.630664
1200,0.575657
1200,0.520355
1200,0.558349
1200,0.482396
1200,0.489515
1200,0.394275
1200,0.555775
1200,0.572864
1200,0.455428
1200,0.493251
1200,0.502576
1200,0.489140
1200,0.472913
1200,0.455009
1200,0.441099
1200,0.401874
1200,0.444589
1300,0.444828
1300,0.456980
1300,0.460043
1300,0.476414
1300,0.502929
1300,0.543317
1300,0.484744
1300,0.461883
1300,0.485840
1300,0.527505
1300,0.523063
1300,0.477933
1300,0.570261
1300,0.589800
1300,0.510660
1300,0.542356
1300,0.554819
1300,0.570556
1300,0.399670
1300,0.402518
1400,0.540175
1400,0.615869
1400,0.455219
1400,0.486840
1400,0.478555
1400,0.420068
1400,0.432083
1400,0.438576
1400,0.396911
1400,0.501129
1400,0.472397
1400,0.365960
1400,0.443568
1400,0.437623
1400,0.339748
1400,0.442518
1400,0.596452
1400,0.366437
1400,0.423873
1400,0.443493
1500,0.595811
1500,0.517614
1500,0.635529
1500,0.380548
1500,0.432607
1500,0.507900
1500,0.376322
1500,0.501122
1500,0.454884
1500,0.486718
1500,0.541842
1500,0.621962
1500,0.429742
1500,0.462341
1500,0.476705
1500,0.456357
1500,0.414132
1500,0.451016
1500,0.464253
1500,0.460064
1600,0.519267
1600,0.500505
1600,0.512841
1600,0.426355
1600,0.440342
1600,0.454600
1600,0.419318
1600,0.463406
1600,0.517502
1600,0.454591
1600,0.556694
1600,0.435145
1600,0.426405
1600,0.494462
1600,0.472715
1600,0.428258
1600,0.465945
1600,0.464201
1600,0.430862
1600,0.442319
1700,0.571364
1700,0.385600
1700,0.450502
1700,0.519559
1700,0.446211
1700,0.467399
1700,0.449480
1700,0.413647
1700,0.410404
1700,0.498790
1700,0.570029
1700,0.393468
1700,0.505598
1700,0.434400
1700,0.421203
1700,0.402903
1700,0.448317
1700,0.522052
1700,0.568564
1700,0.543858
1800,0.435097
1800,0.447860
1800,0.480461
1800,0.550673
1800,0.776215
1800,0.591794
1800,0.594502
1800,0.503073
1800,0.410312
1800,0.393799
1800,0.395744
1800,0.390650
1800,0.502511
1800,0.593883
1800,0.558816
1800,0.496446
1800,0.466261
1800,0.483593
1800,0.451781
1800,0.414794
1900,0.452282
1900,0.574862
1900,0.534733
1900,0.658294
1900,0.437535
1900,0.434163
1900,0.732719
1900,0.501229
1900,0.521247
1900,0.498726
1900,0.553922
1900,0.478243
1900,0.393391
1900,0.460581
1900,0.659977
1900,0.472075
1900,0.477685
1900,0.500469
1900,0.400074
1900,0.360967
2000,0.530197
2000,0.416364
2000,0.494947
2000,0.471685
2000,0.445993
2000,0.495761
2000,0.457623
2000,0.435936
2000,0.458288
2000,0.450738
2000,0.385615
2000,0.559210
2000,0.542095
2000,0.429567
2000,0.461774
2000,0.517404
2000,0.464910
2000,0.697211
2000,0.542397
2000,0.476700
2100,0.426539
2100,0.644386
2100,0.452974
2100,0.413137
2100,0.421380
2100,0.465262
2100,0.501713
2100,0.494545
2100,0.477597
2100,0.468573
2100,0.417524
2100,0.518381
2100,0.645905
2100,0.494776
2100,0.465538
2100,0.396140
2100,0.555420
2100,0.548267
2100,0.433630
2100,0.710772
2200,0.474845
2200,0.375997
2200,0.473276
2200,0.449121
2200,0.481903
2200,0.481127
2200,0.560852
2200,0.556580
2200,0.520666
2200,0.569185
2200,0.349284
2200,0.489031
2200,0.512087
2200,0.448997
2200,0.485408
2200,0.406098
2200,0.375354
2200,0.530452
2200,0.515351
2200,0.554891
2300,0.484309
2300,0.380535
2300,0.420352
2300,0.494436
2300,0.511209
2300,0.497413
2300,0.451614
2300,0.504633
2300,0.481834
2300,0.462273
2300,0.478046
2300,0.498148
2300,0.444267
2300,0.432360
2300,0.413342
2300,0.550309
2300,0.393381
2300,0.467684
2300,0.425829
2300,0.684086
2400,0.374891
2400,0.473800
2400,0.422340
2400,0.488120
2400,0.416925
2400,0.512527
2400,0.453387
2400,0.462803
2400,0.673612
2400,0.341818
2400,0.543470
2400,0.537872
2400,0.453321
2400,0.377401
2400,0.681351
2400,0.375982
2400,0.450889
2400,0.445253
2400,0.388063
2400,0.568264
2500,0.534543
2500,0.910262
2500,0.519142
2500,0.467600
2500,0.549000
2500,0.481292
2500,0.553790
2500,0.569349
2500,0.528812
2500,0.573948
2500,0.536801
2500,0.492784
2500,0.456158
2500,0.434390
2500,0.467322
2500,0.493204
2500,0.613263
2500,0.474020
2500,0.460105
2500,0.411141
2600,0.537465
2600,0.521671
2600,0.501491
2600,0.475229
2600,0.452777
2600,0.439422
2600,0.450944
2600,0.571437
2600,0.335735
2600,0.366562
2600,0.383818
2600,0.705622
2600,0.422612
2600,0.390886
2600,0.496808
2600,0.393348
2600,0.496435
2600,0.480591
2600,0.489181
2600,0.434827
2700,0.672401
2700,0.375303
2700,0.552547
2700,0.498882
2700,0.602465
2700,0.470421
2700,0.720471
2700,0.763959
2700,0.466796
2700,0.676932
2700,0.433208
2700,0.522705
2700,0.388590
2700,0.452099
2700,0.445581
2700,0.509752
2700,0.488667
2700,0.469182
2700,0.472229
2700,0.474136
2800,0.512894
2800,0.473777
2800,0.649470
2800,0.429359
2800,0.484622
2800,0.378624
2800,0.443616
2800,0.496236
2800,0.473697
2800,0.576602
2800,0.516062
2800,0.487590
2800,0.604031
2800,0.510300
2800,0.490646
2800,0.448303
2800,0.362618
2800,0.468494
2800,0.420381
2800,0.387253
2900,0.485689
2900,0.429150
2900,0.489021
2900,0.449104
2900,0.530850
2900,0.489784
2900,0.598746
2900,0.465752
2900,0.445108
2900,0.490879
2900,0.400347
