cnt_p,time
100,0.546509
100,0.525873
100,0.587830
100,0.513129
100,0.578272
100,0.497588
100,0.591425
100,0.512468
100,0.518723
100,0.461708
100,0.693270
100,0.501304
100,0.460563
100,0.557331
100,0.545092
100,0.516043
100,0.529364
100,0.531233
100,0.481002
100,0.516210
200,0.584279
200,0.504091
200,0.515345
200,0.550048
200,0.628817
200,0.457362
200,0.474244
200,0.570811
200,0.609556
200,0.539719
200,0.578879
200,0.593848
200,0.625964
200,0.535938
200,0.569630
200,0.528305
200,0.556482
200,0.447031
200,0.509066
200,0.546162
300,0.495022
300,0.563473
300,0.582442
300,0.549209
300,0.460858
300,0.472922
300,0.559481
300,0.544250
300,0.464539
300,0.645964
300,0.483156
300,0.585652
300,0.588272
300,0.562535
300,0.510654
300,0.687545
300,0.522917
300,0.558520
300,0.445773
300,0.523138
400,0.532182
400,0.504207
400,0.490151
400,0.466932
400,0.462112
400,0.540884
400,0.568825
400,0.562990
400,0.482540
400,0.567966
400,0.575032
400,0.448504
400,0.527228
400,0.473400
400,0.581259
400,0.478601
400,0.539714
400,0.532625
400,0.558322
400,0.502369
500,0.489181
500,0.567120
500,0.503279
500,0.552536
500,0.513953
500,0.555770
500,0.498377
500,0.424507
500,0.457753
500,0.554714
500,0.539169
500,0.451239
500,0.497343
500,0.522624
500,0.555812
500,0.563519
500,0.617863
500,0.404932
500,0.431762
500,0.492009
600,0.454103
600,0.366342
600,0.609909
600,0.577309
600,0.518481
600,0.544916
600,0.416467
600,0.500858
600,0.554728
600,0.575207
600,0.540014
600,0.506764
600,0.501357
600,0.496529
600,0.444631
600,0.499882
600,0.517576
600,0.643094
600,0.525986
600,0.440460
700,0.628454
700,0.483712
700,0.523521
700,0.593767
700,0.612989
700,0.516651
700,0.453605
700,0.531128
700,0.599386
700,0.494397
700,0.646942
700,0.547691
700,0.560039
700,0.545761
700,0.508308
700,0.518282
700,0.492834
700,0.524325
700,0.489642
700,0.462429
800,0.587172
800,0.436877
800,0.408243
800,0.519819
800,0.397511
800,0.530351
800,0.559735
800,0.608457
800,0.487770
800,0.502253
800,0.495881
800,0.434811
800,0.507190
800,0.447603
800,0.518631
800,0.445395
800,0.425210
800,0.427656
800,0.526068
800,0.515300
900,0.400171
900,0.571608
900,0.525413
900,0.678771
900,0.553277
900,0.422684
900,0.482342
900,0.455116
900,0.582284
900,0.488357
900,0.499728
900,0.465787
900,0.445867
900,0.614929
900,0.487339
900,0.482962
900,0.434667
900,0.546478
900,0.432973
900,0.480225
1000,0.388204
1000,0.501387
1000,0.671493
1000,0.472169
1000,0.474313
1000,0.588137
1000,0.493722
1000,0.525751
1000,0.400177
1000,0.432100
1000,0.426130
1000,0.496673
1000,0.448946
1000,0.534213
1000,0.473941
1000,0.418019
1000,0.518847
1000,0.519327
1000,0.494725
1000,0.523643
1100,0.468732
1100,0.455484
1100,0.507233
1100,0.502830
1100,0.485629
1100,0.602919
1100,0.535984
1100,0.458607
1100,0.458674
1100,0.501620
1100,0.385916
1100,0.526638
1100,0.505828
1100,0.532766
1100,0.573300
1100,0.632373
1100,0.500742
1100,0.553630
1100,0.402946
1100,0.483835
1200,0.514822
1200,0.453700
1200,0.443751
1200,0.578539
1200,0.496517
1200,0.483678
1200,0.464237
1200,0.750726
1200,0.633094
1200,0.523396
1200,0.512666
1200,0.528667
1200,0.454335
1200,0.533417
1200,0.695377
1200,0.585548
1200,0.480768
1200,0.479869
1200,0.485127
1200,0.509501
1300,0.537415
1300,0.496774
1300,0.539041
1300,0.447277
1300,0.464033
1300,0.439084
1300,0.477943
1300,0.463245
1300,0.577840
1300,0.713140
1300,0.578836
1300,0.500217
1300,0.500459
1300,0.650558
1300,0.526251
1300,0.405625
1300,0.456024
1300,0.511387
