cnt_p,time
1,0.000155
1,0.000089
1,0.000107
1,0.000082
1,0.000093
1,0.000093
1,0.000085
1,0.000091
1,0.000090
1,0.003723
1,0.000088
1,0.000088
1,0.000083
1,0.000086
1,0.000087
1,0.000087
1,0.000086
1,0.000084
1,0.000086
1,0.000084
2,0.002567
2,0.004182
2,0.008132
2,0.003109
2,0.005592
2,0.002549
2,0.005137
2,0.002337
2,0.002115
2,0.006722
2,0.004714
2,0.004693
2,0.004839
2,0.005538
2,0.007113
2,0.005152
2,0.006132
2,0.004722
2,0.003732
2,0.008643
3,0.013574
3,0.020302
3,0.010965
3,0.011317
3,0.014413
3,0.005793
3,0.013033
3,0.013299
3,0.005931
3,0.012015
3,0.010871
3,0.011184
3,0.009391
3,0.009341
3,0.013540
3,0.005954
3,0.011247
3,0.014285
3,0.010543
3,0.012199
4,0.020212
4,0.026233
4,0.018520
4,0.022709
4,0.021078
4,0.017059
4,0.021098
4,0.022429
4,0.014319
4,0.020495
4,0.012763
4,0.019500
4,0.023535
4,0.021154
4,0.017605
4,0.014212
4,0.017706
4,0.020901
4,0.024024
4,0.020070
5,0.037441
5,0.051469
5,0.044563
5,0.049696
5,0.044967
5,0.041525
5,0.035030
5,0.032102
5,0.043342
5,0.051919
5,0.050656
5,0.047878
5,0.032479
5,0.043756
5,0.036392
5,0.031707
5,0.028264
5,0.031736
5,0.027338
5,0.029017
6,0.036120
6,0.033361
6,0.039180
6,0.031912
6,0.035457
6,0.032780
6,0.029569
6,0.033249
6,0.031161
6,0.032021
6,0.032066
6,0.033443
6,0.034232
6,0.032447
6,0.035207
6,0.032482
6,0.033227
6,0.033240
6,0.033086
6,0.033487
7,0.042902
7,0.036709
7,0.043960
7,0.038151
7,0.034141
7,0.048956
7,0.043708
7,0.037190
7,0.042742
7,0.043628
7,0.039446
7,0.042630
7,0.044349
7,0.039448
7,0.042803
7,0.051612
7,0.036703
7,0.044861
7,0.042043
7,0.036779
8,0.049584
8,0.046913
8,0.041737
8,0.052414
8,0.055875
8,0.049773
8,0.054192
8,0.047726
8,0.059801
8,0.056407
8,0.053670
8,0.047274
8,0.054533
8,0.054283
8,0.050303
8,0.059865
8,0.052159
8,0.049965
8,0.051038
8,0.049803
9,0.061902
9,0.073448
9,0.062393
9,0.057515
9,0.059794
9,0.058110
9,0.064268
9,0.052523
9,0.053739
9,0.053545
9,0.052807
9,0.051594
9,0.051268
9,0.054235
9,0.062783
