cnt_p,time
1,0.000077
1,0.000078
1,0.000124
1,0.000085
1,0.000420
1,0.000076
1,0.000106
1,0.000077
1,0.000075
1,0.000080
1,0.000079
1,0.000076
1,0.000080
1,0.000075
1,0.000076
1,0.000078
1,0.000080
1,0.000114
1,0.000078
1,0.000075
2,0.006207
2,0.007625
2,0.013573
2,0.017624
2,0.006156
2,0.008735
2,0.008396
2,0.013123
2,0.005379
2,0.007021
2,0.003484
2,0.014092
2,0.020497
2,0.007788
2,0.009678
2,0.006114
2,0.017361
2,0.010142
2,0.005342
2,0.014088
3,0.037935
3,0.030053
3,0.022961
3,0.027545
3,0.030734
3,0.029515
3,0.036165
3,0.033409
3,0.028650
3,0.028638
3,0.041855
3,0.027044
3,0.032728
3,0.042839
3,0.046845
3,0.045520
3,0.038192
3,0.040128
3,0.031767
3,0.027186
4,0.058209
4,0.057890
4,0.053714
4,0.050271
4,0.049382
4,0.055553
4,0.057789
4,0.058353
4,0.052433
4,0.049798
4,0.053929
4,0.053872
4,0.057418
4,0.051197
4,0.050169
4,0.046463
4,0.049768
4,0.059386
4,0.057472
4,0.047694
5,0.100172
5,0.086817
5,0.079213
5,0.085881
5,0.080831
5,0.075776
5,0.080274
5,0.072114
5,0.074921
5,0.088785
5,0.069009
5,0.076111
5,0.075551
5,0.109399
5,0.088125
5,0.070397
5,0.084001
5,0.068481
5,0.078472
5,0.075624
6,0.125844
6,0.118286
6,0.136569
6,0.122166
6,0.138697
6,0.137297
6,0.122314
6,0.112606
6,0.146992
6,0.135127
6,0.131225
6,0.119165
6,0.143463
6,0.122905
6,0.118752
6,0.122321
6,0.112274
6,0.135757
6,0.123028
6,0.144834
7,0.214525
7,0.201540
7,0.199397
7,0.223441
7,0.257827
7,0.197525
7,0.191409
7,0.195816
7,0.174391
7,0.199962
7,0.206446
7,0.196605
7,0.221360
7,0.205087
7,0.196950
7,0.206687
7,0.202831
7,0.204060
7,0.181761
7,0.197993
8,0.294484
8,0.284361
8,0.301232
8,0.301341
8,0.307389
8,0.303353
8,0.302293
8,0.277846
8,0.315261
8,0.287799
8,0.308473
8,0.282578
8,0.299189
8,0.305466
8,0.317841
8,0.285812
8,0.283233
8,0.320628
8,0.303976
8,0.281296
9,0.413570
9,0.443672
9,0.421799
9,0.401367
9,0.429869
9,0.397918
9,0.410890
9,0.390907
9,0.427095
9,0.391300
9,0.394489
9,0.398486
9,0.403045
9,0.419547
9,0.377016
9,0.398713
9,0.386803
9,0.410837
9,0.411541
9,0.415201
10,0.580697
10,0.600616
10,0.564955
10,0.531851
10,0.566497
10,0.550004
10,0.552996
10,0.571709
10,0.571916
10,0.580068
10,0.616665
10,0.572607
10,0.588071
10,0.592492
10,0.567250
10,0.565392
10,0.590610
10,0.609373
10,0.556545
10,0.585123
11,0.778333
11,0.778182
