cnt_p,time
1,0.000101
1,0.000195
1,0.000186
1,0.000083
1,0.000083
1,0.000083
1,0.000078
1,0.000092
1,0.000087
1,0.000091
1,0.000084
1,0.000083
1,0.000080
1,0.000078
1,0.000077
1,0.000079
1,0.000080
1,0.000081
1,0.000079
1,0.000090
2,0.005161
2,0.018393
2,0.013351
2,0.016678
2,0.009501
2,0.012130
2,0.015885
2,0.003250
2,0.010435
2,0.003199
2,0.008133
2,0.004663
2,0.008196
2,0.015973
2,0.010161
2,0.009217
2,0.004757
2,0.012917
2,0.010773
2,0.008160
3,0.044266
3,0.041813
3,0.039561
3,0.035140
3,0.034847
3,0.040126
3,0.035721
3,0.032227
3,0.036956
3,0.038521
3,0.033622
3,0.030704
3,0.029950
3,0.028423
3,0.041877
3,0.035107
3,0.055177
3,0.038880
3,0.051521
3,0.040676
4,0.077985
4,0.060765
4,0.054261
4,0.048700
4,0.054144
4,0.054897
4,0.059392
4,0.054762
4,0.049329
4,0.046406
4,0.055253
4,0.075247
4,0.052317
4,0.046219
4,0.057541
4,0.056550
4,0.053130
4,0.051253
4,0.058092
4,0.048236
5,0.090409
5,0.080764
5,0.088310
5,0.078456
5,0.096534
5,0.094699
5,0.078039
5,0.072899
5,0.078048
5,0.088237
5,0.076292
5,0.091255
5,0.082230
5,0.081220
5,0.095299
5,0.100687
5,0.082612
5,0.082230
5,0.083998
5,0.079254
6,0.139185
6,0.150138
6,0.135825
6,0.140417
6,0.144259
6,0.141477
6,0.140074
6,0.107567
6,0.140329
6,0.122557
6,0.119410
6,0.144220
6,0.145856
6,0.141984
6,0.118688
6,0.156688
6,0.145040
6,0.132901
6,0.134013
6,0.141062
7,0.210292
7,0.195953
7,0.210406
7,0.191765
7,0.215138
7,0.171393
7,0.206015
7,0.208907
7,0.212120
7,0.199827
7,0.196748
7,0.189078
7,0.198197
7,0.183374
7,0.206495
7,0.227909
7,0.205029
7,0.201122
7,0.203281
7,0.182345
8,0.307114
8,0.378484
8,0.312069
8,0.291652
8,0.286142
8,0.277845
8,0.291139
8,0.270929
8,0.268047
8,0.284936
8,0.319727
8,0.288602
8,0.323323
8,0.364737
8,0.328281
8,0.267614
8,0.269354
8,0.311315
8,0.304251
8,0.330124
9,0.415872
9,0.410955
9,0.389396
9,0.412991
9,0.405592
9,0.435778
9,0.461280
9,0.459873
9,0.416955
9,0.396366
9,0.411620
9,0.413472
9,0.411583
9,0.389350
9,0.377298
9,0.429502
9,0.377245
9,0.418576
9,0.364150
9,0.431821
10,0.588798
10,0.576926
10,0.569514
10,0.568870
10,0.575949
10,0.559070
10,0.536095
10,0.663583
10,0.631123
10,0.597730
10,0.540588
10,0.574372
10,0.548977
10,0.689376
10,0.557859
10,0.596314
10,0.523754
10,0.611187
10,0.640379
10,0.601347
11,0.843037
11,0.759185
11,0.741162
11,0.781683
11,0.760184
11,0.765276
11,0.748282
11,0.817824
11,0.737631
11,0.744401
11,0.724401
11,0.792037
11,0.772213
11,0.789334
11,0.785363
11,0.786107
11,0.792190
11,0.806990
11,0.869670
11,0.769974
12,0.971546
12,1.125513
12,1.025268
12,1.008165
12,1.015815
12,1.011540
12,1.046917
12,1.021832
12,1.050682
12,1.082907
12,0.960690
12,1.028662
12,1.024610
12,1.032427
12,0.984877
12,1.022038
12,1.019046
12,1.008249
12,1.048038
12,1.034977
13,1.363295
13,1.276255
13,1.206894
13,1.328170
13,1.334043
13,1.301564
13,1.214105
13,1.296588
13,1.282550
13,1.256826
13,1.209902
13,1.265480
13,1.276872
13,1.309322
13,1.281202
13,1.289555
13,1.316517
13,1.218746
13,1.240609
13,1.244878
14,1.625810
14,1.646038
14,1.593091
14,1.639865
14,1.619046
14,1.559379
14,1.564036
14,1.570921
14,1.578987
14,1.536743
14,1.627328
14,1.592612
14,1.632422
14,1.549747
14,1.623083
14,1.602847
14,1.537837
14,1.612029
14,1.634388
14,1.525011
15,1.961828
15,1.946672
15,1.952190
15,1.935957
15,1.938309
15,1.955048
15,1.944093
15,1.854228
15,2.003620
15,1.983496
15,2.030291
15,1.856789
15,1.885942
15,1.919571
15,1.930562
15,1.984529
15,1.988910
15,1.938908
15,1.915742
15,1.890690
16,2.444526
16,2.369677
16,2.326420
16,2.367370
16,2.417380
16,2.467753
16,2.383421
16,2.380062
16,2.544928
16,2.427292
16,2.314710
16,3.061134
16,2.713872
16,2.708545
16,2.518530
16,2.508823
16,2.627560
16,2.500264
