cnt_p,time
1,0.005635
1,0.005673
1,0.004574
1,0.007706
1,0.001670
1,0.004808
1,0.003682
1,0.008388
1,0.001638
1,0.005687
1,0.003691
1,0.003686
1,0.001634
1,0.001649
1,0.004334
1,0.005673
1,0.001864
1,0.004679
1,0.003779
1,0.004805
2,0.012483
2,0.021501
2,0.012155
2,0.014156
2,0.014642
2,0.011705
2,0.015004
2,0.010836
2,0.011680
2,0.015651
2,0.011925
2,0.012227
2,0.011628
2,0.010439
2,0.011487
2,0.012506
2,0.021231
2,0.015522
2,0.015956
2,0.016487
3,0.047970
3,0.043536
3,0.038267
3,0.035105
3,0.035166
3,0.029352
3,0.029722
3,0.030493
3,0.028299
3,0.028544
3,0.027490
3,0.029389
3,0.029171
3,0.029688
3,0.028287
3,0.027104
3,0.027552
3,0.029541
3,0.028809
3,0.027024
4,0.053030
4,0.039361
4,0.042712
4,0.044098
4,0.043730
4,0.034967
4,0.038465
4,0.036365
4,0.038004
4,0.032894
4,0.040608
4,0.036836
4,0.038246
4,0.033721
4,0.040719
4,0.042546
4,0.042893
4,0.037961
4,0.037107
4,0.039329
5,0.057434
5,0.050876
5,0.049760
5,0.051504
5,0.063418
5,0.048985
5,0.053169
5,0.051906
5,0.045167
5,0.048028
5,0.050565
5,0.049931
5,0.049792
5,0.049710
5,0.049006
5,0.049712
5,0.052066
5,0.052054
5,0.045326
5,0.048135
6,0.095956
6,0.063164
6,0.068840
6,0.070227
6,0.065074
6,0.067282
6,0.063042
6,0.067881
6,0.064828
6,0.065606
6,0.063307
6,0.065861
6,0.062194
6,0.067431
6,0.074008
6,0.060062
6,0.064170
6,0.067844
6,0.060466
6,0.059087
7,0.091483
7,0.083986
7,0.083348
7,0.084678
7,0.086216
7,0.081451
7,0.090363
7,0.088040
7,0.080120
7,0.079755
7,0.083554
7,0.081927
7,0.085603
7,0.080920
7,0.084488
7,0.079646
7,0.082641
7,0.090912
7,0.080984
7,0.082447
8,0.116637
8,0.103494
8,0.099720
8,0.097066
8,0.098458
8,0.101145
8,0.115681
8,0.104740
8,0.099119
8,0.101544
8,0.098969
8,0.101757
8,0.098815
8,0.102422
8,0.099087
8,0.111073
8,0.101594
8,0.103867
8,0.100863
8,0.104758
9,0.143996
9,0.133540
9,0.129348
9,0.152453
9,0.143785
9,0.129558
9,0.128012
9,0.129702
9,0.123342
9,0.125994
9,0.142112
9,0.132136
9,0.129565
9,0.129961
9,0.138197
9,0.128789
9,0.131721
9,0.121832
9,0.140754
9,0.124731
10,0.160493
10,0.141443
10,0.142365
10,0.144615
10,0.161273
10,0.151923
10,0.156782
10,0.159771
10,0.155954
10,0.153177
10,0.155033
10,0.155343
10,0.152578
10,0.151579
10,0.143645
10,0.144356
10,0.153599
10,0.149457
10,0.144606
10,0.151081
11,0.190081
11,0.196078
11,0.194517
11,0.182752
11,0.198726
11,0.197095
11,0.194059
11,0.195799
11,0.188376
11,0.191417
11,0.196581
11,0.188940
11,0.210205
11,0.203657
11,0.184335
11,0.192901
11,0.193241
11,0.197196
11,0.187227
11,0.179655
12,0.203870
12,0.196192
12,0.230573
12,0.199370
12,0.196970
12,0.211109
12,0.206737
12,0.209464
12,0.229718
12,0.221567
12,0.212341
12,0.211748
12,0.201985
12,0.226483
12,0.202464
12,0.208648
12,0.227517
12,0.207720
12,0.201124
12,0.197818
13,0.272631
13,0.258406
13,0.277111
13,0.267879
13,0.270188
13,0.271448
13,0.265453
13,0.268896
13,0.263780
13,0.274844
13,0.260537
13,0.260156
13,0.292137
13,0.269697
13,0.268838
13,0.273398
13,0.266874
13,0.287211
13,0.282311
13,0.255172
14,0.283049
14,0.286454
14,0.275291
14,0.273382
14,0.258949
14,0.303737
14,0.277286
14,0.264106
14,0.290160
14,0.281461
14,0.276636
14,0.280945
14,0.294059
14,0.303166
14,0.273623
14,0.282211
14,0.286234
14,0.263914
14,0.275122
14,0.305869
15,0.354675
