cnt_p,time
1,0.001684
1,0.001625
1,0.005322
1,0.005731
1,0.003715
1,0.001680
1,0.001610
1,0.001693
1,0.005142
1,0.006961
1,0.001610
1,0.006645
1,0.001653
1,0.002850
1,0.001687
1,0.001624
1,0.003715
1,0.001611
1,0.001612
1,0.003956
2,0.011996
2,0.022695
2,0.019610
2,0.019217
2,0.023277
2,0.022659
2,0.011485
2,0.023212
2,0.016917
2,0.013219
2,0.022671
2,0.011522
2,0.019730
2,0.021576
2,0.020262
2,0.021417
2,0.034240
2,0.029714
2,0.030022
2,0.037033
3,0.071962
3,0.057011
3,0.040179
3,0.037109
3,0.037281
3,0.038569
3,0.045934
3,0.051305
3,0.041816
3,0.041515
3,0.039400
3,0.042287
3,0.040460
3,0.039769
3,0.040542
3,0.041501
3,0.040260
3,0.040965
3,0.053118
3,0.038758
4,0.067463
4,0.070306
4,0.072842
4,0.066353
4,0.063351
4,0.059264
4,0.071542
4,0.063616
4,0.060708
4,0.063797
4,0.070703
4,0.060742
4,0.072315
4,0.061316
4,0.061489
4,0.064227
4,0.065418
4,0.067130
4,0.063894
4,0.066443
5,0.111580
5,0.101921
5,0.099133
5,0.110498
5,0.101809
5,0.106702
5,0.097095
5,0.095387
5,0.100632
5,0.111014
5,0.111519
5,0.112764
5,0.122995
5,0.100906
5,0.116382
5,0.099503
5,0.103971
5,0.102426
5,0.095219
5,0.113250
6,0.161775
6,0.167617
6,0.143735
6,0.168148
6,0.161889
6,0.170088
6,0.171748
6,0.146045
6,0.164846
6,0.162034
6,0.169083
6,0.159578
6,0.180729
6,0.174602
6,0.174691
6,0.145429
6,0.174114
6,0.165189
6,0.156505
6,0.148207
7,0.246888
7,0.228099
7,0.239558
7,0.252988
7,0.221226
7,0.219533
7,0.229977
7,0.215451
7,0.233463
7,0.229260
7,0.246124
7,0.257924
7,0.257341
7,0.236876
7,0.222114
7,0.237761
7,0.241461
7,0.231173
7,0.256886
7,0.262470
8,0.365332
8,0.366574
8,0.342524
8,0.333973
8,0.348839
8,0.367474
8,0.359501
8,0.355588
8,0.358055
8,0.335973
8,0.349840
8,0.356527
8,0.340928
8,0.349557
8,0.350481
8,0.365926
8,0.358353
8,0.353801
8,0.367564
8,0.353516
9,0.483861
9,0.476618
9,0.474049
9,0.496531
9,0.423867
9,0.503725
9,0.476525
9,0.488340
9,0.471431
9,0.442467
9,0.460936
9,0.470970
9,0.440667
9,0.472700
9,0.490754
9,0.517598
9,0.475540
9,0.506354
9,0.478144
9,0.463685
10,0.663346
10,0.648050
10,0.664181
10,0.663009
10,0.690087
10,0.641567
10,0.682374
10,0.650982
10,0.648031
10,0.639324
10,0.630677
10,0.625540
10,0.667613
10,0.698224
10,0.660476
10,0.633451
10,0.694552
10,0.713476
10,0.622527
10,0.661300
11,0.876868
11,0.849481
11,0.871800
11,0.874828
11,0.868926
11,0.859681
11,0.820945
11,0.895631
11,0.885542
11,0.804842
11,0.973259
11,0.871888
11,0.846203
11,0.863737
11,0.862476
11,0.865840
11,0.840890
11,0.871782
11,0.853640
11,0.793772
12,1.226322
12,1.137339
12,1.120199
12,1.160245
12,1.121615
12,1.169291
12,1.140772
12,1.103521
12,1.082012
12,1.138042
12,1.116864
12,1.132559
12,1.095630
12,1.116632
12,1.062227
12,1.125323
12,1.148425
12,1.184213
12,1.131907
12,1.160983
13,1.387308
13,1.410611
13,1.352053
13,1.362164
13,1.358804
13,1.406279
13,1.400610
13,1.388184
13,1.372592
13,1.377480
13,1.380559
13,1.420684
13,1.381623
13,1.416795
13,1.393810
13,1.472296
13,1.357073
13,1.416810
13,1.374729
13,1.454475
14,1.773115
14,1.710147
14,1.713873
14,1.812551
14,1.747270
14,1.754656
14,1.768387
14,1.810139
14,1.682019
14,1.740974
14,1.759008
14,1.735126
14,1.703361
14,1.769575
14,1.777937
14,1.740943
14,1.723761
14,1.790342
14,1.684099
14,1.707595
15,2.150749
15,2.117274
15,2.087962
15,2.079090
15,2.090284
15,2.119415
15,2.097771
15,2.109389
15,2.078499
15,2.085662
15,2.086162
15,2.088727
15,2.048240
15,2.122168
15,2.123670
15,2.131339
15,2.136779
15,2.146275
15,2.140008
15,2.125888
16,2.652011
16,2.570449
16,2.579301
16,2.582077
16,2.557517
16,2.554742
16,2.639173
16,2.660517
16,2.773087
16,2.559373
16,2.568777
16,2.666779
16,2.622517
16,2.674272
16,2.618403
16,2.559181
16,2.654320
16,2.539970
16,2.539257
16,2.643163
17,3.088390
17,3.040139
17,3.055962
17,3.182877
17,3.013975
17,3.076515
17,3.095623
17,3.150776
17,3.043590
17,3.098526
17,3.057630
17,3.056460
17,3.089261
17,3.340329
17,3.069047
17,3.191078
17,3.142243
17,3.252216
17,3.314378
17,3.093098
18,3.775785
18,3.744113
18,3.836783
18,3.745818
18,3.829564
18,3.831736
18,3.725214
18,3.864726
18,3.589319
18,3.748018
18,3.641602
18,3.588979
18,3.725083
18,3.699227
18,4.174921
18,3.710640
18,3.791426
18,3.662750
18,3.638810
18,3.672477
19,4.247977
19,4.344453
19,4.319209
19,4.220047
19,4.292094
19,4.222166
19,4.251290
19,4.275344
19,4.229232
19,4.237384
19,4.200353
19,4.394192
19,4.573210
19,4.735085
19,4.517567
19,4.552017
19,4.755401
19,4.610572
19,4.595561
19,4.417018
20,5.098217
20,5.064646
20,5.026151
20,4.962042
20,5.137344
20,5.075780
20,4.961051
20,5.106338
20,5.015098
20,4.957034
20,5.011643
20,5.025388
20,5.091034
20,5.017455
20,5.096414
20,5.167641
20,5.233858
20,5.341221
20,5.840871
20,5.330758
