cnt_p,time
1,0.009177
1,0.001653
1,0.004803
1,0.006443
1,0.003775
1,0.007057
1,0.001701
1,0.002809
1,0.001664
1,0.001648
1,0.001639
1,0.003689
1,0.003714
1,0.001686
1,0.006715
1,0.001650
1,0.001630
1,0.004841
1,0.001619
1,0.003682
2,0.022733
2,0.026688
2,0.015253
2,0.019104
2,0.015670
2,0.015723
2,0.021396
2,0.013478
2,0.022384
2,0.023302
2,0.015604
2,0.022078
2,0.017265
2,0.017196
2,0.021880
2,0.027073
2,0.014558
2,0.022665
2,0.022606
2,0.021150
3,0.064137
3,0.039019
3,0.036035
3,0.056352
3,0.046771
3,0.092493
3,0.058214
3,0.085500
3,0.065944
3,0.045985
3,0.051206
3,0.043982
3,0.042295
3,0.040620
3,0.035567
3,0.037957
3,0.043026
3,0.037630
3,0.039221
3,0.042579
4,0.071084
4,0.064661
4,0.078303
4,0.060879
4,0.080537
4,0.064765
4,0.074610
4,0.072148
4,0.066762
4,0.053810
4,0.077347
4,0.079653
4,0.081904
4,0.074823
4,0.082144
4,0.074432
4,0.069796
4,0.060506
4,0.065543
4,0.067650
5,0.118211
5,0.121067
5,0.118849
5,0.112664
5,0.121250
5,0.114815
5,0.108862
5,0.107636
5,0.094846
5,0.108180
5,0.102934
5,0.104600
5,0.112157
5,0.122112
5,0.102806
5,0.127451
5,0.104788
5,0.107983
5,0.114899
5,0.114148
6,0.176594
6,0.155998
6,0.168759
6,0.166284
6,0.193197
6,0.159855
6,0.176814
6,0.154479
6,0.164798
6,0.171527
6,0.149862
6,0.193736
6,0.187520
6,0.175261
6,0.158809
6,0.177718
6,0.175051
6,0.185971
6,0.170763
6,0.152173
7,0.256407
7,0.216468
7,0.269436
7,0.230458
7,0.256786
7,0.274217
7,0.234894
7,0.248271
7,0.267888
7,0.249188
7,0.257747
7,0.245528
7,0.222131
7,0.259636
7,0.249224
7,0.239683
7,0.225879
7,0.240335
7,0.239592
7,0.245962
8,0.352032
8,0.344940
8,0.372055
8,0.378818
8,0.326357
8,0.367570
8,0.364847
8,0.346030
8,0.339835
8,0.372047
8,0.349149
8,0.349990
8,0.341793
8,0.351992
8,0.323212
8,0.368596
8,0.370421
8,0.359331
8,0.405033
