cnt_p,time
1,0.719912
1,0.629405
1,0.535681
1,0.541611
1,0.534756
1,0.566134
1,0.552803
1,0.555428
1,0.594448
1,0.547139
2,1.064093
2,1.073311
2,1.103178
2,1.136399
2,1.070312
2,1.074949
2,1.067066
2,1.055523
2,1.056746
2,1.073553
3,1.639304
3,1.604846
3,1.611398
3,1.577576
3,1.618349
3,1.600893
3,1.585126
3,1.585204
3,1.575411
3,1.571961
4,2.139809
4,2.107913
4,2.096654
4,2.148856
4,2.095851
4,2.311918
4,2.085066
4,2.133158
4,2.092963
4,2.138178
5,2.645945
5,2.646453
5,2.636177
5,2.691514
5,2.620205
5,2.620154
5,2.609617
5,2.641207
5,2.662704
5,2.665571
6,3.225678
6,3.168001
6,3.251879
6,3.171972
6,3.173997
6,3.158649
6,3.161183
6,3.167528
6,3.202730
6,3.169198
7,3.822091
7,3.749048
7,3.691256
7,3.715633
7,3.694171
7,3.729250
7,3.697352
7,3.727779
7,3.675379
7,3.647469
8,4.232291
8,4.216493
8,4.204336
8,4.201208
8,4.229255
8,4.189160
8,4.189270
8,4.184218
8,4.177521
8,4.225630
9,4.703521
9,4.791932
9,4.698113
9,4.738968
9,4.738859
9,4.722500
9,4.821387
9,4.771644
9,4.746818
9,4.766483
10,5.238037
10,5.286348
10,5.262945
10,5.278038
10,5.293345
10,5.274315
10,5.220122
10,5.221493
10,5.253613
10,5.232073
11,5.821081
11,5.851344
11,5.751981
11,5.736463
11,5.755477
11,5.722568
11,5.770921
11,5.889487
11,5.769726
11,5.764173
12,6.310176
12,6.282854
12,6.337307
12,6.275202
12,6.275999
12,6.437908
12,6.252349
12,6.273171
12,6.306969
12,6.319005
13,6.899257
13,6.779484
13,6.937064
13,6.823510
13,6.836964
13,6.840707
13,6.870987
13,6.803505
13,6.785538
13,6.773908
14,7.363515
14,7.323810
14,7.457853
14,7.307396
14,7.241503
14,7.272688
14,7.317138
14,7.274953
14,7.381783
14,7.315852
15,7.961409
15,7.903009
15,7.923761
15,7.883437
15,7.850990
15,7.908612
15,7.915908
15,7.902389
15,7.920882
15,7.919111
16,8.446391
16,8.500758
16,8.426071
16,8.481458
16,8.396416
16,8.491060
16,8.352457
16,8.499658
16,8.422571
16,8.337458
17,8.924030
17,8.929516
17,8.910818
17,8.905812
17,8.929580
17,8.940022
17,8.945900
17,8.916947
17,9.004938
17,8.863122
18,9.472289
18,9.620367
18,9.559642
18,9.451018
18,9.518073
18,9.356857
18,9.436545
18,9.359971
18,9.464472
18,9.339971
19,10.269892
19,10.067558
19,10.012180
19,10.176457
19,9.946057
19,10.048714
19,9.931035
19,10.144843
19,10.047293
19,10.034004
20,10.529223
20,10.497713
20,10.548231
20,10.649631
20,10.606913
20,10.575362
20,10.653702
20,10.696780
20,10.476269
20,10.679527
21,11.274311
21,11.209119
21,11.044473
21,11.232584
21,11.230248
21,11.062845
21,11.121305
21,11.153231
21,11.183507
21,11.137465
22,11.664746
22,11.671084
22,11.686874
22,11.759796
22,11.711059
22,11.765479
22,11.694797
22,11.767727
22,11.643627
22,11.676503
23,12.163433
23,12.251259
23,12.186796
23,12.077716
23,12.143628
23,12.375585
23,12.042634
23,12.195026
23,12.199759
23,12.222033
24,12.891856
24,12.595472
24,12.728983
24,12.647130
24,12.717583
24,12.783661
24,12.775441
24,12.784392
24,12.996618
24,12.765545
25,13.325759
25,13.149831
25,13.457353
25,13.231538
25,13.117477
25,13.294557
25,13.197629
25,13.513378
25,13.355960
25,13.319550
26,13.772604
26,13.734606
26,13.883409
26,13.970518
26,13.583925
26,13.960163
26,14.044976
26,13.869022
26,13.602971
26,13.756239
27,14.364831
27,14.389769
27,14.466350
27,14.305491
27,14.291015
27,14.529667
27,14.506853
27,14.217904
27,14.276734
27,14.227754
28,14.900978
28,15.109754
28,15.092510
28,14.829851
28,14.750375
28,14.781640
28,14.806988
28,14.661500
28,14.823233
28,15.011349
29,15.616875
29,15.395161
29,15.465718
29,15.249507
29,15.256248
29,15.303441
29,15.271515
29,15.300363
29,15.199562
29,15.396257
30,16.032201
30,16.099030
30,15.961539
30,15.934668
30,15.895816
30,15.836823
30,16.338323
30,16.063735
30,15.711070
30,15.850531
