cnt_p,time
1,0.188144
1,0.128032
1,0.081907
1,0.080497
1,0.080755
2,0.147441
2,0.199344
2,0.163457
2,0.143833
2,0.157278
3,0.226941
3,0.237615
3,0.208050
3,0.209205
3,0.221978
4,0.288584
4,0.277469
4,0.291421
4,0.301530
4,0.275143
5,0.346550
5,0.337773
5,0.343495
5,0.340288
5,0.359532
6,0.426065
6,0.441680
6,0.409925
6,0.403188
6,0.400570
7,0.472006
7,0.476302
7,0.463626
7,0.475879
7,0.492162
8,0.592818
8,0.538211
8,0.540908
8,0.529015
8,0.542987
9,0.612468
9,0.600017
9,0.602189
9,0.596063
9,0.594719
10,0.671535
10,0.666786
10,0.670365
10,0.668323
10,0.653081
11,0.733200
11,0.733142
11,0.724917
11,0.727124
11,0.725151
12,0.795367
12,0.798390
12,0.803289
12,0.785627
12,0.799448
13,0.895538
13,0.864294
13,0.854368
13,0.882868
13,0.858804
14,0.923508
14,0.928093
14,0.923267
14,0.923528
14,0.931119
15,1.035959
15,0.998340
15,0.992479
15,1.008640
15,0.983700
16,1.066885
16,1.051434
16,1.069918
16,1.053507
16,1.082845
17,1.141512
17,1.120203
17,1.123921
17,1.169266
17,1.122522
18,1.182647
18,1.184529
18,1.218402
18,1.182451
18,1.181246
19,1.250736
19,1.331021
19,1.283578
19,1.243081
19,1.249283
20,1.313647
20,1.314872
20,1.306175
20,1.311871
20,1.308918
21,1.379546
21,1.373488
21,1.372593
21,1.372713
21,1.463359
22,1.492300
22,1.449665
22,1.469118
22,1.437507
22,1.470836
23,1.536766
23,1.503789
23,1.526170
23,1.499224
23,1.513530
24,1.601704
24,1.587163
24,1.571470
24,1.579126
24,1.574633
25,1.775810
25,1.641435
25,1.678839
25,1.646467
25,1.685675
26,1.985787
26,1.736595
26,1.716856
26,1.714744
26,1.718143
27,1.835118
27,1.791028
27,1.811719
27,1.768579
27,1.757529
28,1.881914
28,1.893687
28,1.843996
28,1.833643
28,1.829303
29,1.947970
29,1.922687
29,1.894788
29,1.887939
29,1.899247
30,2.019763
30,1.966070
30,1.967578
30,2.021132
30,1.976743
