cnt_p,time
1,0.102101
1,0.072282
1,0.070376
1,0.071315
1,0.071654
1,0.071389
1,0.071561
1,0.069862
1,0.069567
1,0.080715
1,0.118933
1,0.086238
1,0.073417
1,0.073892
1,0.072372
1,0.077758
1,0.077143
1,0.077813
1,0.087401
1,0.080429
1,0.076066
1,0.073844
1,0.079049
1,0.068758
1,0.070790
1,0.069679
1,0.069271
1,0.071286
1,0.071328
1,0.077033
2,0.184664
2,0.212959
2,0.182668
2,0.207097
2,0.178784
2,0.182986
2,0.183276
2,0.194283
2,0.190841
2,0.214848
2,0.183645
2,0.199840
2,0.189071
2,0.251746
2,0.209461
2,0.193653
2,0.180106
2,0.188122
2,0.247741
2,0.190710
2,0.185783
2,0.220405
2,0.186545
2,0.195890
2,0.183250
2,0.180827
2,0.218572
2,0.193683
2,0.196672
2,0.181125
3,0.364322
3,0.404690
3,0.456012
3,0.394760
3,0.431864
3,0.491681
3,0.357404
3,0.396384
3,0.459912
3,0.365661
3,0.372048
3,0.361702
3,0.367457
3,0.375655
3,0.355024
3,0.409004
3,0.429207
3,0.346855
3,0.369410
3,0.400373
3,0.371850
3,0.349635
3,0.450234
3,0.364625
3,0.424654
3,0.388013
3,0.365124
3,0.354480
3,0.393593
3,0.455215
4,0.715445
4,0.584609
4,0.638191
4,0.613588
4,0.604975
4,0.610751
4,0.632728
4,0.685759
4,0.723726
4,0.591441
4,0.671474
4,0.777004
4,0.730866
4,0.635535
4,0.698708
4,0.652650
4,0.620830
4,0.774039
4,0.606319
4,0.711328
4,0.653744
4,0.569521
4,0.668429
4,0.633928
4,0.635932
4,0.750875
4,0.619949
4,0.629539
4,0.620700
4,0.599725
5,0.971140
5,0.862078
5,0.870041
5,0.879669
5,0.967159
5,0.925988
5,1.007855
5,0.871656
5,1.006686
5,0.935599
5,0.901530
5,0.855480
5,0.950252
5,1.036022
5,0.989292
5,0.860124
5,1.040580
5,0.921408
5,1.029603
5,0.833926
5,0.994578
5,1.070950
5,0.849398
5,1.061854
5,1.014633
5,1.025523
5,0.937200
5,0.986695
5,0.919964
5,0.886872
6,1.199325
6,1.384745
6,1.448571
6,1.462352
6,1.591618
6,1.283230
6,1.253584
6,1.408233
6,1.213012
6,1.209760
6,1.202323
6,1.448061
6,1.292600
6,1.262143
6,1.663908
6,1.253172
6,1.223682
6,1.339773
6,1.434395
6,1.288238
6,1.370450
6,1.224599
6,1.374983
6,1.282102
6,1.328122
6,1.398499
6,1.499708
6,1.289001
6,1.190882
6,1.247332
7,1.990523
7,1.766590
7,1.714253
7,1.728786
7,1.953797
7,1.949302
7,2.042972
7,1.645828
7,1.631773
7,1.618078
7,1.707009
7,1.742298
7,1.612651
7,1.653036
7,1.945404
7,1.846561
7,1.588246
7,1.582195
7,1.782552
7,1.673991
7,1.867720
7,1.699129
7,1.885366
7,1.749722
7,1.773417
7,1.784017
7,1.666965
7,1.801215
7,1.686346
7,1.913334
8,2.313663
8,2.266884
8,2.114425
8,2.130113
8,2.337374
8,2.349502
8,2.330367
8,2.233013
8,2.235592
8,2.458078
8,2.312299
8,2.219602
8,2.443867
8,2.053071
8,2.197843
8,2.309175
8,2.226639
8,2.416799
8,2.239973
8,2.158610
8,2.307617
8,2.159197
8,2.174930
8,2.092672
8,2.185359
8,2.303461
8,2.376426
8,2.221525
8,2.152365
8,2.131994
9,2.723491
9,2.896839
9,3.134042
9,2.661705
9,2.829586
9,2.731976
9,2.770967
9,2.706777
9,2.921473
9,2.548241
9,2.814384
9,2.844805
9,2.773519
9,2.699529
9,2.944267
9,2.862703
9,2.975431
9,3.131185
9,2.528108
9,2.706000
9,3.181744
9,2.650686
9,2.726110
9,2.781227
9,2.641256
9,2.972856
9,2.732634
9,3.099616
9,2.798806
9,2.776406
10,3.548062
10,3.637643
10,3.339053
10,3.575210
10,3.550209
10,3.239362
10,3.728646
10,3.500600
10,3.576669
10,3.374134
10,3.162897
10,3.436386
10,3.394681
10,3.708562
10,3.273895
10,3.368233
10,3.368138
10,3.427838
10,3.436552
10,3.466097
10,3.596048
10,3.249285
10,3.301830
10,3.249509
10,3.715783
10,3.173705
10,3.225078
10,3.669783
10,3.528338
10,3.172062
11,4.153180
11,4.260254
11,3.716152
11,3.996959
11,3.735104
11,4.109373
11,4.183920
11,4.037725
11,3.987718
11,3.944909
11,3.872645
11,4.185429
11,4.407481
11,3.930355
11,3.864548
11,3.874705
11,4.437745
11,4.016790
11,4.290565
11,4.353643
11,4.008844
11,4.002666
11,3.995353
11,4.261632
11,4.077523
11,4.068783
11,4.357725
11,4.108042
11,4.063856
11,4.554559
12,4.777560
12,4.990040
12,4.788460
12,4.893461
12,4.959172
12,4.697938
12,4.570460
12,4.742589
12,5.136039
12,4.913478
12,5.015850
12,4.894542
12,4.801102
12,4.776557
12,4.687988
12,5.076238
12,4.932532
12,4.819417
12,4.905683
12,5.064205
12,5.152712
12,4.793770
12,5.047134
12,5.145959
12,4.488904
12,4.578138
12,4.703825
12,4.694530
12,4.946624
12,4.769076
13,5.847931
13,5.557723
13,5.722746
13,6.652879
13,6.020977
13,5.163035
13,5.179244
13,5.550776
13,5.888118
13,5.376097
13,5.201559
13,5.337629
13,5.493507
13,5.626808
13,5.964102
13,5.537064
13,5.893568
13,5.433210
13,5.909559
13,5.216827
13,5.797015
13,5.549168
13,5.934865
13,5.432829
13,5.406593
13,5.537766
13,5.390878
13,5.475105
13,5.462641
13,5.910620
14,6.734640
14,7.275268
14,6.728768
14,6.721476
14,6.887351
14,6.177684
14,7.152955
14,6.465962
14,6.800466
14,6.173538
14,6.512230
14,5.954420
14,6.820474
14,6.117871
14,6.605845
14,6.428550
14,6.144328
14,6.445455
14,6.466499
14,6.242961
14,6.612057
14,6.445739
14,7.138317
14,6.570526
14,6.589274
14,5.840769
14,6.595461
14,6.938836
14,6.487253
14,6.334058
15,7.760354
15,7.095719
15,7.416415
15,7.850599
15,6.964312
15,7.253109
15,7.868920
15,7.695863
15,7.338281
15,7.086503
15,7.258403
15,7.501183
15,7.341796
15,7.158183
15,7.163278
15,6.968964
15,7.621832
15,7.247201
15,7.191085
15,7.394812
15,7.536988
15,7.342507
15,7.278312
15,7.408547
15,7.378824
15,7.640523
15,7.258287
15,7.267796
15,7.371608
15,7.116605
16,8.772683
16,8.366701
16,8.095787
16,8.503118
16,8.096505
16,8.337838
16,7.652342
16,8.306052
16,7.985695
16,8.469965
16,7.894038
16,7.931818
16,8.070521
16,8.142901
16,8.136973
16,7.757231
16,7.981227
16,8.269831
16,8.629051
16,8.904260
16,8.551481
16,8.429569
16,8.229045
16,8.057378
16,8.592699
16,8.114927
16,8.285164
16,8.128179
16,8.367800
16,8.750847
17,9.610182
17,9.087435
17,9.736543
17,9.180833
17,9.039138
17,8.896244
17,9.238458
17,9.792211
17,10.123853
17,9.917335
17,8.727309
17,8.791912
17,9.787028
17,9.906912
17,9.726567
17,9.447537
17,8.503749
17,9.056269
17,9.169257
17,9.389945
17,8.865519
17,9.620259
17,9.215980
17,9.322446
17,9.657195
17,10.009335
17,9.280205
17,10.187297
17,9.511039
17,9.081691
18,10.210894
18,10.707880
18,10.963174
18,10.865467
18,10.736063
18,10.555522
18,11.259206
18,10.442561
18,11.203956
18,10.121212
18,10.467287
18,10.555703
18,11.425516
18,10.654935
18,11.250377
18,10.176384
18,9.831950
18,10.418345
18,10.381894
18,10.299023
18,10.643819
18,10.526030
18,11.280253
18,10.854823
18,11.433353
18,11.190148
18,10.749999
18,9.994623
18,10.364120
18,10.813633
19,11.165530
19,11.106970
19,12.024534
19,12.575673
19,11.818452
19,11.779935
19,11.111846
19,12.116902
19,11.751931
19,11.071877
19,11.575511
19,11.820101
19,11.864234
19,13.167260
19,11.205208
19,12.892423
19,11.699654
19,12.081838
19,11.639067
19,11.655953
19,12.745465
19,11.548814
19,11.332027
19,11.748266
19,11.786504
19,12.422301
19,12.687090
19,12.279140
19,11.394509
19,11.515825
20,14.131270
20,13.035980
20,12.854385
20,12.682143
20,13.157627
20,12.699343
20,12.260651
20,12.778359
20,13.546426
20,13.227283
20,12.812515
20,12.402757
20,12.904077
20,13.952231
20,12.699995
20,12.838293
20,13.212175
20,13.152978
20,12.375994
20,13.179553
20,13.214916
20,13.542938
20,13.048314
20,13.478609
20,12.239277
20,12.157746
20,14.062804
20,13.156189
20,13.435782
20,13.766820
21,14.417267
21,14.304374
21,14.828048
21,13.774856
21,15.164889
21,13.820178
21,13.340551
21,15.104270
21,13.653326
21,14.523969
21,13.654617
21,14.463607
21,14.420027
21,13.737701
21,15.262748
21,15.032861
21,13.723950
21,13.684344
21,14.273324
21,13.823863
21,14.249641
21,14.330915
21,14.632757
21,15.470570
21,14.019219
21,15.061616
21,14.018596
21,13.671556
21,14.436410
21,14.336283
22,15.855285
22,15.281192
22,16.244927
22,15.438274
22,16.197706
22,15.730466
22,14.416611
22,14.843992
22,14.970869
22,14.887933
22,15.539023
22,15.623712
22,15.777796
22,15.941240
22,15.695883
22,15.045980
22,14.281505
22,15.490284
22,16.756135
22,15.706395
22,15.474642
22,14.383648
22,15.069309
22,15.908183
22,15.285006
22,15.338658
22,14.903970
22,17.053548
22,14.912564
22,16.913420
23,17.208906
23,17.892744
23,17.036196
23,16.139346
23,17.860319
23,17.918647
23,16.955117
23,17.544950
23,17.163252
23,16.949172
23,17.589926
23,17.026236
23,16.116826
23,17.424357
23,17.238117
23,18.109449
23,17.217420
23,17.089309
23,16.185843
23,17.054866
23,16.617214
23,18.657705
23,16.475151
23,16.470553
23,17.701151
23,17.086739
23,16.043426
23,17.329649
23,17.448902
23,17.058894
24,19.642237
24,18.952967
24,18.343764
24,18.005238
24,20.132623
24,20.529370
24,18.584591
24,17.803343
24,17.393840
24,17.897529
24,17.990008
24,19.336484
24,19.319606
24,17.317713
24,17.458925
24,18.717495
24,18.318987
24,17.531949
24,18.872996
24,18.154710
24,17.419797
24,19.436135
24,19.200205
24,18.355007
24,18.746184
24,19.348399
24,17.826054
24,18.822327
24,17.139120
24,18.855586
25,20.373621
25,19.415074
25,19.319695
25,20.136758
25,19.347204
25,19.156007
25,19.677846
25,20.799836
25,20.369963
25,19.254126
25,21.090275
25,19.302975
25,19.613132
25,18.933960
25,18.864540
25,18.811527
25,20.347750
25,18.931130
25,20.562889
25,22.443331
25,18.687310
25,20.707551
25,21.273878
25,19.071366
25,19.429753
25,19.822524
25,18.755315
25,20.164310
25,18.950212
25,18.972262
26,22.174473
26,22.724164
26,21.156096
26,23.292491
26,21.382227
26,21.520051
26,21.694473
26,20.829626
26,21.361013
26,22.016840
26,21.679867
26,21.837555
26,20.913123
26,21.522910
26,20.887259
26,20.642028
26,21.001344
26,20.974948
26,19.939756
26,20.944442
26,21.269892
26,22.377389
26,20.120747
26,22.396882
26,23.121824
26,21.512079
26,21.997155
26,21.722174
26,21.551881
26,22.057715
27,24.312330
27,22.935975
27,23.894041
27,24.703462
27,23.568278
27,22.383173
27,22.887441
27,22.561685
27,24.652166
27,22.518345
27,24.415643
27,23.459562
27,23.709961
27,22.835406
27,22.384416
27,23.278849
27,22.899890
27,23.860295
27,22.488751
27,22.708317
27,22.755816
27,23.552585
27,24.929643
27,22.919320
27,22.609854
27,23.787595
27,24.452186
27,24.146670
27,23.624521
27,21.844909
28,26.991001
28,24.874526
28,24.209812
28,24.034376
28,24.587611
28,24.224018
28,23.336770
28,26.362793
28,25.049930
28,23.803435
28,23.538936
28,25.917382
28,24.842226
28,25.423609
28,23.952459
28,23.699693
28,24.250238
28,25.385806
28,27.600916
28,24.734395
28,25.418241
28,25.620864
28,25.535132
28,25.298490
28,24.575629
28,24.574017
28,26.038160
28,24.463423
28,25.127326
28,25.287115
29,27.636914
29,25.918096
29,26.440729
29,25.934219
29,27.909426
29,27.840838
29,26.660732
29,24.381475
29,26.349012
29,26.036609
29,27.001444
29,26.964127
29,27.825894
29,26.925621
29,27.204730
29,26.638257
29,25.762485
29,26.648726
29,25.794740
29,26.819304
29,27.736367
29,26.055370
29,26.845185
29,26.666454
29,27.366260
29,26.884071
29,26.899610
29,26.972953
29,25.753959
29,27.260428
30,27.515063
30,28.204465
30,29.736389
30,28.153725
30,28.285713
30,29.942493
30,27.331154
30,29.682703
30,29.522802
30,27.645016
30,29.366645
30,28.509513
30,27.244445
30,27.623296
30,28.287341
30,27.374674
30,29.509363
30,29.881136
30,29.703639
30,28.707446
30,28.023401
30,28.190825
30,27.940687
30,28.519934
30,28.401342
30,28.529382
30,27.625906
30,28.693501
30,27.288589
30,28.872661
