cnt_p,time
1,0.142850
1,0.083102
1,0.074102
1,0.072259
1,0.076268
1,0.074945
1,0.073572
1,0.074396
1,0.081797
1,0.135332
1,0.091521
1,0.073746
1,0.072720
1,0.074030
1,0.072226
1,0.076605
1,0.070873
1,0.083514
1,0.074995
1,0.073460
1,0.073195
1,0.074593
1,0.072646
1,0.071349
1,0.072869
1,0.071392
1,0.084063
1,0.073855
1,0.073133
1,0.073443
2,0.202138
2,0.199669
2,0.239447
2,0.193809
2,0.200763
2,0.196532
2,0.227388
2,0.198019
2,0.215569
2,0.191260
2,0.201982
2,0.234641
2,0.200318
2,0.232137
2,0.251941
2,0.209272
2,0.190034
2,0.241494
2,0.204773
2,0.238315
2,0.197023
2,0.205186
2,0.240703
2,0.244830
2,0.191849
2,0.203595
2,0.218247
2,0.209977
2,0.235611
2,0.227777
3,0.437794
3,0.438612
3,0.386083
3,0.376383
3,0.422901
3,0.429438
3,0.412495
3,0.383697
3,0.379319
3,0.441685
3,0.399978
3,0.455456
3,0.382238
3,0.368016
3,0.376102
3,0.389306
3,0.380871
3,0.363155
3,0.401073
3,0.407269
3,0.387054
3,0.453048
3,0.438944
3,0.401395
3,0.366613
3,0.413561
3,0.440258
3,0.372738
3,0.408661
3,0.390215
4,0.700794
4,0.603905
4,0.706433
4,0.669316
4,0.640606
4,0.685638
4,0.665927
4,0.666446
4,0.845660
4,0.698155
4,0.677945
4,0.707702
4,0.775395
4,0.651455
4,0.681613
4,0.731536
4,0.616976
4,0.619457
4,0.697752
4,0.638994
4,0.667738
4,0.640032
4,0.687247
4,0.624429
4,0.649697
4,0.645415
4,0.622102
4,0.722410
4,0.702966
4,0.690849
5,1.213697
5,1.076343
5,1.091186
5,0.965072
5,1.076246
5,1.118314
5,1.022821
5,0.984987
5,0.992303
5,0.988543
5,1.062739
5,0.999104
5,0.905502
5,1.004849
5,1.017643
5,1.082142
5,0.933949
5,0.972552
5,0.999790
5,0.924962
5,0.927611
5,1.094610
5,0.965377
5,0.912586
5,1.018552
5,0.947265
5,1.008824
5,1.017337
5,0.969371
5,0.992260
6,1.521464
6,1.372243
6,1.371276
6,1.415609
6,1.577511
6,1.348226
6,1.396960
6,1.620501
6,1.448684
6,1.307714
6,1.288670
6,1.464918
6,1.573263
6,1.412512
6,1.425296
6,1.503619
6,1.507272
6,1.352483
6,1.450027
6,1.379329
6,1.446773
6,1.338016
6,1.372247
6,1.279383
6,1.459511
6,1.246661
6,1.401721
6,1.329777
6,1.361943
6,1.364892
7,1.920341
7,1.832007
7,1.914743
7,1.717624
7,1.811548
7,2.093493
7,1.907778
7,1.753265
7,1.708921
7,2.096509
7,1.891708
7,2.056103
7,1.899009
7,1.812522
7,2.043278
7,2.052982
7,1.765585
7,2.032207
7,1.861999
7,1.704606
7,2.136667
7,1.753914
7,1.942683
7,1.768349
7,1.803586
7,2.017188
7,1.997750
7,1.686643
7,1.872646
7,1.738141
8,2.442861
8,2.365615
8,2.466465
8,2.347137
8,2.488160
8,2.258203
8,2.453872
8,2.548705
8,2.464803
8,2.393743
8,2.590371
8,2.266530
8,2.334430
8,2.675681
8,2.214960
8,2.699196
8,2.589673
8,2.149211
8,2.361569
8,2.481450
8,2.415028
8,2.516126
8,2.346109
8,2.366787
8,2.503983
8,2.406715
8,2.547347
8,2.356215
8,2.205867
8,2.826585
9,2.945346
9,2.848656
9,2.976493
9,3.466714
9,3.042960
9,3.174042
9,3.328968
9,3.072815
9,3.215089
9,3.074417
9,3.085486
9,3.013150
9,2.923334
9,2.680990
9,3.081525
9,3.109571
9,3.095721
9,3.119963
9,2.992811
9,2.796397
9,2.827184
9,3.170596
9,3.042084
9,3.074027
9,2.962788
9,2.846975
9,2.945407
9,3.187002
9,2.773448
9,2.797050
10,3.940195
10,3.712638
10,3.873320
10,3.644853
10,3.499893
10,3.434572
10,3.954672
10,3.412916
10,3.719469
10,3.668074
10,3.550380
10,3.564987
10,3.557408
10,3.524303
10,3.834821
10,3.624172
10,3.692660
10,3.554320
10,4.429039
10,4.124144
10,3.819852
10,3.593071
10,3.857986
10,3.668535
10,3.804950
10,3.778213
10,3.934473
10,3.500439
10,3.696509
10,3.474716
11,4.243567
11,4.346447
11,4.380942
11,4.316587
11,4.294969
11,4.766383
11,4.832978
11,4.208655
11,4.233348
11,3.899773
11,4.227875
11,4.340665
11,4.473995
11,4.297413
11,4.208676
11,4.360885
