cnt_p,time
1,0.008073
1,0.011439
1,0.006001
1,0.005922
1,0.006860
1,0.001868
1,0.004972
1,0.003882
1,0.005564
1,0.007003
1,0.001888
1,0.004899
1,0.004866
1,0.005467
1,0.007388
1,0.001850
1,0.001845
1,0.001887
1,0.004295
1,0.006347
1,0.003877
1,0.007307
1,0.001890
1,0.001824
1,0.004599
1,0.006734
1,0.004191
1,0.003690
1,0.003251
1,0.004204
1,0.001944
1,0.001958
1,0.005508
1,0.006889
1,0.003691
1,0.006831
1,0.001858
1,0.001830
1,0.004873
1,0.003920
2,0.006842
2,0.007069
2,0.006266
2,0.010770
2,0.007610
2,0.008311
2,0.010038
2,0.007175
2,0.007782
2,0.010747
2,0.009992
2,0.008644
2,0.010408
2,0.009866
2,0.008450
2,0.008080
2,0.007792
2,0.005894
2,0.009690
2,0.007537
2,0.008680
2,0.008536
2,0.007600
2,0.007921
2,0.006854
2,0.006773
2,0.009891
2,0.010912
2,0.010093
2,0.005926
2,0.010964
2,0.005815
2,0.009392
2,0.009942
2,0.007724
2,0.008537
2,0.008913
2,0.006028
2,0.010613
2,0.005925
3,0.017853
3,0.020703
3,0.012422
3,0.010504
3,0.013417
3,0.011505
3,0.011808
3,0.009704
3,0.011022
3,0.012695
3,0.011000
3,0.011885
3,0.012976
3,0.020555
3,0.017237
3,0.019054
3,0.022088
3,0.018777
3,0.018901
3,0.022282
3,0.018979
3,0.022663
3,0.015960
3,0.015335
3,0.018433
3,0.020926
3,0.018348
3,0.020742
3,0.024469
3,0.022065
3,0.022543
3,0.015752
3,0.019071
3,0.018359
3,0.018453
3,0.014947
3,0.010442
3,0.010600
3,0.009933
3,0.012250
4,0.015321
4,0.019314
4,0.021943
4,0.017740
4,0.017774
4,0.014017
4,0.013974
4,0.017395
4,0.016537
4,0.018910
4,0.013950
4,0.016573
4,0.020251
4,0.016718
4,0.017771
4,0.014558
4,0.017882
4,0.016180
4,0.011823
4,0.016703
4,0.026660
4,0.017459
4,0.016707
4,0.021263
4,0.016490
4,0.017239
4,0.014587
4,0.016420
4,0.016007
4,0.014765
4,0.017662
4,0.019023
4,0.013823
4,0.017310
4,0.016360
4,0.013735
4,0.017727
4,0.016747
4,0.017277
4,0.034531
5,0.026613
5,0.022715
5,0.024064
5,0.017699
5,0.018294
5,0.024803
5,0.023740
5,0.024802
5,0.022216
5,0.018803
5,0.020561
5,0.016710
5,0.016668
5,0.020358
5,0.024018
5,0.028737
5,0.019294
5,0.021035
5,0.022159
5,0.020876
5,0.018498
5,0.022681
5,0.018511
5,0.026061
5,0.020798
5,0.018950
5,0.026405
5,0.020486
5,0.021069
5,0.018999
5,0.018817
5,0.027518
5,0.019294
5,0.020586
5,0.018375
5,0.018612
5,0.023157
5,0.020707
5,0.019200
5,0.020726
6,0.030572
6,0.034961
6,0.024897
6,0.020411
6,0.025599
6,0.024280
6,0.025962
6,0.024679
6,0.025455
6,0.025495
6,0.024763
6,0.024777
6,0.027116
6,0.021966
6,0.023867
6,0.022342
6,0.026498
6,0.021132
6,0.026928
6,0.030338
6,0.041023
6,0.030086
6,0.020958
6,0.025085
6,0.030967
6,0.021987
6,0.027298
6,0.026856
6,0.021700
6,0.025085
6,0.024175
6,0.025475
