cnt_p,time
1,0.000878
1,0.000945
1,0.000912
1,0.000935
1,0.002779
1,0.004987
1,0.000954
1,0.000913
1,0.002936
1,0.004706
2,0.004554
2,0.003898
2,0.001793
2,0.009911
2,0.004264
2,0.001809
2,0.003491
2,0.004491
2,0.001958
2,0.001793
3,0.002774
3,0.008985
3,0.010380
3,0.005590
3,0.007510
3,0.005194
3,0.004564
3,0.007624
3,0.004715
3,0.007938
4,0.011728
4,0.008736
4,0.008200
4,0.008783
4,0.007889
4,0.010897
4,0.008156
4,0.011368
4,0.015792
4,0.012262
5,0.008772
5,0.017348
5,0.011682
5,0.012718
5,0.015672
5,0.013623
5,0.012393
5,0.011419
5,0.010444
5,0.010911
6,0.014393
6,0.027382
6,0.009529
6,0.012367
6,0.010700
6,0.012239
6,0.012454
6,0.010369
6,0.011481
6,0.011511
7,0.015360
7,0.018637
7,0.010971
7,0.013221
7,0.014253
7,0.015388
7,0.016124
7,0.016276
7,0.011629
7,0.011263
8,0.017516
8,0.019427
8,0.015405
8,0.016204
8,0.018727
8,0.014647
8,0.012369
8,0.016592
8,0.015133
8,0.014549
9,0.017525
9,0.021258
9,0.018356
9,0.016599
9,0.018226
9,0.016514
9,0.017020
9,0.019020
9,0.017576
9,0.016209
10,0.020821
10,0.025642
10,0.017459
10,0.020704
10,0.020297
10,0.018764
10,0.017842
10,0.020244
10,0.017307
10,0.029944
11,0.023526
11,0.024634
11,0.023676
11,0.020233
11,0.023152
11,0.021224
11,0.022824
11,0.021377
11,0.021669
11,0.020443
12,0.025132
12,0.022576
12,0.024228
12,0.022212
12,0.022620
12,0.021150
12,0.023018
12,0.022744
12,0.021330
12,0.023274
13,0.036118
13,0.023666
13,0.025575
13,0.023330
13,0.023828
13,0.028098
13,0.024408
13,0.028285
13,0.024376
13,0.022994
14,0.032280
14,0.026658
14,0.030932
14,0.030098
14,0.033252
14,0.028951
14,0.025206
14,0.026036
14,0.030281
14,0.028489
15,0.037396
15,0.028828
15,0.028303
15,0.029563
15,0.033072
15,0.032380
15,0.030254
15,0.029093
15,0.028692
15,0.028978
16,0.039380
16,0.033157
16,0.030143
16,0.026724
16,0.029426
16,0.028324
16,0.035429
16,0.030107
16,0.033343
16,0.031195
17,0.040437
17,0.031489
17,0.033237
17,0.034512
17,0.029352
17,0.028085
17,0.031311
17,0.028929
17,0.029768
17,0.029863
18,0.038397
18,0.030457
18,0.031613
18,0.030242
18,0.030712
18,0.029625
18,0.031833
18,0.032700
18,0.030231
18,0.029912
19,0.035545
19,0.032854
19,0.032540
19,0.031277
19,0.031955
19,0.031679
19,0.029542
19,0.036461
19,0.030496
19,0.030973
20,0.039296
20,0.033567
20,0.032823
20,0.030332
20,0.030455
20,0.035651
20,0.032472
20,0.033366
20,0.034913
20,0.037986
21,0.038675
21,0.033722
21,0.032372
21,0.028721
21,0.029410
21,0.032970
21,0.035307
21,0.028814
21,0.031020
21,0.034081
22,0.051858
22,0.031258
22,0.034493
22,0.033962
22,0.037501
22,0.034350
22,0.030826
22,0.033881
22,0.030696
22,0.036802
23,0.040211
23,0.034220
23,0.035928
23,0.035109
23,0.033942
23,0.035287
23,0.032593
23,0.030815
23,0.035425
23,0.038612
24,0.041460
24,0.035897
24,0.042765
24,0.043015
24,0.036471
24,0.036198
24,0.032364
24,0.035112
24,0.035218
24,0.035464
25,0.040934
25,0.037976
25,0.033643
25,0.032907
