cnt_p,time
1,0.007387
1,0.000898
1,0.004310
1,0.000865
1,0.000907
1,0.002502
1,0.000880
1,0.000862
1,0.004776
1,0.000883
1,0.000884
1,0.001003
1,0.000982
1,0.004667
1,0.001046
1,0.001051
1,0.000942
1,0.000887
1,0.000891
1,0.002981
1,0.003224
1,0.004981
1,0.000882
1,0.006278
1,0.000878
1,0.000922
1,0.000877
1,0.005947
1,0.000880
1,0.000899
1,0.000880
1,0.000878
1,0.000863
1,0.000865
1,0.002837
1,0.003947
1,0.000904
1,0.004743
1,0.000879
1,0.000865
2,0.001772
2,0.001766
2,0.004420
2,0.007690
2,0.008333
2,0.012920
2,0.010964
2,0.006719
2,0.009837
2,0.008825
2,0.013890
2,0.009787
2,0.008707
2,0.004511
2,0.003790
2,0.002728
2,0.005854
2,0.004506
2,0.003658
2,0.003576
2,0.002573
2,0.006238
2,0.001791
2,0.003498
2,0.001748
2,0.005622
2,0.004806
2,0.001772
2,0.005912
2,0.009789
2,0.009835
2,0.005801
2,0.001840
2,0.003618
2,0.007796
2,0.005775
2,0.002555
2,0.008609
2,0.009827
2,0.009787
3,0.011733
3,0.004488
3,0.008587
3,0.010675
3,0.030651
3,0.007747
3,0.024376
3,0.008124
3,0.012099
3,0.006626
3,0.011226
3,0.007864
3,0.031285
3,0.009141
3,0.002612
3,0.016951
3,0.012894
3,0.007705
3,0.004706
3,0.014727
3,0.010661
3,0.009395
3,0.007481
3,0.015537
3,0.005933
3,0.014634
3,0.002646
3,0.006587
3,0.006756
3,0.004340
3,0.009916
3,0.008736
3,0.005177
3,0.007079
3,0.006973
3,0.010708
3,0.006854
3,0.006593
3,0.006609
3,0.003851
4,0.019472
4,0.017354
4,0.010846
4,0.006125
4,0.007635
4,0.011525
4,0.008010
4,0.017552
4,0.018412
4,0.006685
4,0.008262
4,0.024159
4,0.007612
4,0.007430
4,0.007593
4,0.016333
4,0.008251
4,0.016502
4,0.003712
4,0.007670
4,0.008339
4,0.008776
4,0.019518
4,0.009392
4,0.009618
4,0.008815
4,0.011552
4,0.007757
4,0.024550
4,0.021415
4,0.006665
4,0.017628
4,0.008992
4,0.007358
4,0.007485
4,0.023721
4,0.007335
4,0.005595
4,0.008851
4,0.030581
5,0.017128
5,0.017042
5,0.019572
5,0.024847
5,0.026387
5,0.009354
5,0.020824
5,0.016370
5,0.008230
5,0.027537
5,0.016459
5,0.010019
5,0.009567
5,0.010462
5,0.023596
5,0.032512
5,0.009153
5,0.016925
5,0.009776
5,0.029488
5,0.009616
5,0.012495
5,0.025185
5,0.029586
5,0.009297
5,0.008406
5,0.038780
5,0.024435
5,0.008638
5,0.011422
5,0.036008
5,0.007916
5,0.009262
5,0.009672
5,0.011601
5,0.009434
5,0.031438
5,0.026659
5,0.010070
5,0.024415
6,0.013108
6,0.027581
6,0.008725
6,0.051559
6,0.010685
6,0.020704
6,0.012291
6,0.039526
6,0.014896
6,0.033364
6,0.010052
6,0.018904
6,0.011809
6,0.012531
6,0.028437
6,0.037327
6,0.032712
6,0.009547
6,0.043339
6,0.035677
6,0.015756
6,0.037350
6,0.020535
6,0.022867
6,0.014373
6,0.014814
6,0.010350
6,0.012586
6,0.019358
6,0.039062
6,0.011649
6,0.034428
6,0.043105
6,0.011963
6,0.013004
6,0.010619
6,0.032272
6,0.034987
6,0.018428
6,0.012040
7,0.013460
7,0.032449
7,0.011388
7,0.016247
7,0.050291
7,0.033472
7,0.038269
7,0.034272
7,0.040251
7,0.010246
7,0.013600
7,0.036244
7,0.012507
7,0.041140
7,0.036090
7,0.023711
7,0.032102
7,0.015440
7,0.049728
7,0.009454
7,0.047143
7,0.015596
7,0.044431
7,0.012542
7,0.013112
7,0.013047
7,0.016600
7,0.016436
7,0.034090
7,0.048546
7,0.031151
7,0.034215
7,0.033340
7,0.038182
7,0.010496
7,0.014337
7,0.015703
7,0.045316
7,0.012447
7,0.040481
8,0.028028
8,0.016672
8,0.020610
8,0.027080
8,0.041067
8,0.034779
8,0.014373
8,0.058037
8,0.015471
8,0.041761
8,0.041022
8,0.015692
8,0.044099
8,0.013331
8,0.042415
8,0.044091
8,0.015523
8,0.050283
8,0.014531
8,0.044534
8,0.047197
8,0.033747
8,0.036142
8,0.022606
8,0.045037
8,0.013299
8,0.063032
8,0.019658
8,0.019736
8,0.023475
8,0.021394
8,0.028377
8,0.023344
8,0.039743
8,0.031489
8,0.019514
8,0.078249
8,0.018208
8,0.017968
8,0.061146
9,0.017493
9,0.045249
9,0.028663
9,0.021671
9,0.018363
9,0.063082
9,0.019053
9,0.055870
9,0.016327
9,0.039476
9,0.017275
9,0.017203
9,0.031677
9,0.062215
9,0.019599
9,0.016250
9,0.051952
9,0.052960
9,0.017203
9,0.026173
9,0.051376
9,0.012128
9,0.052650
9,0.016379
9,0.017116
9,0.050440
9,0.049267
9,0.015180
9,0.026281
9,0.016206
9,0.015385
9,0.028849
9,0.044038
9,0.052552
9,0.016459
9,0.039157
9,0.052739
9,0.016485
9,0.017114
9,0.056109
10,0.043105
10,0.054005
10,0.013434
10,0.030492
10,0.054856
10,0.033102
10,0.050038
10,0.032732
10,0.037342
10,0.030787
10,0.058163
10,0.031002
10,0.020294
10,0.052676
10,0.019377
10,0.019477
